exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9
adder,2.0,6.0,14.0,5.0,7.0,7.0,4.0,11.0,6.0,6.0,14.0,10.0,12.0,2.0,11.0,2.0,6.0,2.0,22.0,8.0
alligator,14.0,17.0,3.0,8.0,4.0,9.0,16.0,8.0,9.0,13.0,9.0,8.0,2.0,13.0,15.0,13.0,14.0,5.0,15.0,9.0
boa,17.0,22.0,13.0,7.0,10.0,11.0,5.0,13.0,5.0,5.0,17.0,11.0,3.0,12.0,6.0,12.0,11.0,12.0,12.0,14.0
cobra,19.0,20.0,12.0,6.0,11.0,12.0,3.0,10.0,7.0,7.0,18.0,12.0,1.0,9.0,19.0,6.0,18.0,17.0,10.0,11.0
dinosaurus,13.0,3.0,15.0,19.0,17.0,17.0,22.0,16.0,17.0,20.0,11.0,18.0,4.0,7.0,5.0,11.0,4.0,3.0,13.0,6.0
gekko,11.0,19.0,8.0,12.0,8.0,8.0,10.0,6.0,15.0,3.0,6.0,17.0,16.0,6.0,2.0,20.0,1.0,18.0,11.0,20.0
hagedis,12.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,13.0,8.0,1.0,3.0,3.0,16.0,6.0,5.0
hazelworm,,21.0,21.0,20.0,22.0,14.0,13.0,21.0,18.0,10.0,15.0,,,16.0,18.0,,20.0,,14.0,
kaaiman,16.0,10.0,9.0,10.0,12.0,15.0,17.0,3.0,8.0,17.0,8.0,,11.0,1.0,16.0,21.0,12.0,13.0,21.0,12.0
kameleon,7.0,11.0,6.0,14.0,13.0,10.0,14.0,15.0,14.0,8.0,3.0,14.0,17.0,10.0,3.0,16.0,7.0,15.0,19.0,16.0
kikker,8.0,1.0,18.0,,20.0,22.0,21.0,19.0,21.0,22.0,22.0,3.0,15.0,14.0,12.0,16.0,8.0,7.0,4.0,2.0
krokodil,1.0,7.0,1.0,3.0,2.0,3.0,15.0,2.0,3.0,9.0,7.0,7.0,10.0,15.0,7.0,1.0,17.0,1.0,7.0,1.0
leguaan,18.0,13.0,4.0,17.0,14.0,5.0,8.0,9.0,10.0,11.0,2.0,16.0,19.0,11.0,8.0,5.0,2.0,4.0,8.0,18.0
pad,5.0,12.0,19.0,11.0,21.0,21.0,20.0,18.0,22.0,21.0,21.0,4.0,7.0,20.0,13.0,9.0,9.0,8.0,5.0,13.0
python,4.0,16.0,11.0,9.0,9.0,13.0,6.0,14.0,4.0,4.0,16.0,13.0,6.0,4.0,9.0,15.0,15.0,19.0,16.0,10.0
salamander,10.0,2.0,17.0,1.0,19.0,20.0,12.0,20.0,11.0,18.0,4.0,9.0,14.0,5.0,4.0,19.0,13.0,14.0,2.0,7.0
schildpad,9.0,8.0,7.0,18.0,5.0,4.0,18.0,4.0,12.0,16.0,19.0,5.0,8.0,18.0,14.0,10.0,10.0,6.0,3.0,3.0
slang,3.0,5.0,10.0,2.0,3.0,1.0,1.0,12.0,1.0,1.0,13.0,1.0,5.0,3.0,10.0,17.0,5.0,11.0,1.0,4.0
varaan,15.0,14.0,5.0,16.0,15.0,6.0,9.0,7.0,16.0,12.0,3.0,15.0,20.0,,,4.0,21.0,10.0,9.0,17.0
waterschildpad,6.0,9.0,20.0,21.0,6.0,16.0,19.0,5.0,13.0,15.0,20.0,6.0,9.0,17.0,17.0,7.0,16.0,20.0,17.0,15.0
