exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9
aalbes,,,29.0,18.0,15.0,25.0,22.0,14.0,24.0,24.0,23.0,20.0,27.0,30.0,23.0,26.0,22.0,8.0,,1.0
aardbei,2.0,7.0,16.0,10.0,6.0,6.0,6.0,7.0,6.0,5.0,8.0,14.0,8.0,20.0,4.0,5.0,4.0,12.0,1.0,2.0
abrikoos,11.0,20.0,22.0,8.0,7.0,9.0,17.0,20.0,10.0,18.0,26.0,13.0,16.0,21.0,21.0,8.0,25.0,9.0,26.0,3.0
ananas,13.0,12.0,10.0,17.0,8.0,13.0,14.0,19.0,12.0,12.0,20.0,10.0,15.0,9.0,3.0,6.0,15.0,15.0,5.0,4.0
appel,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,5.0
banaan,3.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,7.0,2.0,3.0,13.0,3.0,6.0
bosbes,16.0,23.0,23.0,25.0,13.0,23.0,20.0,16.0,21.0,27.0,22.0,18.0,19.0,29.0,18.0,27.0,12.0,24.0,18.0,7.0
braambessen,14.0,17.0,22.0,17.0,14.0,24.0,21.0,18.0,22.0,23.0,21.0,19.0,20.0,22.0,11.0,23.0,11.0,14.0,20.0,8.0
citroen,5.0,4.0,30.0,27.0,10.0,8.0,11.0,17.0,13.0,28.0,11.0,5.0,12.0,6.0,8.0,19.0,21.0,28.0,6.0,9.0
clementine,26.0,21.0,14.0,14.0,11.0,20.0,13.0,12.0,7.0,19.0,13.0,15.0,11.0,10.0,14.0,9.0,,7.0,9.0,10.0
dadels,24.0,22.0,28.0,26.0,,28.0,28.0,25.0,25.0,25.0,27.0,28.0,29.0,16.0,25.0,28.0,27.0,27.0,25.0,17.0
druif,6.0,3.0,7.0,12.0,4.0,10.0,10.0,9.0,16.0,9.0,5.0,6.0,5.0,5.0,10.0,21.0,8.0,17.0,13.0,28.0
framboos,15.0,9.0,25.0,21.0,12.0,21.0,15.0,10.0,20.0,15.0,7.0,17.0,18.0,23.0,16.0,18.0,19.0,19.0,15.0,30.0
kers,12.0,5.0,15.0,6.0,16.0,15.0,7.0,5.0,18.0,6.0,10.0,16.0,7.0,18.0,11.0,7.0,9.0,6.0,10.0,22.0
kiwi,9.0,8.0,4.0,4.0,5.0,11.0,4.0,21.0,8.0,10.0,3.0,22.0,17.0,7.0,6.0,22.0,10.0,21.0,7.0,20.0
kokosnoot,21.0,19.0,8.0,23.0,24.0,30.0,29.0,24.0,29.0,21.0,30.0,26.0,28.0,13.0,11.0,20.0,24.0,20.0,8.0,19.0
limoen,18.0,24.0,26.0,28.0,22.0,16.0,23.0,29.0,14.0,29.0,17.0,21.0,26.0,11.0,22.0,14.0,20.0,25.0,22.0,15.0
lychee,29.0,28.0,12.0,29.0,,26.0,24.0,28.0,28.0,20.0,16.0,27.0,25.0,29.0,28.0,25.0,,10.0,27.0,26.0
mango,22.0,26.0,6.0,11.0,20.0,18.0,18.0,22.0,17.0,8.0,14.0,23.0,24.0,14.0,20.0,15.0,18.0,,12.0,12.0
meloen,20.0,18.0,13.0,3.0,19.0,14.0,9.0,13.0,15.0,13.0,15.0,12.0,13.0,10.0,9.0,17.0,14.0,4.0,16.0,13.0
nectarine,7.0,25.0,18.0,15.0,17.0,7.0,12.0,11.0,11.0,17.0,14.0,8.0,10.0,8.0,12.0,11.0,,5.0,19.0,27.0
papaya,27.0,,11.0,19.0,,22.0,26.0,27.0,26.0,26.0,25.0,25.0,23.0,28.0,,30.0,26.0,26.0,,16.0
passievrucht,23.0,16.0,9.0,7.0,,19.0,25.0,23.0,19.0,16.0,21.0,24.0,21.0,15.0,19.0,12.0,23.0,23.0,11.0,23.0
peer,4.0,6.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,4.0,1.0,2.0,21.0,18.0
perzik,17.0,11.0,17.0,9.0,18.0,5.0,16.0,8.0,9.0,7.0,19.0,7.0,6.0,12.0,24.0,13.0,13.0,,17.0,14.0
pompelmoes,19.0,10.0,24.0,22.0,21.0,17.0,8.0,15.0,27.0,14.0,28.0,11.0,14.0,24.0,15.0,16.0,17.0,3.0,14.0,22.0
pompoen,10.0,15.0,21.0,20.0,25.0,29.0,30.0,30.0,30.0,30.0,28.0,30.0,22.0,27.0,28.0,29.0,16.0,11.0,9.0,17.0
pruim,25.0,13.0,19.0,30.0,23.0,12.0,19.0,6.0,5.0,11.0,6.0,9.0,9.0,5.0,13.0,10.0,7.0,18.0,23.0,27.0
sinaasappel,8.0,14.0,5.0,16.0,9.0,4.0,5.0,3.0,4.0,4.0,9.0,3.0,4.0,3.0,2.0,3.0,2.0,16.0,4.0,24.0
vijg,28.0,27.0,20.0,24.0,,27.0,27.0,26.0,23.0,22.0,29.0,29.0,30.0,25.0,27.0,24.0,28.0,22.0,24.0,25.0
