exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9
bazooka,5.0,2.0,5.0,5.0,3.0,10.0,10.0,15.0,5.0,9.0,20.0,17.0,,6.0,5.0,9.0,2.0,13.0,1.0,4.0
bijl,9.0,12.0,13.0,9.0,13.0,11.0,13.0,12.0,13.0,11.0,7.0,6.0,11.0,8.0,19.0,14.0,11.0,2.0,12.0,10.0
boksbeugel,4.0,,10.0,13.0,18.0,6.0,15.0,10.0,15.0,10.0,19.0,16.0,17.0,16.0,11.0,5.0,13.0,16.0,16.0,7.0
boog,14.0,15.0,16.0,12.0,11.0,12.0,9.0,20.0,10.0,17.0,6.0,12.0,18.0,15.0,14.0,12.0,14.0,7.0,13.0,8.0
dolk,8.0,5.0,11.0,10.0,10.0,5.0,6.0,5.0,11.0,5.0,2.0,4.0,10.0,4.0,2.0,6.0,9.0,8.0,17.0,16.0
geweer,7.0,13.0,2.0,4.0,7.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,4.0,10.0,1.0
granaat,6.0,16.0,7.0,6.0,4.0,14.0,11.0,14.0,6.0,8.0,14.0,7.0,4.0,9.0,7.0,7.0,8.0,3.0,8.0,6.0
kanon,10.0,3.0,6.0,7.0,2.0,13.0,12.0,16.0,4.0,13.0,13.0,9.0,6.0,10.0,13.0,8.0,1.0,9.0,2.0,9.0
katapult,20.0,8.0,14.0,16.0,16.0,15.0,17.0,13.0,14.0,16.0,15.0,13.0,14.0,18.0,10.0,17.0,16.0,15.0,15.0,18.0
knuppel,12.0,9.0,17.0,8.0,14.0,8.0,4.0,8.0,16.0,7.0,16.0,14.0,8.0,12.0,8.0,16.0,12.0,12.0,14.0,17.0
mitrailleur,2.0,1.0,4.0,1.0,5.0,4.0,8.0,3.0,3.0,3.0,8.0,10.0,3.0,1.0,1.0,2.0,3.0,6.0,6.0,3.0
pistool,3.0,6.0,1.0,2.0,8.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,1.0,6.0,10.0,9.0,5.0
schild,19.0,19.0,20.0,14.0,19.0,18.0,19.0,19.0,19.0,20.0,12.0,20.0,13.0,20.0,17.0,15.0,20.0,20.0,20.0,20.0
speer,11.0,11.0,12.0,17.0,12.0,9.0,5.0,11.0,12.0,12.0,13.0,11.0,9.0,13.0,12.0,13.0,15.0,5.0,11.0,15.0
stok,17.0,17.0,18.0,19.0,15.0,19.0,14.0,9.0,17.0,18.0,9.0,18.0,15.0,19.0,19.0,19.0,19.0,18.0,18.0,19.0
tank,13.0,4.0,9.0,15.0,1.0,16.0,16.0,17.0,9.0,14.0,11.0,8.0,12.0,7.0,15.0,10.0,7.0,14.0,7.0,11.0
touw,18.0,18.0,19.0,20.0,20.0,20.0,20.0,7.0,20.0,19.0,17.0,19.0,16.0,17.0,18.0,20.0,17.0,19.0,19.0,14.0
tweeloop,1.0,7.0,3.0,3.0,6.0,3.0,7.0,4.0,7.0,6.0,5.0,3.0,7.0,5.0,9.0,11.0,4.0,11.0,5.0,2.0
zwaard,16.0,10.0,8.0,18.0,9.0,7.0,3.0,6.0,8.0,4.0,4.0,5.0,5.0,11.0,6.0,3.0,10.0,1.0,4.0,12.0
zweep,15.0,14.0,15.0,11.0,17.0,17.0,8.0,18.0,18.0,15.0,18.0,15.0,19.0,14.0,16.0,18.0,18.0,17.0,3.0,13.0
