exemplar,missing,mean,std,nonmissing
bij,0,6.14,1.13,29
bloedzuiger,0,4.28,2.05,29
daas,1,3.94,2.18,32
duizendpoot,1,5.48,1.64,25
fruitvlieg,0,4.68,1.83,31
hommel,0,5.71,1.19,31
kakkerlak,0,4.5,2.05,34
kever,1,5.84,1.37,32
krekel,2,4.37,2.06,27
libel,1,6.1,1.04,31
lieveheersbeestje,0,6.62,0.68,29
luis,0,3.91,1.86,34
meikever,0,4.88,1.77,32
mier,0,6.21,1.01,34
mot,0,5.24,1.84,33
mug,0,6.06,1.39,35
oorworm,1,4.5,1.91,30
pissebed,0,5.3,1.68,30
rups,0,5.88,1.04,34
spin,0,6.71,0.82,31
sprinkhaan,0,5.79,1.47,33
vlieg,0,6.59,0.65,37
vlinder,0,6.35,0.95,31
vlo,1,3.93,1.91,29
wesp,0,5.8,1.65,30
worm,0,6.27,1.28,33
