exemplar,missing,mean,std,nonmissing
acteur,0,5.03,1.8,32
advocaat,0,5.1,1.81,31
apotheker,0,5.79,1.67,34
archeoloog,0,4.43,1.81,30
architect,0,4.62,2.02,34
bakker,0,5.83,1.46,30
boekhouder,0,4.45,1.99,29
brandweerman,0,6.1,1.4,31
dierenarts,0,4.84,2.13,32
directeur,0,5.7,1.46,27
dokter,0,6.28,1.3,32
informaticus,0,4.97,2.11,31
kinesist,1,4.15,2.07,27
kok,0,6.09,1.59,33
leraar,0,6.28,1.25,32
loodgieter,1,5.52,1.62,33
marktkramer,0,5.56,1.41,32
minister,0,4.58,1.85,33
opvoedster,0,4.91,1.63,35
piloot,0,5.73,1.26,30
politieagent,0,6.36,0.9,33
postbode,0,6.39,0.95,31
psycholoog,0,5.61,1.68,33
rechter,0,5.52,1.58,33
secretaresse,0,5.9,1.29,29
slager,0,5.55,1.66,29
stewardess,0,5.43,1.55,28
tandarts,0,6.14,1.03,37
vuilnisman,0,5.87,1.04,30
winkelbediende,0,5.77,1.28,30
