exemplar,missing,mean,std,nonmissing
aalbes,3,3.75,1.88,32
aardbei,0,6.09,0.96,32
abrikoos,0,5.29,1.78,28
ananas,0,6.06,1.3,34
appel,0,6.74,0.62,34
banaan,0,6.63,0.85,30
bosbes,0,4.97,1.65,35
braambessen,0,5.26,1.79,31
citroen,0,6.67,0.68,27
clementine,1,6.03,1.7,31
dadels,3,4.55,1.89,31
druif,0,6.5,0.88,32
framboos,0,5.27,1.62,30
kers,0,6.39,1.0,33
kiwi,0,6.54,0.92,35
kokosnoot,0,6.17,1.14,29
limoen,0,5.47,1.68,36
lychee,3,5.73,1.72,30
mango,0,6.03,1.19,30
meloen,0,6.09,1.24,34
nectarine,0,5.79,1.58,33
papaya,0,3.97,1.91,34
passievrucht,0,5.23,1.84,31
peer,0,6.32,1.17,31
perzik,0,6.0,1.36,29
pompelmoes,0,5.62,1.33,34
pompoen,0,6.64,0.62,28
pruim,0,5.32,1.68,31
sinaasappel,0,6.77,0.5,31
vijg,0,5.33,1.73,27
