exemplar,missing,mean,std,nonmissing
aambeeld,3,4.42,1.33,26
beitel,1,4.42,1.77,31
bijl,0,6.07,1.31,29
boormachine,0,5.69,1.75,35
breekijzer,1,4.52,2.08,31
engelse sleutel,1,3.97,1.9,30
grasmachine,0,6.19,1.06,32
hamer,0,6.35,1.1,34
houtklem,2,2.93,1.28,30
houweel,3,3.74,2.0,31
koevoet,0,5.55,1.59,29
kruiwagen,1,6.26,1.14,34
mes,0,6.25,1.14,32
moersleutel,0,4.0,1.64,30
oliespuit,1,3.58,1.94,33
plamuurmes,0,4.71,1.6,35
ploeg,0,4.79,1.92,33
schaaf,4,2.85,1.59,26
schop,0,5.57,1.8,37
schroevendraaier,0,6.09,1.07,33
slijpschijf,0,4.77,2.0,31
spijker,0,5.97,1.4,38
staalborstel,3,4.0,2.05,33
stofzuiger,1,6.39,1.12,31
tang,0,5.67,1.64,36
touw,0,6.29,0.98,38
verfborstel,0,6.74,0.58,31
vijl,1,5.68,1.45,31
waterpas,0,5.06,1.87,32
zaag,0,6.21,1.47,34
