exemplar,generation frequency,mean rank position
axe,9,4.6
bazooka,12,4.9
bow,16,4.8
canon,28,4.9
club,23,4.3
dagger,26,4.0
double-barreled shotgun,2,2.0
grenade,8,5.6
knuckle dusters,6,4.0
machine gun,18,4.4
pistol,60,2.0
rifle,71,1.9
rope,15,4.2
shield,3,6.6
slingshot,3,4.6
spear,15,5.6
stick,15,4.5
sword,34,4.2
tank,6,5.7
whip,4,5.8
