exemplar,generation frequency,mean rank position
accordion,6,4.333333333
bagpipe,4,5.75
banjo,3,4.666666667
bass guitar,19,5.368421053
bassoon,6,8.333333333
cello,35,5.4
clarinet,34,5.382352941
cymbals,4,6.5
double bass,25,6.0
drum,13,5.615384615
drum set,62,5.419354839
flute,65,4.769230769
guitar,107,3.093457944
harmonica,6,7.0
harp,26,5.230769231
harpsichord,10,5.9
organ,9,4.0
pan flute,6,5.5
piano,97,2.762886598
recorder,43,4.023255814
saxophone,44,4.181818182
synthesizer,5,4.6
tambourine,2,9.0
triangle,6,5.333333333
trombone,9,6.555555556
trumpet,53,5.188679245
violin,82,3.353658537
