exemplar,generation frequency,mean rank position
anchovy,3,6.666666667
carp,25,3.24
cod,68,2.955882353
dolphin,13,3.769230769
eel,32,4.28125
flatfish,8,5.625
goldfish,74,2.972972973
herring,23,3.652173913
orca,5,7.6
pike,22,3.363636364
piranha,5,5.8
plaice,14,3.785714286
ray,13,4.333333333
salmon,82,3.317073171
sardine,14,5.642857143
shark,45,3.622222222
sole,36,4.333333333
sperm whale,4,3.75
squid,10,4.0
stickleback,7,5.285714286
swordfish,7,4.857142857
trout,47,2.936170213
whale,16,3.6875
