exemplar,generation frequency,mean rank position
blackbird,48,3.541666667
canary,60,3.0
chickadee,24,3.166666667
chicken,19,5.578947368
crow,34,5.264705882
cuckoo,6,5.0
dove,42,4.261904762
duck,11,6.090909091
eagle,31,4.870967742
falcon,5,4.8
heron,4,6.0
magpie,42,4.404761905
ostrich,16,5.0
owl,9,6.222222222
parakeet,23,4.260869565
parrot,40,3.925
peacock,2,5.5
pelican,2,6.5
penguin,3,7.333333333
pheasant,1,7.0
robin,71,3.816901408
rooster,1,6.0
seagull,33,4.121212121
sparrow,95,2.747368421
stork,14,5.928571429
swallow,21,4.19047619
swan,1,8.0
turkey,1,6.0
vulture,7,7.0
woodpecker,24,4.5
