exemplar,generation frequency,mean rank position
bathing suit,2,8.5
beanie,18,7.9
belt,7,7.3
blouse,55,5.0
boots,1,11.0
bra,50,6.6
cap,5,7.0
coat,55,4.8
dress,22,5.4
dungarees,2,6.5
hat,15,7.5
jeans,8,6.4
mittens,4,8.5
panties,7,5.1
pants,116,2.5
pullover,70,3.3
pyjamas,5,7.4
scarf,41,6.3
shirt,66,5.7
shoes,35,5.9
shorts,18,6.5
skirt,79,3.3
socks,42,5.6
suit,4,7.8
sweater,7,8.3
t-shirt,76,5.5
tie,12,7.4
top,10,7.0
tracksuit,1,10.0
