exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
hat,0.14583333333333331,0.58125,0.22708333333333336,0.19375,0.24375,0.10833333333333332,0.625,0.35416666666666663,0.2,0.2608695652173913,1.0,0.2,0.3145833333333333,0.16875,0.23125,0.1875,0.17916666666666667,0.29375,0.2875,0.25833333333333336,0.22291666666666665,0.21666666666666665,0.22916666666666666,0.27708333333333335,0.20416666666666666,0.17708333333333331,0.28125,0.14166666666666666,0.13958333333333334
jeans,0.14166666666666666,0.26666666666666666,0.33125,0.225,0.17291666666666666,0.20625,0.21458333333333335,0.27708333333333335,0.28541666666666665,0.41521739130434787,0.2,1.0,0.16458333333333333,0.25833333333333336,0.7270833333333333,0.3,0.23541666666666666,0.20416666666666666,0.30833333333333335,0.22083333333333335,0.46875,0.33125,0.26458333333333334,0.19791666666666669,0.3,0.3,0.22291666666666665,0.3375,0.4020833333333333
mittens,0.15,0.425,0.20208333333333334,0.13333333333333333,0.27291666666666664,0.18541666666666667,0.20625,0.3104166666666667,0.175,0.1934782608695652,0.3145833333333333,0.16458333333333333,1.0,0.17291666666666666,0.16875,0.51875,0.17708333333333331,0.45,0.20625,0.24166666666666664,0.2375,0.17291666666666666,0.275,0.16458333333333333,0.24166666666666664,0.15,0.19166666666666668,0.24583333333333335,0.17083333333333334
panties,0.32291666666666663,0.20625,0.21041666666666664,0.20208333333333334,0.16666666666666669,0.475,0.18541666666666667,0.13125,0.28541666666666665,0.2217391304347826,0.16875,0.25833333333333336,0.17291666666666666,1.0,0.32708333333333334,0.19791666666666669,0.30833333333333335,0.18333333333333332,0.2625,0.16041666666666668,0.4479166666666667,0.26875,0.325,0.15833333333333333,0.20625,0.2,0.2125,0.22083333333333335,0.1875
pants,0.2125,0.23958333333333334,0.39791666666666664,0.3625,0.24583333333333335,0.19375,0.19583333333333333,0.25,0.31875,0.5260869565217392,0.23125,0.7270833333333333,0.16875,0.32708333333333334,1.0,0.24791666666666665,0.4125,0.21458333333333335,0.3770833333333333,0.30208333333333337,0.56875,0.4104166666666667,0.2520833333333333,0.4895833333333333,0.28958333333333336,0.24375,0.26458333333333334,0.30416666666666664,0.6083333333333333
pullover,0.5416666666666667,0.33541666666666664,0.22916666666666666,0.4979166666666667,0.23125,0.25625,0.17291666666666666,0.4291666666666667,0.27291666666666664,0.22391304347826088,0.1875,0.3,0.51875,0.19791666666666669,0.24791666666666665,1.0,0.27083333333333337,0.2791666666666667,0.4583333333333333,0.25416666666666665,0.21458333333333335,0.26458333333333334,0.20625,0.275,0.6604166666666667,0.20625,0.20416666666666666,0.51875,0.36458333333333337
pyjamas,0.19791666666666669,0.275,0.14166666666666666,0.37916666666666665,0.1875,0.2625,0.15208333333333332,0.25416666666666665,0.3458333333333333,0.33043478260869563,0.17916666666666667,0.23541666666666666,0.17708333333333331,0.30833333333333335,0.4125,0.27083333333333337,1.0,0.1375,0.41875,0.13958333333333334,0.3458333333333333,0.19583333333333333,0.22291666666666665,0.3458333333333333,0.27708333333333335,0.4229166666666667,0.19583333333333333,0.3375,0.4458333333333333
scarf,0.15625,0.44375,0.26458333333333334,0.21041666666666664,0.22708333333333336,0.20625,0.275,0.44375,0.21875,0.25,0.29375,0.20416666666666666,0.45,0.18333333333333332,0.21458333333333335,0.2791666666666667,0.1375,1.0,0.1625,0.21875,0.23958333333333334,0.19166666666666668,0.225,0.21458333333333335,0.26875,0.20833333333333334,0.4354166666666667,0.16458333333333333,0.2625
shirt,0.19791666666666669,0.24375,0.25,0.6895833333333333,0.17291666666666666,0.18125,0.19791666666666669,0.3729166666666667,0.26458333333333334,0.25,0.2875,0.30833333333333335,0.20625,0.2625,0.3770833333333333,0.4583333333333333,0.41875,0.1625,1.0,0.21666666666666665,0.2520833333333333,0.22916666666666666,0.20625,0.4979166666666667,0.4208333333333333,0.4604166666666667,0.3875,0.39166666666666666,0.22708333333333336
shoes,0.1625,0.1875,0.23125,0.16666666666666669,0.5916666666666667,0.12291666666666667,0.1875,0.23958333333333334,0.20416666666666666,0.2717391304347826,0.25833333333333336,0.22083333333333335,0.24166666666666664,0.16041666666666668,0.30208333333333337,0.25416666666666665,0.13958333333333334,0.21875,0.21666666666666665,1.0,0.23958333333333334,0.20416666666666666,0.4958333333333333,0.3125,0.20833333333333334,0.18541666666666667,0.15833333333333333,0.18958333333333333,0.3416666666666667
shorts,0.25625,0.17916666666666667,0.2520833333333333,0.25416666666666665,0.175,0.20625,0.24583333333333335,0.18958333333333333,0.3145833333333333,0.4413043478260869,0.22291666666666665,0.46875,0.2375,0.4479166666666667,0.56875,0.21458333333333335,0.3458333333333333,0.23958333333333334,0.2520833333333333,0.23958333333333334,1.0,0.36041666666666666,0.21666666666666665,0.19583333333333333,0.27083333333333337,0.3770833333333333,0.175,0.39583333333333337,0.39791666666666664
skirt,0.225,0.17083333333333334,0.25833333333333336,0.24375,0.14791666666666667,0.23541666666666666,0.23541666666666666,0.19166666666666668,0.5354166666666667,0.2152173913043478,0.21666666666666665,0.33125,0.17291666666666666,0.26875,0.4104166666666667,0.26458333333333334,0.19583333333333333,0.19166666666666668,0.22916666666666666,0.20416666666666666,0.36041666666666666,1.0,0.2520833333333333,0.23541666666666666,0.25,0.3104166666666667,0.15833333333333333,0.37083333333333335,0.175
socks,0.14375,0.20416666666666666,0.16666666666666669,0.19375,0.36041666666666666,0.26875,0.18125,0.20208333333333334,0.15208333333333332,0.2652173913043478,0.22916666666666666,0.26458333333333334,0.275,0.325,0.2520833333333333,0.20625,0.22291666666666665,0.225,0.20625,0.4958333333333333,0.21666666666666665,0.2520833333333333,1.0,0.28541666666666665,0.20208333333333334,0.14375,0.25,0.17708333333333331,0.29375
suit,0.26041666666666663,0.1625,0.35625,0.4,0.23958333333333334,0.19375,0.15625,0.3875,0.4375,0.2608695652173913,0.27708333333333335,0.19791666666666669,0.16458333333333333,0.15833333333333333,0.4895833333333333,0.275,0.3458333333333333,0.21458333333333335,0.4979166666666667,0.3125,0.19583333333333333,0.23541666666666666,0.28541666666666665,1.0,0.23541666666666666,0.26041666666666663,0.4895833333333333,0.21458333333333335,0.27708333333333335
