exemplar,category strength,exemplar strength
acteur,0.037,0.004
advocaat,0.010,0.011
apotheker,0.000,0.000
archeoloog,0.000,0.000
architect,0.003,0.011
bakker,0.013,0.000
boekhouder,0.003,0.007
brandweerman,0.000,0.004
dierenarts,0.000,0.011
directeur,0.000,0.000
dokter,0.020,0.000
informaticus,0.000,0.008
kinesist,0.000,0.007
kok,0.000,0.011
leraar,0.023,0.004
loodgieter,0.003,0.026
marktkramer,0.000,0.000
minister,0.000,0.000
opvoedster,0.000,0.000
piloot,0.000,0.007
politieagent,0.003,0.000
postbode,0.000,0.000
psycholoog,0.007,0.015
rechter,0.000,0.007
secretaresse,0.003,0.000
slager,0.000,0.000
stewardess,0.003,0.000
tandarts,0.007,0.004
vuilnisman,0.000,0.000
winkelbediende,0.000,0.000
