exemplar,category strength,exemplar strength
beha,0.000,0.007
bloes,0.000,0.037
broek,0.104,0.041
das,0.007,0.007
hemd,0.022,0.026
hoed,0.011,0.007
jas,0.015,0.015
jeans,0.019,0.030
jogging,0.000,0.003
kleed,0.004,0.026
kostuum,0.004,0.007
laarzen,0.000,0.000
muts,0.004,0.004
pet,0.000,0.000
pyjama,0.000,0.007
riem,0.000,0.015
rok,0.041,0.020
salopet,0.000,0.041
schoenen,0.030,0.015
short,0.000,0.018
sjaal,0.011,0.011
slip,0.000,0.007
sokken,0.004,0.015
sweater,0.000,0.026
t-shirt,0.000,0.011
topje,0.052,0.022
trui,0.022,0.056
wanten,0.000,0.004
zwempak,0.000,0.000
