exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
acteur,20.0,10.0,12.0,10.0,12.0,10.0,10.0,5.0,5.0,10.0,5.0,10.0,10.0,5.0,10.0,5.0,5.0,12.0,10.0,6.0,7.0,5.0,10.0,10.0,10.0,5.0,13.0,10.0,5.0,5.0
advocaat,10.0,20.0,10.0,8.0,10.0,5.0,5.0,5.0,8.0,12.0,11.0,5.0,10.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,9.0,5.0,11.0,14.0,10.0,5.0,5.0,12.0,5.0,5.0
apotheker,12.0,10.0,20.0,9.0,6.0,5.0,5.0,5.0,12.0,5.0,13.0,8.0,10.0,5.0,14.0,5.0,10.0,8.0,12.0,5.0,11.0,10.0,10.0,5.0,5.0,10.0,10.0,14.0,5.0,15.0
archeoloog,10.0,8.0,9.0,20.0,10.0,10.0,6.0,5.0,11.0,5.0,10.0,10.0,5.0,5.0,10.0,11.0,5.0,5.0,5.0,5.0,15.0,9.0,9.0,10.0,5.0,5.0,12.0,10.0,8.0,5.0
architect,12.0,10.0,6.0,10.0,20.0,8.0,11.0,5.0,13.0,10.0,7.0,9.0,10.0,8.0,10.0,11.0,5.0,5.0,5.0,15.0,15.0,8.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0
bakker,10.0,5.0,5.0,10.0,8.0,20.0,5.0,8.0,12.0,5.0,5.0,4.0,5.0,15.0,5.0,5.0,5.0,5.0,9.0,8.0,10.0,10.0,8.0,5.0,4.0,10.0,5.0,6.0,5.0,10.0
boekhouder,10.0,5.0,5.0,6.0,11.0,5.0,20.0,5.0,5.0,10.0,5.0,12.0,5.0,5.0,10.0,5.0,10.0,12.0,5.0,10.0,5.0,8.0,5.0,10.0,10.0,5.0,9.0,5.0,5.0,10.0
brandweerman,5.0,5.0,5.0,5.0,5.0,8.0,5.0,20.0,7.0,11.0,8.0,10.0,5.0,5.0,12.0,12.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0
dierenarts,5.0,8.0,12.0,11.0,13.0,12.0,5.0,7.0,20.0,7.0,16.0,5.0,12.0,10.0,5.0,5.0,7.0,10.0,5.0,10.0,12.0,11.0,10.0,2.0,4.0,5.0,10.0,18.0,7.0,10.0
directeur,10.0,12.0,5.0,5.0,10.0,5.0,10.0,11.0,7.0,20.0,5.0,11.0,8.0,5.0,12.0,5.0,5.0,10.0,5.0,5.0,10.0,15.0,5.0,10.0,10.0,7.0,10.0,5.0,5.0,7.0
