exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
acteur,20.0,11.0,3.0,5.0,4.0,8.0,3.0,5.0,5.0,9.0,7.0,7.0,8.0,5.0,6.0,6.0,15.0,9.0,10.0,5.0,4.0,9.0,12.0,5.0,4.0,3.0,6.0,6.0,6.0,6.0
advocaat,11.0,20.0,6.0,8.0,9.0,7.0,8.0,4.0,5.0,12.0,11.0,8.0,6.0,8.0,4.0,6.0,4.0,12.0,7.0,9.0,11.0,6.0,11.0,16.0,7.0,4.0,9.0,4.0,7.0,6.0
apotheker,3.0,6.0,20.0,6.0,8.0,6.0,8.0,3.0,5.0,6.0,14.0,4.0,14.0,6.0,5.0,5.0,8.0,7.0,2.0,8.0,5.0,6.0,13.0,7.0,7.0,9.0,9.0,11.0,3.0,12.0
archeoloog,5.0,8.0,6.0,20.0,7.0,5.0,8.0,6.0,7.0,5.0,2.0,8.0,6.0,3.0,6.0,6.0,3.0,6.0,6.0,6.0,3.0,9.0,8.0,4.0,8.0,9.0,9.0,2.0,4.0,2.0
architect,4.0,9.0,8.0,7.0,20.0,5.0,9.0,9.0,8.0,12.0,6.0,11.0,9.0,3.0,4.0,5.0,5.0,9.0,6.0,4.0,3.0,4.0,7.0,8.0,4.0,5.0,5.0,5.0,5.0,7.0
bakker,8.0,7.0,6.0,5.0,5.0,20.0,6.0,3.0,9.0,9.0,3.0,3.0,10.0,16.0,7.0,9.0,8.0,5.0,8.0,5.0,3.0,6.0,8.0,5.0,4.0,11.0,6.0,9.0,2.0,10.0
boekhouder,3.0,8.0,8.0,8.0,9.0,6.0,20.0,5.0,7.0,11.0,6.0,13.0,6.0,4.0,5.0,5.0,6.0,8.0,5.0,8.0,5.0,8.0,4.0,11.0,8.0,3.0,5.0,7.0,6.0,8.0
brandweerman,5.0,4.0,3.0,6.0,9.0,3.0,5.0,20.0,1.0,5.0,6.0,7.0,7.0,4.0,8.0,8.0,5.0,8.0,8.0,5.0,8.0,7.0,9.0,6.0,9.0,6.0,3.0,5.0,8.0,6.0
dierenarts,5.0,5.0,5.0,7.0,8.0,9.0,7.0,1.0,20.0,6.0,17.0,6.0,9.0,5.0,6.0,5.0,6.0,6.0,4.0,5.0,6.0,9.0,8.0,8.0,6.0,12.0,4.0,12.0,7.0,5.0
directeur,9.0,12.0,6.0,5.0,12.0,9.0,11.0,5.0,6.0,20.0,8.0,12.0,8.0,6.0,12.0,6.0,6.0,9.0,8.0,10.0,6.0,6.0,10.0,11.0,10.0,6.0,6.0,5.0,5.0,6.0
