exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
acteur,20.0,7.0,9.0,8.0,10.0,9.0,10.0,7.0,11.0,11.0,10.0,10.0,7.0,9.0,12.0,5.0,12.0,11.0,11.0,12.0,1.0,8.0,12.0,11.0,5.0,6.0,8.0,9.0,7.0,11.0
advocaat,7.0,20.0,12.0,12.0,14.0,10.0,14.0,9.0,13.0,12.0,14.0,12.0,11.0,6.0,11.0,8.0,7.0,13.0,11.0,11.0,8.0,10.0,14.0,15.0,8.0,6.0,7.0,11.0,6.0,8.0
apotheker,9.0,12.0,20.0,13.0,12.0,12.0,6.0,9.0,12.0,14.0,13.0,9.0,12.0,11.0,11.0,6.0,5.0,11.0,11.0,12.0,8.0,7.0,12.0,12.0,5.0,6.0,7.0,14.0,6.0,12.0
archeoloog,8.0,12.0,13.0,20.0,13.0,7.0,11.0,7.0,12.0,8.0,11.0,7.0,12.0,6.0,9.0,6.0,7.0,8.0,11.0,5.0,10.0,9.0,13.0,12.0,7.0,7.0,7.0,12.0,10.0,7.0
architect,10.0,14.0,12.0,13.0,20.0,9.0,11.0,9.0,12.0,12.0,11.0,13.0,12.0,7.0,11.0,12.0,11.0,13.0,11.0,11.0,7.0,8.0,14.0,13.0,9.0,8.0,7.0,13.0,5.0,7.0
bakker,9.0,10.0,12.0,7.0,9.0,20.0,7.0,11.0,10.0,7.0,7.0,7.0,9.0,14.0,12.0,11.0,11.0,7.0,10.0,11.0,8.0,11.0,10.0,7.0,8.0,12.0,7.0,8.0,8.0,14.0
boekhouder,10.0,14.0,6.0,11.0,11.0,7.0,20.0,8.0,7.0,11.0,11.0,13.0,10.0,7.0,13.0,9.0,8.0,7.0,11.0,10.0,11.0,8.0,11.0,12.0,12.0,9.0,8.0,11.0,8.0,11.0
brandweerman,7.0,9.0,9.0,7.0,9.0,11.0,8.0,20.0,10.0,11.0,11.0,6.0,8.0,8.0,11.0,13.0,8.0,10.0,6.0,12.0,14.0,12.0,6.0,8.0,4.0,8.0,7.0,8.0,14.0,10.0
dierenarts,11.0,13.0,12.0,12.0,12.0,10.0,7.0,10.0,20.0,13.0,15.0,8.0,13.0,7.0,8.0,9.0,7.0,13.0,11.0,7.0,8.0,8.0,14.0,14.0,8.0,9.0,9.0,13.0,8.0,7.0
directeur,11.0,12.0,14.0,8.0,12.0,7.0,11.0,11.0,13.0,20.0,13.0,8.0,11.0,9.0,9.0,8.0,9.0,13.0,10.0,11.0,8.0,8.0,12.0,14.0,14.0,5.0,8.0,11.0,5.0,7.0
