exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
acteur,20.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0
advocaat,3.0,20.0,6.0,3.0,5.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,13.0,4.0,3.0,2.0,5.0,2.0,3.0
apotheker,2.0,6.0,20.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,8.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,5.0,2.0,10.0
archeoloog,3.0,3.0,3.0,20.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0
architect,3.0,5.0,4.0,3.0,20.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,5.0,3.0,3.0
bakker,2.0,2.0,3.0,2.0,3.0,20.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,16.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,9.0,2.0,3.0,3.0,4.0
boekhouder,3.0,4.0,3.0,3.0,3.0,2.0,20.0,3.0,3.0,6.0,3.0,5.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,10.0,2.0,3.0,3.0,2.0,3.0
brandweerman,3.0,2.0,3.0,2.0,3.0,4.0,3.0,20.0,2.0,3.0,6.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,11.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0
dierenarts,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,20.0,3.0,13.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,13.0,3.0,3.0
directeur,3.0,4.0,4.0,4.0,5.0,3.0,6.0,3.0,3.0,20.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,7.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0
dokter,3.0,5.0,8.0,4.0,4.0,2.0,3.0,6.0,13.0,4.0,20.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,13.0,5.0,3.0,2.0,4.0,15.0,2.0,3.0
informaticus,3.0,4.0,3.0,4.0,5.0,2.0,5.0,2.0,2.0,3.0,4.0,20.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0
kinesist,3.0,4.0,4.0,3.0,3.0,3.0,5.0,2.0,4.0,3.0,3.0,3.0,20.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0,5.0,3.0,2.0,3.0,8.0,2.0,3.0
kok,3.0,3.0,3.0,3.0,3.0,16.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,20.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,14.0,3.0,3.0,3.0,3.0
leraar,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,20.0,3.0,3.0,3.0,13.0,3.0,3.0,3.0,7.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
loodgieter,3.0,2.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,20.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,5.0,2.0,2.0,4.0,3.0
marktkramer,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,20.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,7.0
minister,3.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,7.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,20.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0
opvoedster,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,13.0,2.0,2.0,3.0,20.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0
piloot,2.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,20.0,3.0,2.0,4.0,4.0,2.0,2.0,7.0,4.0,2.0,3.0
politieagent,3.0,5.0,2.0,3.0,3.0,3.0,3.0,11.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,20.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0
postbode,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,20.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,5.0
psycholoog,3.0,4.0,4.0,3.0,3.0,3.0,5.0,2.0,3.0,4.0,13.0,3.0,4.0,2.0,7.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,20.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0
rechter,3.0,13.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,4.0,20.0,3.0,3.0,2.0,3.0,2.0,2.0
secretaresse,3.0,4.0,4.0,3.0,3.0,3.0,10.0,2.0,3.0,2.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,20.0,2.0,8.0,3.0,2.0,3.0
slager,2.0,3.0,2.0,3.0,2.0,9.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,14.0,3.0,5.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,20.0,2.0,3.0,5.0,4.0
stewardess,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,7.0,2.0,2.0,3.0,2.0,8.0,2.0,20.0,3.0,2.0,3.0
tandarts,3.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,13.0,4.0,15.0,3.0,8.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,20.0,3.0,3.0
vuilnisman,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,5.0,2.0,3.0,20.0,3.0
winkelbediende,3.0,3.0,10.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,2.0,3.0,3.0,3.0,5.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,20.0
