exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
acteur,20.0,12.0,9.0,9.0,12.0,7.0,8.0,10.0,11.0,9.0,11.0,11.0,10.0,12.0,11.0,9.0,11.0,13.0,12.0,11.0,12.0,10.0,11.0,13.0,12.0,9.0,12.0,9.0,9.0,11.0
advocaat,12.0,20.0,14.0,7.0,12.0,11.0,7.0,6.0,8.0,11.0,11.0,11.0,10.0,11.0,12.0,10.0,5.0,14.0,11.0,13.0,12.0,12.0,13.0,14.0,13.0,11.0,10.0,12.0,8.0,11.0
apotheker,9.0,14.0,20.0,9.0,11.0,12.0,13.0,11.0,13.0,13.0,14.0,10.0,12.0,11.0,8.0,9.0,10.0,12.0,11.0,9.0,10.0,8.0,13.0,11.0,10.0,11.0,8.0,13.0,11.0,13.0
archeoloog,9.0,7.0,9.0,20.0,14.0,8.0,12.0,7.0,11.0,11.0,10.0,11.0,11.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,9.0,12.0,11.0,11.0,10.0,11.0,11.0,9.0,7.0
architect,12.0,12.0,11.0,14.0,20.0,11.0,11.0,6.0,12.0,12.0,12.0,13.0,12.0,11.0,10.0,12.0,8.0,10.0,10.0,11.0,9.0,10.0,9.0,13.0,13.0,10.0,10.0,8.0,9.0,10.0
bakker,7.0,11.0,12.0,8.0,11.0,20.0,9.0,11.0,7.0,7.0,9.0,11.0,9.0,13.0,12.0,10.0,10.0,8.0,8.0,10.0,11.0,13.0,9.0,9.0,12.0,15.0,10.0,12.0,10.0,1.0
boekhouder,8.0,7.0,13.0,12.0,11.0,9.0,20.0,9.0,9.0,14.0,11.0,12.0,11.0,11.0,12.0,9.0,12.0,12.0,8.0,12.0,12.0,13.0,11.0,13.0,15.0,11.0,11.0,11.0,11.0,12.0
brandweerman,10.0,6.0,11.0,7.0,6.0,11.0,9.0,20.0,7.0,11.0,9.0,12.0,9.0,10.0,11.0,13.0,12.0,10.0,11.0,11.0,14.0,11.0,8.0,11.0,9.0,8.0,11.0,9.0,10.0,9.0
dierenarts,11.0,8.0,13.0,11.0,12.0,7.0,9.0,7.0,20.0,12.0,12.0,8.0,12.0,10.0,8.0,9.0,10.0,11.0,9.0,9.0,11.0,10.0,12.0,11.0,11.0,10.0,11.0,13.0,6.0,9.0
directeur,9.0,11.0,13.0,11.0,12.0,7.0,14.0,11.0,12.0,20.0,13.0,13.0,13.0,9.0,12.0,9.0,8.0,15.0,11.0,12.0,11.0,9.0,12.0,14.0,13.0,7.0,11.0,11.0,7.0,12.0
dokter,11.0,11.0,14.0,10.0,12.0,9.0,11.0,9.0,12.0,13.0,20.0,11.0,14.0,11.0,11.0,10.0,7.0,11.0,11.0,11.0,9.0,8.0,14.0,12.0,13.0,12.0,8.0,14.0,7.0,10.0
informaticus,11.0,11.0,10.0,11.0,13.0,11.0,12.0,12.0,8.0,13.0,11.0,20.0,11.0,9.0,11.0,9.0,9.0,11.0,11.0,12.0,10.0,8.0,11.0,10.0,12.0,10.0,9.0,9.0,7.0,12.0
kinesist,10.0,10.0,12.0,11.0,12.0,9.0,11.0,9.0,12.0,13.0,14.0,11.0,20.0,10.0,9.0,11.0,11.0,9.0,10.0,11.0,10.0,9.0,15.0,9.0,10.0,13.0,11.0,17.0,7.0,10.0
