exemplar,generation frequency,mean rank position
adder,5,3.0
alligator,14,3.785714286
boa,1,4.0
cobra,1,3.0
dinosaurus,14,2.642857143
gekko,5,3.4
hagedis,80,2.175
hazelworm,1,4.0
kaaiman,2,3.0
kameleon,22,3.181818182
kikker,7,2.0
krokodil,79,2.113924051
leguaan,17,3.058823529
pad,4,3.0
python,1,5.0
salamander,29,2.275862069
schildpad,23,3.043478261
slang,92,1.891304348
varaan,7,4.142857143
waterschildpad,1,4.0
