exemplar,generation frequency,mean rank position
bazooka,12,4.9
bijl,9,4.6
boksbeugel,6,4.0
boog,16,4.8
dolk,26,4.0
geweer,71,1.9
granaat,8,5.6
kanon,28,4.9
katapult,3,4.6
knuppel,23,4.3
mitrailleur,18,4.4
pistool,60,2.0
schild,3,6.6
speer,15,5.6
stok,15,4.5
tank,6,5.7
touw,15,4.2
tweeloop,2,2.0
zwaard,34,4.2
zweep,4,5.8
