exemplar,generation frequency,mean rank position
ansjovis,3,6.666666667
dolfijn,13,3.769230769
forel,47,2.936170213
goudvis,74,2.972972973
haai,45,3.622222222
haring,23,3.652173913
inktvis,10,4.0
kabeljauw,68,2.955882353
karper,25,3.24
orka,5,7.6
paling,32,4.28125
piranha,5,5.8
pladijs,14,3.785714286
platvis,8,5.625
potvis,4,3.75
rog,13,4.333333333
sardine,14,5.642857143
snoek,22,3.363636364
stekelbaars,7,5.285714286
tong,36,4.333333333
walvis,16,3.6875
zalm,82,3.317073171
zwaardvis,7,4.857142857
