exemplar,generation frequency,mean rank position
bij,66,3.742424242
bloedzuiger,1,5.0
daas,4,5.5
duizendpoot,11,5.727272727
fruitvlieg,2,7.0
hommel,12,6.5
kakkerlak,18,4.277777778
kever,50,4.22
krekel,9,3.0
libel,10,5.6
lieveheersbeestje,28,4.321428571
luis,6,6.666666667
meikever,3,4.0
mier,67,3.47761194
mot,2,6.0
mug,99,2.565656566
oorworm,3,6.666666667
pissebed,3,6.333333333
rups,6,5.833333333
spin,54,3.574074074
sprinkhaan,17,5.058823529
vlieg,101,2.277227723
vlinder,18,5.333333333
vlo,11,5.181818182
wesp,55,4.181818182
worm,16,4.3125
