exemplar,missing,mean,std,nonmissing
bathing suit,0,6.06,1.45,35
beanie,0,6.52,0.87,29
belt,0,6.48,1.09,27
blouse,0,5.67,1.12,30
boots,0,6.39,0.99,31
bra,0,6.55,0.89,31
cap,0,6.34,0.8,35
coat,0,6.46,0.8,37
dress,0,5.83,1.38,35
dungarees,0,5.5,1.8,30
hat,0,6.32,0.91,34
jeans,0,6.8,0.48,30
mittens,0,6.5,1.07,30
panties,0,6.03,1.42,33
pants,0,6.44,0.88,36
pullover,0,6.43,0.86,30
pyjamas,0,6.0,1.25,33
scarf,0,6.31,1.12,32
shirt,0,6.18,1.34,34
shoes,0,6.52,0.8,33
shorts,0,6.12,1.18,26
skirt,0,6.27,1.1,33
socks,0,6.29,1.19,34
suit,0,6.38,0.98,29
sweater,0,6.55,0.87,33
t-shirt,0,6.62,0.7,34
tie,0,6.0,1.35,35
top,0,5.81,1.36,27
tracksuit,0,5.81,1.49,32
