exemplar,missing,mean,std,nonmissing
apple,0,6.74,0.62,34
apricot,0,5.29,1.78,28
banana,0,6.63,0.85,30
blackberry,0,5.26,1.79,31
blueberry,0,4.97,1.65,35
cherry,0,6.39,1.0,33
coconut,0,6.17,1.14,29
dates,3,4.55,1.89,31
fig,0,5.33,1.73,27
grape,0,6.5,0.88,32
grapefruit,0,5.62,1.33,34
kiwi,0,6.54,0.92,35
lemon,0,6.67,0.68,27
lime,0,5.47,1.68,36
lychee,3,5.73,1.72,30
mandarine,1,6.03,1.7,31
mango,0,6.03,1.19,30
melon,0,6.09,1.24,34
nectarine,0,5.79,1.58,33
orange,0,6.77,0.5,31
papaya,0,3.97,1.91,34
passion fruit,0,5.23,1.84,31
peach,0,6.0,1.36,29
pear,0,6.32,1.17,31
pineapple,0,6.06,1.3,34
plum,0,5.32,1.68,31
pumpkin,0,6.64,0.62,28
raspberry,0,5.27,1.62,30
red currant,3,3.75,1.88,32
strawberry,0,6.09,0.96,32
