exemplar,missing,mean,std,nonmissing
anchovy,0,4.13,1.73,31
carp,0,4.58,2.01,31
cod,0,4.58,2.01,31
dolphin,0,6.5,0.92,32
eel,0,4.59,2.09,32
flatfish,0,4.0,2.13,32
goldfish,0,6.54,0.69,37
herring,1,4.41,1.97,34
orca,0,6.26,1.18,31
pike,1,4.82,1.91,34
piranha,0,4.62,1.69,34
plaice,2,4.03,1.87,30
ray,0,4.56,1.8,34
salmon,0,5.9,1.47,30
sardine,0,4.64,1.95,33
shark,2,6.14,1.13,29
sole,0,6.4,1.04,30
sperm whale,0,4.8,1.94,30
squid,0,6.48,0.93,31
stickleback,0,3.82,1.89,28
swordfish,0,4.48,1.7,27
trout,1,5.1,1.58,31
whale,0,6.18,1.16,28
