exemplar,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,1.0,0.21000000000000002,0.176,0.24,0.16799999999999998,0.172,0.13999999999999999,0.11200000000000002,0.16799999999999998,0.314,0.21000000000000002,0.22599999999999998,0.268,0.356,0.19,0.252,0.34199999999999997,0.21000000000000002,0.176,0.148,0.24,0.2,0.36,0.13999999999999999,0.18333333333333332,0.12916666666666668,0.20416666666666666,0.17291666666666666,0.2791666666666667,0.21458333333333335,0.17708333333333331,0.16041666666666668,0.19583333333333333
bord,0.21000000000000002,1.0,0.22200000000000003,0.22400000000000003,0.21000000000000002,0.172,0.352,0.16799999999999998,0.264,0.158,0.16799999999999998,0.49800000000000005,0.398,0.354,0.238,0.192,0.13,0.378,0.188,0.344,0.422,0.194,0.144,0.176,0.12708333333333333,0.35625,0.3,0.30416666666666664,0.37916666666666665,0.17291666666666666,0.2791666666666667,0.34791666666666665,0.24375
broodrooster,0.176,0.22200000000000003,1.0,0.136,0.298,0.27599999999999997,0.11599999999999999,0.16999999999999998,0.246,0.174,0.296,0.144,0.176,0.174,0.356,0.22999999999999998,0.158,0.21200000000000002,0.374,0.262,0.16799999999999998,0.16399999999999998,0.13,0.142,0.15,0.1625,0.1375,0.16041666666666668,0.18958333333333333,0.30833333333333335,0.17916666666666667,0.1625,0.16041666666666668
fles,0.24,0.22400000000000003,0.136,1.0,0.18,0.242,0.458,0.162,0.26,0.154,0.22599999999999998,0.284,0.162,0.22999999999999998,0.136,0.20400000000000001,0.162,0.158,0.13,0.198,0.32,0.136,0.128,0.12,0.17708333333333331,0.33333333333333337,0.175,0.17916666666666667,0.19375,0.26041666666666663,0.15208333333333332,0.19375,0.14791666666666667
fornuis,0.16799999999999998,0.21000000000000002,0.298,0.18,1.0,0.392,0.162,0.196,0.38,0.21000000000000002,0.378,0.20400000000000001,0.146,0.23199999999999998,0.45999999999999996,0.21200000000000002,0.162,0.13799999999999998,0.536,0.43,0.296,0.13999999999999999,0.16799999999999998,0.244,0.16041666666666668,0.12708333333333333,0.10833333333333332,0.16458333333333333,0.18958333333333333,0.35833333333333334,0.17916666666666667,0.28541666666666665,0.1375
frigo,0.172,0.172,0.27599999999999997,0.242,0.392,1.0,0.22999999999999998,0.162,0.16999999999999998,0.13,0.198,0.198,0.142,0.144,0.38,0.244,0.15,0.1,0.33199999999999996,0.172,0.188,0.132,0.16599999999999998,0.12,0.14791666666666667,0.16041666666666668,0.12291666666666667,0.1625,0.13958333333333334,0.20833333333333334,0.18333333333333332,0.21041666666666664,0.10416666666666667
glas,0.13999999999999999,0.352,0.11599999999999999,0.458,0.162,0.22999999999999998,1.0,0.152,0.22000000000000003,0.182,0.246,0.33199999999999996,0.246,0.20800000000000002,0.21000000000000002,0.154,0.144,0.194,0.152,0.242,0.32,0.172,0.20400000000000001,0.16999999999999998,0.18958333333333333,0.6520833333333333,0.1875,0.16458333333333333,0.225,0.33125,0.16458333333333333,0.22291666666666665,0.18541666666666667
handdoek,0.11200000000000002,0.16799999999999998,0.16999999999999998,0.162,0.196,0.162,0.152,1.0,0.20400000000000001,0.172,0.146,0.18,0.156,0.158,0.156,0.142,0.136,0.312,0.20800000000000002,0.15,0.192,0.16,0.136,0.45199999999999996,0.17083333333333334,0.14791666666666667,0.16666666666666669,0.225,0.18333333333333332,0.18541666666666667,0.17083333333333334,0.14166666666666666,0.20625
ketel,0.16799999999999998,0.264,0.246,0.26,0.38,0.16999999999999998,0.22000000000000003,0.20400000000000001,1.0,0.238,0.418,0.422,0.23399999999999999,0.196,0.362,0.198,0.122,0.202,0.352,0.40800000000000003,0.6639999999999999,0.21000000000000002,0.144,0.13,0.24166666666666664,0.28125,0.28958333333333336,0.3104166666666667,0.16875,0.4645833333333333,0.2,0.3458333333333333,0.25833333333333336
klopper,0.314,0.158,0.174,0.154,0.21000000000000002,0.13,0.182,0.172,0.238,1.0,0.16799999999999998,0.294,0.42800000000000005,0.282,0.18,0.732,0.268,0.23199999999999998,0.15,0.20800000000000002,0.20800000000000002,0.252,0.244,0.202,0.4375,0.19166666666666668,0.29583333333333334,0.1875,0.4354166666666667,0.175,0.16875,0.18125,0.23125
koffiezet,0.21000000000000002,0.16799999999999998,0.296,0.22599999999999998,0.378,0.198,0.246,0.146,0.418,0.16799999999999998,1.0,0.304,0.272,0.148,0.294,0.324,0.16799999999999998,0.186,0.21400000000000002,0.162,0.382,0.144,0.118,0.182,0.175,0.4083333333333333,0.24583333333333335,0.29166666666666663,0.18125,0.4958333333333333,0.16041666666666668,0.16875,0.24583333333333335
kom,0.22599999999999998,0.49800000000000005,0.144,0.284,0.20400000000000001,0.198,0.33199999999999996,0.18,0.422,0.294,0.304,1.0,0.202,0.178,0.24,0.294,0.146,0.20400000000000001,0.322,0.5,0.6980000000000001,0.16999999999999998,0.136,0.20400000000000001,0.23958333333333334,0.4875,0.16666666666666669,0.4729166666666667,0.21875,0.23541666666666666,0.3,0.5645833333333333,0.33541666666666664
lepel,0.268,0.398,0.176,0.162,0.146,0.142,0.246,0.156,0.23399999999999999,0.42800000000000005,0.272,0.202,1.0,0.592,0.156,0.286,0.21800000000000003,0.176,0.128,0.238,0.21600000000000003,0.2,0.316,0.148,0.5291666666666667,0.30625,0.8875,0.15833333333333333,0.6270833333333333,0.17083333333333334,0.17083333333333334,0.21875,0.20625
mes,0.356,0.354,0.174,0.22999999999999998,0.23199999999999998,0.144,0.20800000000000002,0.158,0.196,0.282,0.148,0.178,0.592,1.0,0.186,0.21400000000000002,0.196,0.13799999999999998,0.18,0.22999999999999998,0.202,0.374,0.614,0.178,0.39166666666666666,0.24791666666666665,0.4041666666666667,0.13125,0.5770833333333333,0.1125,0.18541666666666667,0.15625,0.22291666666666665
microgolf,0.19,0.238,0.356,0.136,0.45999999999999996,0.38,0.21000000000000002,0.156,0.362,0.18,0.294,0.24,0.156,0.186,1.0,0.21000000000000002,0.154,0.176,0.658,0.33199999999999996,0.262,0.142,0.128,0.11599999999999999,0.11875,0.27708333333333335,0.13333333333333333,0.14375,0.20625,0.3625,0.19791666666666669,0.23958333333333334,0.12291666666666667
mixer,0.252,0.192,0.22999999999999998,0.20400000000000001,0.21200000000000002,0.244,0.154,0.142,0.198,0.732,0.324,0.294,0.286,0.21400000000000002,0.21000000000000002,1.0,0.21800000000000003,0.144,0.20400000000000001,0.20600000000000002,0.21800000000000003,0.274,0.248,0.172,0.32291666666666663,0.17916666666666667,0.1875,0.18125,0.29375,0.20625,0.19166666666666668,0.17291666666666666,0.20416666666666666
notenkraker,0.34199999999999997,0.13,0.158,0.162,0.162,0.15,0.144,0.136,0.122,0.268,0.16799999999999998,0.146,0.21800000000000003,0.196,0.154,0.21800000000000003,1.0,0.144,0.154,0.142,0.152,0.21600000000000003,0.302,0.16,0.20208333333333334,0.15,0.20625,0.125,0.20833333333333334,0.2520833333333333,0.225,0.14791666666666667,0.14583333333333331
onderlegger,0.21000000000000002,0.378,0.21200000000000002,0.158,0.13799999999999998,0.1,0.194,0.312,0.202,0.23199999999999998,0.186,0.20400000000000001,0.176,0.13799999999999998,0.176,0.144,0.144,1.0,0.176,0.24,0.238,0.16399999999999998,0.128,0.16599999999999998,0.18958333333333333,0.22916666666666666,0.15,0.14791666666666667,0.18125,0.14583333333333331,0.18333333333333332,0.15416666666666667,0.15
oven,0.176,0.188,0.374,0.13,0.536,0.33199999999999996,0.152,0.20800000000000002,0.352,0.15,0.21400000000000002,0.322,0.128,0.18,0.658,0.20400000000000001,0.154,0.176,1.0,0.404,0.324,0.126,0.146,0.252,0.15,0.14791666666666667,0.14791666666666667,0.19375,0.24375,0.36458333333333337,0.21041666666666664,0.35625,0.13125
