exemplar,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screw wrench (engelse sleutel),screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
anvil,20.0,6.0,5.0,6.0,12.0,5.0,5.0,,6.0,11.0,14.0,4.0,6.0,,6.0,4.0,,3.0,6.0,4.0,,,6.0,3.0,5.0,,,6.0,,3.0
axe,6.0,20.0,5.0,6.0,4.0,7.0,5.0,,5.0,4.0,7.0,6.0,5.0,,3.0,3.0,,12.0,5.0,6.0,,,6.0,4.0,7.0,,,5.0,,5.0
chisel,5.0,5.0,20.0,5.0,10.0,7.0,5.0,,6.0,8.0,8.0,8.0,3.0,,9.0,4.0,,7.0,9.0,6.0,,,6.0,8.0,5.0,,,5.0,,6.0
clamp,6.0,6.0,5.0,20.0,3.0,6.0,5.0,,5.0,6.0,6.0,5.0,4.0,,4.0,2.0,,5.0,4.0,4.0,,,5.0,6.0,5.0,,,6.0,,5.0
crowbar (breekijzer),12.0,4.0,10.0,3.0,20.0,10.0,5.0,,6.0,7.0,7.0,9.0,4.0,,5.0,4.0,,6.0,7.0,5.0,,,6.0,6.0,7.0,,,5.0,,7.0
crowbar (koevoet),5.0,7.0,7.0,6.0,10.0,20.0,6.0,,7.0,5.0,8.0,6.0,5.0,,2.0,4.0,,6.0,6.0,7.0,,,6.0,7.0,6.0,,,5.0,,13.0
drill,5.0,5.0,5.0,5.0,5.0,6.0,20.0,,4.0,5.0,7.0,4.0,6.0,,4.0,6.0,,5.0,5.0,7.0,,,3.0,6.0,4.0,,,5.0,,5.0
file,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,
filling knife,6.0,5.0,6.0,5.0,6.0,7.0,4.0,,20.0,6.0,3.0,11.0,4.0,,3.0,3.0,,6.0,11.0,3.0,,,6.0,5.0,8.0,,,4.0,,5.0
grinding disc,11.0,4.0,8.0,6.0,7.0,5.0,5.0,,6.0,20.0,5.0,7.0,9.0,,5.0,4.0,,5.0,7.0,6.0,,,5.0,4.0,7.0,,,6.0,,5.0
hammer,14.0,7.0,8.0,6.0,7.0,8.0,7.0,,3.0,5.0,20.0,6.0,3.0,,5.0,4.0,,6.0,5.0,3.0,,,6.0,9.0,4.0,,,5.0,,5.0
knife,4.0,6.0,8.0,5.0,9.0,6.0,4.0,,11.0,7.0,6.0,20.0,5.0,,6.0,1.0,,6.0,13.0,5.0,,,7.0,8.0,3.0,,,5.0,,10.0
lawn mower,6.0,5.0,3.0,4.0,4.0,5.0,6.0,,4.0,9.0,3.0,5.0,20.0,,3.0,4.0,,5.0,7.0,13.0,,,4.0,3.0,5.0,,,6.0,,7.0
level,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
nail,6.0,3.0,9.0,4.0,5.0,2.0,4.0,,3.0,5.0,5.0,6.0,3.0,,20.0,2.0,,5.0,8.0,3.0,,,7.0,11.0,4.0,,,3.0,,8.0
oil can,4.0,3.0,4.0,2.0,4.0,4.0,6.0,,3.0,4.0,4.0,1.0,4.0,,2.0,20.0,,2.0,4.0,3.0,,,3.0,2.0,3.0,,,2.0,,5.0
paint brush,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
pickaxe,3.0,12.0,7.0,5.0,6.0,6.0,5.0,,6.0,5.0,6.0,6.0,5.0,,5.0,2.0,,20.0,5.0,7.0,,,6.0,4.0,7.0,,,5.0,,6.0
plane,6.0,5.0,9.0,4.0,7.0,6.0,5.0,,11.0,7.0,5.0,13.0,7.0,,8.0,4.0,,5.0,20.0,3.0,,,6.0,6.0,5.0,,,4.0,,6.0
plough,4.0,6.0,6.0,4.0,5.0,7.0,7.0,,3.0,6.0,3.0,5.0,13.0,,3.0,3.0,,7.0,3.0,20.0,,,4.0,4.0,11.0,,,7.0,,5.0
rope,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
saw,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
screw wrench (engelse sleutel),6.0,6.0,6.0,5.0,6.0,6.0,3.0,,6.0,5.0,6.0,7.0,4.0,,7.0,3.0,,6.0,6.0,4.0,,,20.0,6.0,5.0,,,4.0,,12.0
screwdriver,3.0,4.0,8.0,6.0,6.0,7.0,6.0,,5.0,4.0,9.0,8.0,3.0,,11.0,2.0,,4.0,6.0,4.0,,,6.0,20.0,4.0,,,3.0,,8.0
shovel,5.0,7.0,5.0,5.0,7.0,6.0,4.0,,8.0,7.0,4.0,3.0,5.0,,4.0,3.0,,7.0,5.0,11.0,,,5.0,4.0,20.0,,,6.0,,5.0
tongs,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
vacuum cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
wheelbarrow,6.0,5.0,5.0,6.0,5.0,5.0,5.0,,4.0,6.0,5.0,5.0,6.0,,3.0,2.0,,5.0,4.0,7.0,,,4.0,3.0,6.0,,,20.0,,5.0
wire brush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
wrench,3.0,5.0,6.0,5.0,7.0,13.0,5.0,,5.0,5.0,5.0,10.0,7.0,,8.0,5.0,,6.0,6.0,5.0,,,12.0,8.0,5.0,,,5.0,,20.0
