exemplar,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screw wrench (engelse sleutel),screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
anvil,20.0,15.0,16.0,15.0,17.0,17.0,14.0,15.0,16.0,15.0,17.0,15.0,14.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,16.0,15.0,15.0,14.0,15.0,16.0
axe,15.0,20.0,17.0,15.0,16.0,15.0,15.0,15.0,15.0,14.0,17.0,17.0,14.0,15.0,15.0,15.0,16.0,17.0,16.0,15.0,14.0,14.0,16.0,15.0,16.0,16.0,14.0,15.0,15.0,15.0
chisel,16.0,17.0,20.0,16.0,15.0,14.0,14.0,16.0,15.0,16.0,17.0,17.0,14.0,15.0,16.0,16.0,15.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,17.0,14.0,14.0,15.0,17.0
clamp,15.0,15.0,16.0,20.0,14.0,15.0,12.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,16.0,16.0,14.0,15.0,15.0,15.0,15.0,15.0,16.0,14.0,15.0,15.0,15.0
crowbar (breekijzer),17.0,16.0,15.0,14.0,20.0,18.0,14.0,16.0,15.0,14.0,15.0,15.0,14.0,16.0,15.0,15.0,15.0,15.0,15.0,14.0,13.0,15.0,17.0,16.0,16.0,16.0,14.0,15.0,14.0,15.0
crowbar (koevoet),17.0,15.0,14.0,15.0,18.0,20.0,14.0,15.0,15.0,14.0,16.0,16.0,14.0,15.0,15.0,15.0,14.0,18.0,16.0,15.0,14.0,15.0,15.0,15.0,16.0,15.0,14.0,16.0,15.0,15.0
drill,14.0,15.0,14.0,12.0,14.0,14.0,20.0,14.0,14.0,14.0,16.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,13.0,15.0,14.0,15.0,15.0,14.0,14.0,14.0,14.0,15.0
file,15.0,15.0,16.0,15.0,16.0,15.0,14.0,20.0,16.0,16.0,15.0,18.0,14.0,14.0,16.0,14.0,16.0,16.0,18.0,9.0,15.0,15.0,14.0,16.0,15.0,16.0,15.0,14.0,17.0,15.0
filling knife,16.0,15.0,15.0,15.0,15.0,15.0,14.0,16.0,20.0,14.0,14.0,18.0,14.0,16.0,15.0,14.0,16.0,15.0,16.0,15.0,13.0,16.0,16.0,15.0,15.0,16.0,14.0,14.0,15.0,15.0
grinding disc,15.0,14.0,16.0,14.0,14.0,14.0,14.0,16.0,14.0,20.0,14.0,16.0,15.0,15.0,14.0,14.0,14.0,15.0,16.0,15.0,14.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,15.0
hammer,17.0,17.0,17.0,15.0,15.0,16.0,16.0,15.0,14.0,14.0,20.0,15.0,15.0,15.0,15.0,14.0,16.0,16.0,14.0,15.0,14.0,16.0,16.0,16.0,15.0,16.0,14.0,14.0,15.0,14.0
knife,15.0,17.0,17.0,15.0,15.0,16.0,14.0,18.0,18.0,16.0,15.0,20.0,16.0,16.0,16.0,14.0,15.0,16.0,16.0,13.0,15.0,16.0,16.0,16.0,16.0,15.0,14.0,14.0,16.0,16.0
lawn mower,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,16.0,20.0,14.0,14.0,14.0,15.0,15.0,15.0,14.0,15.0,14.0,15.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0
level,15.0,15.0,15.0,15.0,16.0,15.0,14.0,14.0,16.0,15.0,15.0,16.0,14.0,20.0,15.0,14.0,15.0,15.0,14.0,13.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,13.0,15.0,14.0
nail,14.0,15.0,16.0,14.0,15.0,15.0,14.0,16.0,15.0,14.0,15.0,16.0,14.0,15.0,20.0,15.0,15.0,12.0,15.0,15.0,13.0,13.0,15.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0
oil can,15.0,15.0,16.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,20.0,15.0,14.0,15.0,11.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,16.0,15.0
paint brush,15.0,16.0,15.0,15.0,15.0,14.0,14.0,16.0,16.0,14.0,16.0,15.0,15.0,15.0,15.0,15.0,20.0,15.0,15.0,15.0,15.0,14.0,14.0,15.0,16.0,16.0,14.0,14.0,18.0,15.0
pickaxe,15.0,17.0,16.0,16.0,15.0,18.0,14.0,16.0,15.0,15.0,16.0,16.0,15.0,15.0,12.0,14.0,15.0,20.0,15.0,11.0,15.0,15.0,15.0,15.0,16.0,15.0,14.0,15.0,15.0,14.0
plane,15.0,16.0,16.0,16.0,15.0,16.0,14.0,18.0,16.0,16.0,14.0,16.0,15.0,14.0,15.0,15.0,15.0,15.0,20.0,15.0,15.0,17.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0
plough,15.0,15.0,16.0,14.0,14.0,15.0,14.0,9.0,15.0,15.0,15.0,13.0,14.0,13.0,15.0,11.0,15.0,11.0,15.0,20.0,15.0,15.0,14.0,15.0,15.0,15.0,16.0,16.0,15.0,14.0
