exemplar,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screw wrench (engelse sleutel),screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
anvil,20.0,5.0,9.0,7.0,17.0,15.0,5.0,7.0,6.0,6.0,11.0,8.0,4.0,9.0,11.0,7.0,10.0,12.0,6.0,7.0,5.0,5.0,10.0,5.0,7.0,10.0,5.0,9.0,4.0,12.0
axe,5.0,20.0,15.0,9.0,17.0,14.0,9.0,12.0,10.0,9.0,8.0,14.0,6.0,13.0,7.0,7.0,8.0,15.0,8.0,14.0,5.0,14.0,8.0,12.0,14.0,10.0,5.0,9.0,11.0,9.0
chisel,9.0,15.0,20.0,13.0,16.0,10.0,9.0,19.0,5.0,15.0,10.0,14.0,8.0,9.0,7.0,3.0,4.0,7.0,8.0,7.0,8.0,12.0,9.0,4.0,4.0,10.0,3.0,3.0,9.0,7.0
clamp,7.0,9.0,13.0,20.0,10.0,10.0,8.0,7.0,10.0,7.0,10.0,8.0,5.0,4.0,9.0,9.0,8.0,6.0,5.0,5.0,6.0,7.0,5.0,4.0,8.0,18.0,5.0,8.0,5.0,13.0
crowbar (breekijzer),17.0,17.0,16.0,10.0,20.0,18.0,6.0,11.0,10.0,9.0,12.0,18.0,8.0,5.0,11.0,16.0,10.0,16.0,13.0,6.0,8.0,14.0,11.0,7.0,13.0,12.0,3.0,4.0,5.0,7.0
crowbar (koevoet),15.0,14.0,10.0,10.0,18.0,20.0,5.0,12.0,10.0,9.0,10.0,11.0,7.0,9.0,9.0,6.0,14.0,15.0,8.0,5.0,5.0,5.0,15.0,12.0,7.0,10.0,7.0,7.0,11.0,9.0
drill,5.0,9.0,9.0,8.0,6.0,5.0,20.0,5.0,9.0,17.0,11.0,15.0,17.0,11.0,1.0,4.0,6.0,8.0,4.0,5.0,4.0,9.0,6.0,8.0,6.0,6.0,14.0,8.0,4.0,3.0
file,7.0,12.0,19.0,7.0,11.0,12.0,5.0,20.0,5.0,8.0,8.0,18.0,5.0,4.0,10.0,6.0,4.0,13.0,18.0,5.0,6.0,9.0,5.0,11.0,8.0,5.0,5.0,4.0,14.0,6.0
filling knife,6.0,10.0,5.0,10.0,10.0,10.0,9.0,5.0,20.0,11.0,7.0,7.0,4.0,12.0,3.0,6.0,7.0,8.0,16.0,15.0,9.0,4.0,12.0,7.0,11.0,16.0,3.0,3.0,7.0,8.0
grinding disc,6.0,9.0,15.0,7.0,9.0,9.0,17.0,8.0,11.0,20.0,7.0,12.0,7.0,5.0,8.0,5.0,8.0,5.0,14.0,6.0,6.0,14.0,3.0,6.0,8.0,8.0,9.0,9.0,14.0,7.0
hammer,11.0,8.0,10.0,10.0,12.0,10.0,11.0,8.0,7.0,7.0,20.0,9.0,4.0,15.0,8.0,11.0,4.0,17.0,8.0,7.0,7.0,12.0,7.0,14.0,8.0,13.0,3.0,5.0,6.0,6.0
knife,8.0,14.0,14.0,8.0,18.0,11.0,15.0,18.0,7.0,12.0,9.0,20.0,12.0,8.0,8.0,5.0,4.0,8.0,15.0,7.0,9.0,15.0,11.0,9.0,9.0,8.0,3.0,7.0,8.0,10.0
lawn mower,4.0,6.0,8.0,5.0,8.0,7.0,17.0,5.0,4.0,7.0,4.0,12.0,20.0,5.0,2.0,5.0,3.0,5.0,4.0,7.0,3.0,8.0,5.0,5.0,4.0,7.0,9.0,10.0,5.0,4.0
level,9.0,13.0,9.0,4.0,5.0,9.0,11.0,4.0,12.0,5.0,15.0,8.0,5.0,20.0,4.0,2.0,7.0,10.0,5.0,4.0,5.0,6.0,5.0,12.0,6.0,9.0,3.0,11.0,4.0,7.0
nail,11.0,7.0,7.0,9.0,11.0,9.0,1.0,10.0,3.0,8.0,8.0,8.0,2.0,4.0,20.0,5.0,6.0,8.0,9.0,9.0,6.0,5.0,5.0,6.0,7.0,11.0,2.0,3.0,7.0,11.0
oil can,7.0,7.0,3.0,9.0,16.0,6.0,4.0,6.0,6.0,5.0,11.0,5.0,5.0,2.0,5.0,20.0,6.0,7.0,6.0,5.0,9.0,6.0,8.0,7.0,6.0,5.0,3.0,7.0,6.0,8.0
paint brush,10.0,8.0,4.0,8.0,10.0,14.0,6.0,4.0,7.0,8.0,4.0,4.0,3.0,7.0,6.0,6.0,20.0,8.0,6.0,7.0,8.0,7.0,3.0,11.0,5.0,3.0,5.0,10.0,18.0,6.0
pickaxe,12.0,15.0,7.0,6.0,16.0,15.0,8.0,13.0,8.0,5.0,17.0,8.0,5.0,10.0,8.0,7.0,8.0,20.0,4.0,16.0,7.0,6.0,5.0,16.0,14.0,12.0,5.0,3.0,6.0,4.0
plane,6.0,8.0,8.0,5.0,13.0,8.0,4.0,18.0,16.0,14.0,8.0,15.0,4.0,5.0,9.0,6.0,6.0,4.0,20.0,8.0,4.0,16.0,8.0,14.0,7.0,9.0,6.0,9.0,7.0,7.0
plough,7.0,14.0,7.0,5.0,6.0,5.0,5.0,5.0,15.0,6.0,7.0,7.0,7.0,4.0,9.0,5.0,7.0,16.0,8.0,20.0,9.0,6.0,12.0,6.0,14.0,8.0,5.0,12.0,8.0,4.0
rope,5.0,5.0,8.0,6.0,8.0,5.0,4.0,6.0,9.0,6.0,7.0,9.0,3.0,5.0,6.0,9.0,8.0,7.0,4.0,9.0,20.0,5.0,5.0,5.0,5.0,12.0,5.0,6.0,3.0,8.0
saw,5.0,14.0,12.0,7.0,14.0,5.0,9.0,9.0,4.0,14.0,12.0,15.0,8.0,6.0,5.0,6.0,7.0,6.0,16.0,6.0,5.0,20.0,15.0,6.0,14.0,7.0,3.0,4.0,15.0,11.0
screw wrench (engelse sleutel),10.0,8.0,9.0,5.0,11.0,15.0,6.0,5.0,12.0,3.0,7.0,11.0,5.0,5.0,5.0,8.0,3.0,5.0,8.0,12.0,5.0,15.0,20.0,11.0,7.0,14.0,3.0,15.0,5.0,15.0
screwdriver,5.0,12.0,4.0,4.0,7.0,12.0,8.0,11.0,7.0,6.0,14.0,9.0,5.0,12.0,6.0,7.0,11.0,16.0,14.0,6.0,5.0,6.0,11.0,20.0,9.0,15.0,7.0,5.0,9.0,16.0
shovel,7.0,14.0,4.0,8.0,13.0,7.0,6.0,8.0,11.0,8.0,8.0,9.0,4.0,6.0,7.0,6.0,5.0,14.0,7.0,14.0,5.0,14.0,7.0,9.0,20.0,16.0,4.0,5.0,8.0,9.0
tongs,10.0,10.0,10.0,18.0,12.0,10.0,6.0,5.0,16.0,8.0,13.0,8.0,7.0,9.0,11.0,5.0,3.0,12.0,9.0,8.0,12.0,7.0,14.0,15.0,16.0,20.0,5.0,14.0,12.0,15.0
vacuum cleaner,5.0,5.0,3.0,5.0,3.0,7.0,14.0,5.0,3.0,9.0,3.0,3.0,9.0,3.0,2.0,3.0,5.0,5.0,6.0,5.0,5.0,3.0,3.0,7.0,4.0,5.0,20.0,11.0,5.0,5.0
wheelbarrow,9.0,9.0,3.0,8.0,4.0,7.0,8.0,4.0,3.0,9.0,5.0,7.0,10.0,11.0,3.0,7.0,10.0,3.0,9.0,12.0,6.0,4.0,15.0,5.0,5.0,14.0,11.0,20.0,3.0,10.0
wire brush,4.0,11.0,9.0,5.0,5.0,11.0,4.0,14.0,7.0,14.0,6.0,8.0,5.0,4.0,7.0,6.0,18.0,6.0,7.0,8.0,3.0,15.0,5.0,9.0,8.0,12.0,5.0,3.0,20.0,7.0
