exemplar,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screw wrench (engelse sleutel),screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
anvil,20.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,4.0,11.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
axe,2.0,20.0,13.0,6.0,4.0,3.0,6.0,10.0,4.0,1.0,17.0,18.0,1.0,2.0,3.0,1.0,1.0,18.0,12.0,1.0,1.0,2.0,2.0,3.0,6.0,2.0,1.0,1.0,1.0,3.0
chisel,3.0,13.0,20.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,11.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,8.0,10.0,1.0,1.0,2.0,2.0
clamp,2.0,6.0,2.0,20.0,4.0,9.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,10.0,2.0,2.0,2.0,4.0,11.0,1.0,1.0,1.0,2.0
crowbar (breekijzer),2.0,4.0,2.0,4.0,20.0,4.0,1.0,2.0,20.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,20.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0
crowbar (koevoet),2.0,3.0,4.0,9.0,4.0,20.0,1.0,3.0,2.0,3.0,6.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,12.0,5.0,1.0,10.0,3.0,2.0,11.0,2.0,1.0,1.0,2.0,2.0
drill,1.0,6.0,2.0,1.0,1.0,1.0,20.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,6.0
file,2.0,10.0,4.0,2.0,2.0,3.0,2.0,20.0,4.0,5.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,6.0,3.0,1.0,1.0,3.0,1.0,1.0,20.0,6.0
filling knife,3.0,4.0,2.0,2.0,20.0,2.0,2.0,4.0,20.0,11.0,2.0,9.0,1.0,10.0,2.0,1.0,4.0,15.0,8.0,9.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,13.0,3.0
grinding disc,5.0,1.0,2.0,2.0,3.0,3.0,1.0,5.0,11.0,20.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,10.0,12.0,8.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
hammer,2.0,17.0,5.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,20.0,1.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0
knife,1.0,18.0,2.0,2.0,2.0,4.0,1.0,6.0,9.0,2.0,1.0,20.0,1.0,11.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0
lawn mower,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,20.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,17.0,1.0,8.0,1.0
level,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,10.0,2.0,2.0,11.0,1.0,20.0,5.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,3.0,1.0,2.0
nail,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,20.0,1.0,10.0,10.0,2.0,1.0,1.0,5.0,11.0,3.0,6.0,3.0,1.0,1.0,3.0,2.0
oil can,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
paint brush,1.0,1.0,11.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,20.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,1.0,1.0,16.0,2.0
pickaxe,2.0,18.0,3.0,2.0,20.0,2.0,2.0,2.0,15.0,10.0,4.0,2.0,1.0,3.0,10.0,1.0,4.0,20.0,2.0,1.0,1.0,2.0,10.0,1.0,4.0,2.0,1.0,1.0,2.0,8.0
plane,4.0,12.0,2.0,2.0,2.0,12.0,1.0,2.0,8.0,12.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,20.0,1.0,1.0,2.0,2.0,2.0,2.0,9.0,1.0,1.0,2.0,2.0
plough,11.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,9.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
rope,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
saw,2.0,2.0,2.0,2.0,2.0,10.0,4.0,6.0,2.0,2.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,4.0,20.0,2.0,9.0,6.0,2.0,1.0,1.0,9.0,2.0
screw wrench (engelse sleutel),2.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,11.0,1.0,1.0,10.0,2.0,1.0,1.0,2.0,20.0,8.0,2.0,2.0,3.0,1.0,3.0,13.0
screwdriver,2.0,3.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,9.0,8.0,20.0,1.0,9.0,1.0,1.0,9.0,4.0
shovel,2.0,6.0,8.0,4.0,3.0,11.0,2.0,1.0,2.0,3.0,3.0,1.0,11.0,2.0,6.0,1.0,1.0,4.0,2.0,1.0,1.0,6.0,2.0,1.0,20.0,3.0,1.0,1.0,2.0,2.0
