exemplar,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screw wrench (engelse sleutel),screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
anvil,20.0,4.0,1.0,3.0,7.0,9.0,1.0,2.0,6.0,1.0,16.0,6.0,6.0,3.0,1.0,2.0,4.0,1.0,9.0,4.0,1.0,3.0,4.0,1.0,12.0,1.0,2.0,9.0,5.0,1.0
axe,4.0,20.0,7.0,2.0,6.0,4.0,7.0,5.0,8.0,3.0,16.0,16.0,5.0,4.0,6.0,9.0,3.0,16.0,6.0,15.0,1.0,9.0,6.0,4.0,1.0,8.0,2.0,5.0,5.0,5.0
chisel,1.0,7.0,20.0,1.0,4.0,13.0,8.0,4.0,4.0,1.0,11.0,6.0,5.0,6.0,4.0,1.0,15.0,13.0,4.0,5.0,1.0,5.0,18.0,15.0,9.0,4.0,4.0,1.0,7.0,4.0
clamp,3.0,2.0,1.0,20.0,11.0,1.0,3.0,2.0,5.0,5.0,4.0,5.0,2.0,8.0,4.0,6.0,3.0,6.0,3.0,3.0,1.0,5.0,19.0,5.0,3.0,13.0,3.0,1.0,1.0,4.0
crowbar (breekijzer),7.0,6.0,4.0,11.0,20.0,15.0,11.0,6.0,14.0,3.0,11.0,12.0,1.0,4.0,6.0,20.0,5.0,7.0,9.0,4.0,1.0,4.0,5.0,5.0,6.0,17.0,3.0,1.0,5.0,10.0
crowbar (koevoet),9.0,4.0,13.0,1.0,15.0,20.0,8.0,1.0,2.0,6.0,9.0,4.0,5.0,2.0,1.0,1.0,2.0,13.0,4.0,4.0,1.0,4.0,6.0,7.0,1.0,3.0,4.0,8.0,5.0,9.0
drill,1.0,7.0,8.0,3.0,11.0,8.0,20.0,1.0,8.0,14.0,8.0,8.0,14.0,5.0,3.0,1.0,3.0,5.0,4.0,5.0,1.0,2.0,6.0,2.0,1.0,4.0,16.0,5.0,5.0,6.0
file,2.0,5.0,4.0,2.0,6.0,1.0,1.0,20.0,16.0,5.0,6.0,19.0,5.0,5.0,4.0,4.0,6.0,6.0,18.0,8.0,1.0,13.0,4.0,3.0,5.0,4.0,1.0,2.0,17.0,4.0
filling knife,6.0,8.0,4.0,5.0,14.0,2.0,8.0,16.0,20.0,2.0,18.0,15.0,3.0,12.0,8.0,4.0,5.0,3.0,3.0,5.0,1.0,6.0,14.0,9.0,13.0,8.0,1.0,4.0,4.0,8.0
grinding disc,1.0,3.0,1.0,5.0,3.0,6.0,14.0,5.0,2.0,20.0,3.0,15.0,14.0,3.0,3.0,2.0,2.0,1.0,15.0,9.0,1.0,15.0,8.0,6.0,4.0,12.0,5.0,1.0,6.0,6.0
hammer,16.0,16.0,11.0,4.0,11.0,9.0,8.0,6.0,18.0,3.0,20.0,3.0,5.0,14.0,12.0,11.0,5.0,9.0,2.0,4.0,1.0,9.0,14.0,4.0,15.0,13.0,4.0,5.0,13.0,14.0
knife,6.0,16.0,6.0,5.0,12.0,4.0,8.0,19.0,15.0,15.0,3.0,20.0,4.0,9.0,3.0,1.0,13.0,8.0,9.0,13.0,3.0,19.0,4.0,13.0,8.0,11.0,4.0,3.0,3.0,9.0
lawn mower,6.0,5.0,5.0,2.0,1.0,5.0,14.0,5.0,3.0,14.0,5.0,4.0,20.0,6.0,1.0,5.0,2.0,4.0,12.0,18.0,1.0,1.0,2.0,2.0,6.0,4.0,17.0,11.0,5.0,3.0
level,3.0,4.0,6.0,8.0,4.0,2.0,5.0,5.0,12.0,3.0,14.0,9.0,6.0,20.0,2.0,2.0,4.0,2.0,16.0,1.0,1.0,4.0,15.0,8.0,3.0,8.0,2.0,1.0,9.0,15.0
nail,1.0,6.0,4.0,4.0,6.0,1.0,3.0,4.0,8.0,3.0,12.0,3.0,1.0,2.0,20.0,6.0,2.0,3.0,4.0,3.0,1.0,3.0,9.0,10.0,2.0,2.0,5.0,3.0,3.0,2.0
oil can,2.0,9.0,1.0,6.0,20.0,1.0,1.0,4.0,4.0,2.0,11.0,1.0,5.0,2.0,6.0,20.0,8.0,1.0,2.0,5.0,1.0,1.0,4.0,3.0,3.0,1.0,5.0,8.0,4.0,6.0
paint brush,4.0,3.0,15.0,3.0,5.0,2.0,3.0,6.0,5.0,2.0,5.0,13.0,2.0,4.0,2.0,8.0,20.0,13.0,2.0,4.0,6.0,5.0,5.0,13.0,3.0,4.0,15.0,2.0,13.0,5.0
pickaxe,1.0,16.0,13.0,6.0,7.0,13.0,5.0,6.0,3.0,1.0,9.0,8.0,4.0,2.0,3.0,1.0,13.0,20.0,5.0,11.0,1.0,6.0,4.0,5.0,17.0,5.0,3.0,4.0,1.0,3.0
plane,9.0,6.0,4.0,3.0,9.0,4.0,4.0,18.0,3.0,15.0,2.0,9.0,12.0,16.0,4.0,2.0,2.0,5.0,20.0,8.0,1.0,14.0,9.0,4.0,6.0,2.0,2.0,1.0,6.0,15.0
plough,4.0,15.0,5.0,3.0,4.0,4.0,5.0,8.0,5.0,9.0,4.0,13.0,18.0,1.0,3.0,5.0,4.0,11.0,8.0,20.0,1.0,12.0,7.0,11.0,12.0,14.0,2.0,9.0,9.0,2.0
rope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,20.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
saw,3.0,9.0,5.0,5.0,4.0,4.0,2.0,13.0,6.0,15.0,9.0,19.0,1.0,4.0,3.0,1.0,5.0,6.0,14.0,12.0,1.0,20.0,4.0,3.0,8.0,9.0,4.0,1.0,4.0,2.0
screw wrench (engelse sleutel),4.0,6.0,18.0,19.0,5.0,6.0,6.0,4.0,14.0,8.0,14.0,4.0,2.0,15.0,9.0,4.0,5.0,4.0,9.0,7.0,1.0,4.0,20.0,20.0,4.0,6.0,1.0,4.0,9.0,19.0
screwdriver,1.0,4.0,15.0,5.0,5.0,7.0,2.0,3.0,9.0,6.0,4.0,13.0,2.0,8.0,10.0,3.0,13.0,5.0,4.0,11.0,2.0,3.0,20.0,20.0,9.0,4.0,2.0,2.0,3.0,15.0
shovel,12.0,1.0,9.0,3.0,6.0,1.0,1.0,5.0,13.0,4.0,15.0,8.0,6.0,3.0,2.0,3.0,3.0,17.0,6.0,12.0,1.0,8.0,4.0,9.0,20.0,4.0,1.0,2.0,1.0,4.0
tongs,1.0,8.0,4.0,13.0,17.0,3.0,4.0,4.0,8.0,12.0,13.0,11.0,4.0,8.0,2.0,1.0,4.0,5.0,2.0,14.0,1.0,9.0,6.0,4.0,4.0,20.0,1.0,4.0,5.0,6.0
vacuum cleaner,2.0,2.0,4.0,3.0,3.0,4.0,16.0,1.0,1.0,5.0,4.0,4.0,17.0,2.0,5.0,5.0,15.0,3.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,20.0,13.0,11.0,1.0
wheelbarrow,9.0,5.0,1.0,1.0,1.0,8.0,5.0,2.0,4.0,1.0,5.0,3.0,11.0,1.0,3.0,8.0,2.0,4.0,1.0,9.0,1.0,1.0,4.0,2.0,2.0,4.0,13.0,20.0,3.0,2.0
wire brush,5.0,5.0,7.0,1.0,5.0,5.0,5.0,17.0,4.0,6.0,13.0,3.0,5.0,9.0,3.0,4.0,13.0,1.0,6.0,9.0,1.0,4.0,9.0,3.0,1.0,5.0,11.0,3.0,20.0,1.0
wrench,1.0,5.0,4.0,4.0,10.0,9.0,6.0,4.0,8.0,6.0,14.0,9.0,3.0,15.0,2.0,6.0,5.0,3.0,15.0,2.0,1.0,2.0,19.0,15.0,4.0,6.0,1.0,2.0,1.0,20.0
