exemplar,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screw wrench (engelse sleutel),screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
anvil,20.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,,,3.0,3.0,,,3.0,,3.0,,,,,3.0,,,,,3.0,,3.0
axe,3.0,20.0,3.0,3.0,13.0,5.0,2.0,,3.0,,,4.0,3.0,,,3.0,,8.0,,,,,3.0,,,,,3.0,,3.0
chisel,3.0,3.0,20.0,3.0,4.0,3.0,3.0,,3.0,,,3.0,3.0,,,3.0,,6.0,,,,,3.0,,,,,2.0,,3.0
clamp,3.0,3.0,3.0,20.0,3.0,3.0,3.0,,3.0,,,3.0,3.0,,,3.0,,3.0,,,,,6.0,,,,,3.0,,3.0
crowbar (breekijzer),3.0,13.0,4.0,3.0,20.0,6.0,3.0,,3.0,,,3.0,3.0,,,3.0,,8.0,,,,,4.0,,,,,3.0,,3.0
crowbar (koevoet),3.0,5.0,3.0,3.0,6.0,20.0,3.0,,3.0,,,3.0,2.0,,,4.0,,8.0,,,,,4.0,,,,,3.0,,3.0
drill,3.0,2.0,3.0,3.0,3.0,3.0,20.0,,3.0,,,3.0,3.0,,,4.0,,3.0,,,,,3.0,,,,,3.0,,3.0
file,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,
filling knife,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,20.0,,,3.0,3.0,,,3.0,,3.0,,,,,3.0,,,,,3.0,,3.0
grinding disc,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,
hammer,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,
knife,3.0,4.0,3.0,3.0,3.0,3.0,3.0,,3.0,,,20.0,3.0,,,3.0,,4.0,,,,,3.0,,,,,3.0,,3.0
lawn mower,3.0,3.0,3.0,3.0,3.0,2.0,3.0,,3.0,,,3.0,20.0,,,3.0,,3.0,,,,,3.0,,,,,4.0,,3.0
level,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
nail,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
oil can,3.0,3.0,3.0,3.0,3.0,4.0,4.0,,3.0,,,3.0,3.0,,,20.0,,3.0,,,,,3.0,,,,,3.0,,3.0
paint brush,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
pickaxe,3.0,8.0,6.0,3.0,8.0,8.0,3.0,,3.0,,,4.0,3.0,,,3.0,,20.0,,,,,3.0,,,,,3.0,,3.0
plane,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
plough,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,
rope,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
saw,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
screw wrench (engelse sleutel),3.0,3.0,3.0,6.0,4.0,4.0,3.0,,3.0,,,3.0,3.0,,,3.0,,3.0,,,,,20.0,,,,,3.0,,6.0
screwdriver,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
shovel,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
tongs,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
vacuum cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
wheelbarrow,3.0,3.0,2.0,3.0,3.0,3.0,3.0,,3.0,,,3.0,4.0,,,3.0,,3.0,,,,,3.0,,,,,20.0,,3.0
wire brush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
wrench,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,,,3.0,3.0,,,3.0,,3.0,,,,,6.0,,,,,3.0,,20.0
