exemplar,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,20.0,7.0,12.0,8.0,10.0,11.0,7.0,5.0,9.0,16.0,13.0,6.0,14.0,16.0,8.0,12.0,18.0,9.0,11.0,9.0,6.0,15.0,17.0,4.0,12.0,7.0,12.0,11.0,13.0,12.0,11.0,8.0,11.0
bord,7.0,20.0,9.0,9.0,11.0,11.0,13.0,8.0,14.0,8.0,8.0,18.0,11.0,13.0,6.0,6.0,6.0,17.0,9.0,17.0,8.0,14.0,11.0,4.0,11.0,13.0,12.0,16.0,13.0,8.0,15.0,14.0,13.0
broodrooster,12.0,9.0,20.0,8.0,15.0,12.0,6.0,4.0,10.0,11.0,15.0,7.0,5.0,9.0,17.0,13.0,8.0,8.0,17.0,12.0,8.0,15.0,7.0,4.0,7.0,7.0,7.0,15.0,9.0,16.0,17.0,9.0,8.0
fles,8.0,9.0,8.0,20.0,7.0,12.0,18.0,8.0,14.0,6.0,14.0,18.0,7.0,8.0,8.0,9.0,4.0,4.0,7.0,12.0,18.0,5.0,5.0,4.0,8.0,16.0,4.0,12.0,8.0,17.0,9.0,12.0,9.0
fornuis,10.0,11.0,15.0,7.0,20.0,17.0,6.0,8.0,4.0,9.0,14.0,8.0,5.0,5.0,17.0,13.0,8.0,2.0,19.0,11.0,4.0,7.0,4.0,4.0,4.0,5.0,4.0,7.0,4.0,12.0,14.0,12.0,14.0
frigo,11.0,11.0,12.0,12.0,17.0,20.0,9.0,4.0,15.0,7.0,14.0,11.0,8.0,8.0,16.0,15.0,9.0,4.0,16.0,5.0,11.0,9.0,6.0,2.0,5.0,8.0,4.0,9.0,7.0,11.0,12.0,9.0,6.0
glas,7.0,13.0,6.0,18.0,6.0,9.0,20.0,7.0,15.0,6.0,10.0,16.0,11.0,11.0,8.0,7.0,4.0,4.0,7.0,14.0,13.0,9.0,9.0,1.0,13.0,19.0,11.0,14.0,9.0,17.0,9.0,12.0,14.0
handdoek,5.0,8.0,4.0,8.0,8.0,4.0,7.0,20.0,4.0,8.0,4.0,9.0,9.0,8.0,4.0,4.0,4.0,15.0,4.0,4.0,7.0,8.0,7.0,4.0,9.0,6.0,9.0,7.0,9.0,7.0,9.0,4.0,11.0
ketel,9.0,14.0,10.0,14.0,4.0,15.0,15.0,4.0,20.0,11.0,14.0,18.0,4.0,11.0,14.0,12.0,4.0,4.0,12.0,18.0,19.0,6.0,9.0,4.0,5.0,12.0,8.0,18.0,13.0,17.0,11.0,18.0,16.0
klopper,16.0,8.0,11.0,6.0,9.0,7.0,6.0,8.0,11.0,20.0,12.0,12.0,17.0,16.0,11.0,19.0,15.0,4.0,5.0,12.0,8.0,12.0,17.0,5.0,17.0,8.0,17.0,11.0,18.0,7.0,15.0,10.0,9.0
koffiezet,13.0,8.0,15.0,14.0,14.0,14.0,10.0,4.0,14.0,12.0,20.0,11.0,9.0,7.0,14.0,16.0,12.0,8.0,12.0,12.0,17.0,11.0,11.0,4.0,8.0,14.0,6.0,14.0,7.0,18.0,12.0,7.0,12.0
kom,6.0,18.0,7.0,18.0,8.0,11.0,16.0,9.0,18.0,12.0,11.0,20.0,12.0,12.0,8.0,14.0,6.0,10.0,11.0,18.0,18.0,11.0,7.0,4.0,12.0,16.0,5.0,17.0,8.0,12.0,17.0,18.0,17.0
lepel,14.0,11.0,5.0,7.0,5.0,8.0,11.0,9.0,4.0,17.0,9.0,12.0,20.0,17.0,8.0,16.0,13.0,8.0,4.0,8.0,9.0,12.0,17.0,9.0,18.0,13.0,19.0,4.0,18.0,6.0,8.0,11.0,10.0
mes,16.0,13.0,9.0,8.0,5.0,8.0,11.0,8.0,11.0,16.0,7.0,12.0,17.0,20.0,5.0,8.0,14.0,12.0,6.0,8.0,6.0,11.0,18.0,6.0,13.0,15.0,4.0,5.0,19.0,4.0,5.0,8.0,8.0
microgolf,8.0,6.0,17.0,8.0,17.0,16.0,8.0,4.0,14.0,11.0,14.0,8.0,8.0,5.0,20.0,16.0,8.0,4.0,18.0,12.0,11.0,7.0,7.0,4.0,6.0,11.0,2.0,9.0,9.0,14.0,12.0,12.0,5.0
mixer,12.0,6.0,13.0,9.0,13.0,15.0,7.0,4.0,12.0,19.0,16.0,14.0,16.0,8.0,16.0,20.0,12.0,4.0,16.0,8.0,12.0,16.0,13.0,4.0,15.0,8.0,11.0,8.0,15.0,15.0,12.0,9.0,13.0
notenkraker,18.0,6.0,8.0,4.0,8.0,9.0,4.0,4.0,4.0,15.0,12.0,6.0,13.0,14.0,8.0,12.0,20.0,4.0,8.0,7.0,4.0,16.0,16.0,4.0,16.0,5.0,14.0,6.0,11.0,12.0,9.0,9.0,11.0
onderlegger,9.0,17.0,8.0,4.0,2.0,4.0,4.0,15.0,4.0,4.0,8.0,10.0,8.0,12.0,4.0,4.0,4.0,20.0,6.0,5.0,5.0,4.0,8.0,3.0,7.0,10.0,6.0,4.0,9.0,4.0,4.0,4.0,11.0
oven,11.0,9.0,17.0,7.0,19.0,16.0,7.0,4.0,12.0,5.0,12.0,11.0,4.0,6.0,18.0,16.0,8.0,6.0,20.0,12.0,10.0,8.0,4.0,4.0,4.0,5.0,8.0,11.0,9.0,11.0,11.0,11.0,9.0
