exemplar,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,20.0,6.0,4.0,7.0,2.0,5.0,4.0,3.0,3.0,7.0,5.0,2.0,9.0,11.0,4.0,14.0,15.0,5.0,5.0,3.0,5.0,4.0,14.0,1.0,9.0,2.0,12.0,2.0,14.0,1.0,12.0,4.0,4.0
bord,6.0,20.0,4.0,4.0,5.0,2.0,4.0,2.0,5.0,2.0,5.0,11.0,14.0,11.0,7.0,6.0,4.0,12.0,5.0,12.0,11.0,6.0,2.0,4.0,5.0,10.0,6.0,12.0,7.0,2.0,12.0,11.0,4.0
broodrooster,4.0,4.0,20.0,2.0,8.0,8.0,2.0,4.0,4.0,5.0,5.0,2.0,2.0,6.0,11.0,3.0,4.0,2.0,4.0,7.0,2.0,4.0,5.0,2.0,4.0,4.0,2.0,4.0,4.0,11.0,6.0,5.0,2.0
fles,7.0,4.0,2.0,20.0,2.0,4.0,9.0,6.0,4.0,2.0,5.0,6.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,12.0,2.0,5.0,2.0,5.0,13.0,2.0,5.0,4.0,12.0,4.0,5.0,3.0
fornuis,2.0,5.0,8.0,2.0,20.0,11.0,3.0,4.0,12.0,2.0,9.0,2.0,3.0,4.0,12.0,3.0,7.0,6.0,12.0,9.0,9.0,7.0,4.0,3.0,7.0,4.0,2.0,2.0,3.0,11.0,2.0,5.0,5.0
frigo,5.0,2.0,8.0,4.0,11.0,20.0,4.0,2.0,2.0,2.0,5.0,2.0,5.0,4.0,14.0,4.0,2.0,4.0,10.0,3.0,7.0,4.0,6.0,4.0,2.0,4.0,5.0,4.0,2.0,14.0,6.0,4.0,5.0
glas,4.0,4.0,2.0,9.0,3.0,4.0,20.0,5.0,5.0,3.0,12.0,10.0,5.0,7.0,12.0,4.0,5.0,4.0,5.0,4.0,14.0,5.0,2.0,2.0,1.0,17.0,4.0,3.0,7.0,10.0,4.0,3.0,2.0
handdoek,3.0,2.0,4.0,6.0,4.0,2.0,5.0,20.0,4.0,5.0,7.0,5.0,3.0,2.0,4.0,3.0,2.0,14.0,2.0,4.0,3.0,2.0,2.0,17.0,5.0,2.0,4.0,4.0,4.0,7.0,2.0,4.0,4.0
ketel,3.0,5.0,4.0,4.0,12.0,2.0,5.0,4.0,20.0,4.0,13.0,15.0,4.0,2.0,7.0,4.0,2.0,3.0,14.0,15.0,15.0,5.0,3.0,4.0,3.0,2.0,4.0,6.0,1.0,17.0,5.0,13.0,7.0
klopper,7.0,2.0,5.0,2.0,2.0,2.0,3.0,5.0,4.0,20.0,6.0,3.0,14.0,12.0,3.0,16.0,10.0,2.0,5.0,6.0,2.0,5.0,8.0,5.0,13.0,6.0,11.0,10.0,15.0,3.0,10.0,6.0,5.0
koffiezet,5.0,5.0,5.0,5.0,9.0,5.0,12.0,7.0,13.0,6.0,20.0,11.0,7.0,2.0,11.0,2.0,3.0,4.0,10.0,4.0,15.0,5.0,3.0,7.0,4.0,10.0,11.0,12.0,2.0,14.0,5.0,2.0,15.0
kom,2.0,11.0,2.0,6.0,2.0,2.0,10.0,5.0,15.0,3.0,11.0,20.0,4.0,4.0,5.0,8.0,4.0,5.0,4.0,14.0,14.0,9.0,2.0,3.0,3.0,11.0,9.0,12.0,2.0,6.0,9.0,14.0,9.0
lepel,9.0,14.0,2.0,3.0,3.0,5.0,5.0,3.0,4.0,14.0,7.0,4.0,20.0,15.0,2.0,10.0,14.0,4.0,1.0,12.0,4.0,10.0,11.0,2.0,16.0,10.0,18.0,4.0,18.0,1.0,9.0,5.0,7.0
mes,11.0,11.0,6.0,2.0,4.0,4.0,7.0,2.0,2.0,12.0,2.0,4.0,15.0,20.0,6.0,6.0,7.0,2.0,3.0,5.0,4.0,4.0,15.0,5.0,12.0,4.0,15.0,5.0,17.0,4.0,5.0,5.0,3.0
microgolf,4.0,7.0,11.0,4.0,12.0,14.0,12.0,4.0,7.0,3.0,11.0,5.0,2.0,6.0,20.0,9.0,2.0,4.0,15.0,5.0,2.0,3.0,4.0,5.0,4.0,11.0,2.0,3.0,3.0,15.0,7.0,5.0,3.0
mixer,14.0,6.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,16.0,2.0,8.0,10.0,6.0,9.0,20.0,3.0,4.0,6.0,5.0,6.0,5.0,10.0,3.0,8.0,6.0,2.0,4.0,12.0,9.0,9.0,2.0,5.0
notenkraker,15.0,4.0,4.0,4.0,7.0,2.0,5.0,2.0,2.0,10.0,3.0,4.0,14.0,7.0,2.0,3.0,20.0,3.0,5.0,2.0,3.0,9.0,14.0,3.0,8.0,4.0,5.0,3.0,7.0,5.0,9.0,6.0,4.0
onderlegger,5.0,12.0,2.0,5.0,6.0,4.0,4.0,14.0,3.0,2.0,4.0,5.0,4.0,2.0,4.0,4.0,3.0,20.0,2.0,6.0,3.0,2.0,2.0,5.0,4.0,2.0,3.0,5.0,2.0,4.0,7.0,3.0,3.0
oven,5.0,5.0,4.0,4.0,12.0,10.0,5.0,2.0,14.0,5.0,10.0,4.0,1.0,3.0,15.0,6.0,5.0,2.0,20.0,12.0,5.0,6.0,4.0,5.0,2.0,5.0,6.0,5.0,2.0,9.0,4.0,7.0,4.0
pan,3.0,12.0,7.0,4.0,9.0,3.0,4.0,4.0,15.0,6.0,4.0,14.0,12.0,5.0,5.0,5.0,2.0,6.0,12.0,20.0,15.0,5.0,3.0,6.0,5.0,3.0,11.0,10.0,6.0,8.0,6.0,16.0,9.0
pot,5.0,11.0,2.0,12.0,9.0,7.0,14.0,3.0,15.0,2.0,15.0,14.0,4.0,4.0,2.0,6.0,3.0,3.0,5.0,15.0,20.0,2.0,2.0,2.0,5.0,12.0,10.0,12.0,3.0,11.0,4.0,11.0,4.0
rasp,4.0,6.0,4.0,2.0,7.0,4.0,5.0,2.0,5.0,5.0,5.0,9.0,10.0,4.0,3.0,5.0,9.0,2.0,6.0,5.0,2.0,20.0,5.0,2.0,4.0,4.0,8.0,12.0,9.0,6.0,3.0,6.0,15.0
schaar,14.0,2.0,5.0,5.0,4.0,6.0,2.0,2.0,3.0,8.0,3.0,2.0,11.0,15.0,4.0,10.0,14.0,2.0,4.0,3.0,2.0,5.0,20.0,3.0,6.0,3.0,5.0,2.0,15.0,4.0,5.0,2.0,6.0
schort,1.0,4.0,2.0,2.0,3.0,4.0,2.0,17.0,4.0,5.0,7.0,3.0,2.0,5.0,5.0,3.0,3.0,5.0,5.0,6.0,2.0,2.0,3.0,20.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,4.0,9.0
spatel,9.0,5.0,4.0,5.0,7.0,2.0,1.0,5.0,3.0,13.0,4.0,3.0,16.0,12.0,4.0,8.0,8.0,4.0,2.0,5.0,5.0,4.0,6.0,2.0,20.0,5.0,3.0,3.0,13.0,5.0,5.0,15.0,5.0
tas,2.0,10.0,4.0,13.0,4.0,4.0,17.0,2.0,2.0,6.0,10.0,11.0,10.0,4.0,11.0,6.0,4.0,2.0,5.0,3.0,12.0,4.0,3.0,4.0,5.0,20.0,8.0,5.0,4.0,12.0,5.0,7.0,3.0
theelepel,12.0,6.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,11.0,11.0,9.0,18.0,15.0,2.0,2.0,5.0,3.0,6.0,11.0,10.0,8.0,5.0,3.0,3.0,8.0,20.0,4.0,17.0,5.0,2.0,4.0,4.0
vergiet,2.0,12.0,4.0,5.0,2.0,4.0,3.0,4.0,6.0,10.0,12.0,12.0,4.0,5.0,3.0,4.0,3.0,5.0,5.0,10.0,12.0,12.0,2.0,2.0,3.0,5.0,4.0,20.0,2.0,8.0,4.0,6.0,16.0
vork,14.0,7.0,4.0,4.0,3.0,2.0,7.0,4.0,1.0,15.0,2.0,2.0,18.0,17.0,3.0,12.0,7.0,2.0,2.0,6.0,3.0,9.0,15.0,2.0,13.0,4.0,17.0,2.0,20.0,2.0,4.0,5.0,8.0
waterkoker,1.0,2.0,11.0,12.0,11.0,14.0,10.0,7.0,17.0,3.0,14.0,6.0,1.0,4.0,15.0,9.0,5.0,4.0,9.0,8.0,11.0,6.0,4.0,2.0,5.0,12.0,5.0,8.0,2.0,20.0,8.0,3.0,4.0
weegschaal,12.0,12.0,6.0,4.0,2.0,6.0,4.0,2.0,5.0,10.0,5.0,9.0,9.0,5.0,7.0,9.0,9.0,7.0,4.0,6.0,4.0,3.0,5.0,1.0,5.0,5.0,2.0,4.0,4.0,8.0,20.0,10.0,6.0
wok,4.0,11.0,5.0,5.0,5.0,4.0,3.0,4.0,13.0,6.0,2.0,14.0,5.0,5.0,5.0,2.0,6.0,3.0,7.0,16.0,11.0,6.0,2.0,4.0,15.0,7.0,4.0,6.0,5.0,3.0,10.0,20.0,2.0
zeef,4.0,4.0,2.0,3.0,5.0,5.0,2.0,4.0,7.0,5.0,15.0,9.0,7.0,3.0,3.0,5.0,4.0,3.0,4.0,9.0,4.0,15.0,6.0,9.0,5.0,3.0,4.0,16.0,8.0,4.0,6.0,2.0,20.0
