exemplar,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,20.0,4.0,7.0,4.0,3.0,7.0,2.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,6.0,2.0,11.0,6.0,2.0,5.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0
bord,4.0,20.0,4.0,4.0,4.0,4.0,7.0,3.0,3.0,4.0,5.0,8.0,8.0,4.0,4.0,2.0,4.0,3.0,5.0,13.0,6.0,4.0,2.0,4.0,5.0,4.0,5.0,9.0,4.0,4.0,4.0,3.0,6.0
broodrooster,7.0,4.0,20.0,5.0,7.0,4.0,4.0,2.0,13.0,4.0,2.0,7.0,2.0,2.0,7.0,5.0,5.0,5.0,8.0,2.0,6.0,3.0,4.0,2.0,4.0,2.0,5.0,5.0,3.0,8.0,4.0,5.0,4.0
fles,4.0,4.0,5.0,20.0,2.0,5.0,1.0,2.0,3.0,4.0,2.0,8.0,4.0,2.0,1.0,4.0,2.0,5.0,5.0,2.0,15.0,2.0,2.0,5.0,2.0,3.0,5.0,2.0,2.0,4.0,5.0,5.0,4.0
fornuis,3.0,4.0,7.0,2.0,20.0,6.0,3.0,3.0,2.0,5.0,2.0,5.0,4.0,5.0,2.0,4.0,2.0,5.0,4.0,5.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0,4.0,1.0,4.0,8.0,4.0,2.0
frigo,7.0,4.0,4.0,5.0,6.0,20.0,4.0,2.0,5.0,3.0,4.0,2.0,2.0,6.0,1.0,8.0,2.0,1.0,3.0,6.0,1.0,1.0,4.0,5.0,5.0,3.0,2.0,1.0,3.0,4.0,6.0,6.0,2.0
glas,2.0,7.0,4.0,1.0,3.0,4.0,20.0,2.0,2.0,3.0,4.0,8.0,1.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,11.0,1.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,5.0,4.0,5.0,5.0
handdoek,4.0,3.0,2.0,2.0,3.0,2.0,2.0,20.0,2.0,2.0,5.0,5.0,2.0,2.0,2.0,2.0,4.0,15.0,5.0,2.0,2.0,2.0,4.0,16.0,6.0,4.0,2.0,5.0,3.0,4.0,4.0,2.0,6.0
ketel,4.0,3.0,13.0,3.0,2.0,5.0,2.0,2.0,20.0,4.0,4.0,15.0,5.0,3.0,14.0,8.0,2.0,6.0,7.0,16.0,2.0,4.0,2.0,5.0,6.0,4.0,5.0,12.0,2.0,12.0,10.0,4.0,8.0
klopper,2.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,20.0,2.0,3.0,14.0,4.0,4.0,16.0,1.0,2.0,5.0,4.0,9.0,3.0,5.0,1.0,5.0,6.0,5.0,5.0,4.0,2.0,5.0,3.0,5.0
koffiezet,2.0,5.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,2.0,20.0,5.0,1.0,3.0,1.0,6.0,2.0,2.0,3.0,5.0,5.0,4.0,2.0,3.0,3.0,7.0,4.0,2.0,5.0,16.0,4.0,4.0,5.0
kom,1.0,8.0,7.0,8.0,5.0,2.0,8.0,5.0,15.0,3.0,5.0,20.0,2.0,2.0,5.0,4.0,3.0,5.0,11.0,13.0,18.0,6.0,3.0,3.0,4.0,6.0,5.0,2.0,5.0,2.0,1.0,15.0,14.0
lepel,4.0,8.0,2.0,4.0,4.0,2.0,1.0,2.0,5.0,14.0,1.0,2.0,20.0,9.0,4.0,4.0,2.0,2.0,2.0,3.0,6.0,2.0,1.0,1.0,16.0,3.0,19.0,5.0,5.0,2.0,4.0,8.0,2.0
mes,4.0,4.0,2.0,2.0,5.0,6.0,2.0,2.0,3.0,4.0,3.0,2.0,9.0,20.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,10.0,16.0,2.0,5.0,4.0,5.0,1.0,11.0,1.0,4.0,2.0,6.0
microgolf,3.0,4.0,7.0,1.0,2.0,1.0,5.0,2.0,14.0,4.0,1.0,5.0,4.0,4.0,20.0,4.0,8.0,1.0,4.0,4.0,4.0,5.0,1.0,4.0,6.0,2.0,2.0,1.0,4.0,2.0,4.0,8.0,4.0
mixer,4.0,2.0,5.0,4.0,4.0,8.0,5.0,2.0,8.0,16.0,6.0,4.0,4.0,1.0,4.0,20.0,5.0,2.0,5.0,4.0,1.0,4.0,16.0,4.0,6.0,1.0,3.0,3.0,3.0,2.0,4.0,10.0,2.0
