exemplar,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,20.0,1.0,1.0,11.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,15.0,1.0,3.0,10.0,1.0,1.0,2.0,1.0,5.0,15.0,2.0,2.0,1.0,1.0,5.0,10.0,2.0,2.0,1.0,2.0
bord,1.0,20.0,5.0,3.0,1.0,2.0,5.0,1.0,5.0,1.0,2.0,8.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,8.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,6.0,1.0,3.0,5.0,2.0
broodrooster,1.0,5.0,20.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0
fles,11.0,3.0,2.0,20.0,1.0,1.0,8.0,1.0,8.0,1.0,5.0,8.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,6.0,8.0,1.0,2.0,1.0,3.0,11.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0
fornuis,3.0,1.0,2.0,1.0,20.0,5.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,17.0,9.0,9.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,14.0,2.0,8.0,3.0
frigo,1.0,2.0,2.0,1.0,5.0,20.0,2.0,1.0,5.0,3.0,2.0,5.0,2.0,1.0,8.0,3.0,1.0,1.0,3.0,5.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0
glas,1.0,5.0,2.0,8.0,2.0,2.0,20.0,2.0,5.0,2.0,2.0,8.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,8.0,1.0,3.0,3.0,1.0,18.0,2.0,2.0,5.0,3.0,2.0,3.0,1.0
handdoek,3.0,1.0,2.0,1.0,5.0,1.0,2.0,20.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,15.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
ketel,2.0,5.0,3.0,8.0,2.0,5.0,5.0,1.0,20.0,5.0,2.0,3.0,8.0,2.0,2.0,2.0,1.0,2.0,9.0,2.0,15.0,2.0,1.0,1.0,2.0,1.0,4.0,9.0,1.0,3.0,3.0,2.0,2.0
klopper,3.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,5.0,20.0,1.0,2.0,2.0,2.0,2.0,18.0,2.0,2.0,1.0,1.0,3.0,1.0,5.0,2.0,3.0,2.0,5.0,1.0,5.0,2.0,1.0,1.0,5.0
koffiezet,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,20.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,5.0,2.0,5.0,3.0,1.0,3.0,1.0,15.0,2.0,2.0,1.0,18.0,2.0,3.0,2.0
kom,2.0,8.0,4.0,8.0,2.0,5.0,8.0,1.0,3.0,2.0,2.0,20.0,3.0,3.0,2.0,2.0,1.0,2.0,8.0,12.0,17.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,5.0,2.0,17.0,2.0
lepel,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,8.0,2.0,1.0,3.0,20.0,15.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,2.0,15.0,2.0,3.0,1.0,3.0,2.0,2.0
mes,15.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,15.0,20.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,14.0,17.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,3.0,2.0
