exemplar,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,20.0,2.0,2.0,9.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,5.0,2.0,5.0,1.0,2.0,6.0,4.0,2.0,5.0,1.0
bord,2.0,20.0,2.0,6.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,12.0,10.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0,1.0,4.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,2.0,5.0,2.0
broodrooster,2.0,2.0,20.0,2.0,2.0,5.0,3.0,2.0,1.0,5.0,6.0,3.0,4.0,1.0,5.0,4.0,2.0,3.0,15.0,12.0,1.0,1.0,1.0,2.0,3.0,7.0,6.0,2.0,1.0,19.0,1.0,2.0,4.0
fles,9.0,6.0,2.0,20.0,3.0,4.0,3.0,1.0,6.0,2.0,3.0,2.0,1.0,3.0,6.0,4.0,5.0,5.0,2.0,2.0,1.0,5.0,6.0,1.0,1.0,3.0,6.0,3.0,1.0,2.0,2.0,3.0,1.0
fornuis,2.0,2.0,2.0,3.0,20.0,1.0,4.0,4.0,1.0,4.0,3.0,5.0,4.0,1.0,6.0,1.0,2.0,2.0,5.0,9.0,6.0,2.0,2.0,6.0,1.0,3.0,5.0,6.0,5.0,12.0,6.0,1.0,1.0
frigo,2.0,2.0,5.0,4.0,1.0,20.0,4.0,5.0,1.0,3.0,1.0,1.0,2.0,1.0,6.0,4.0,1.0,1.0,3.0,2.0,5.0,2.0,2.0,3.0,8.0,3.0,3.0,4.0,2.0,6.0,2.0,6.0,4.0
glas,1.0,3.0,3.0,3.0,4.0,4.0,20.0,2.0,1.0,2.0,3.0,2.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,6.0,2.0,3.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,1.0
handdoek,2.0,2.0,2.0,1.0,4.0,5.0,2.0,20.0,3.0,1.0,2.0,3.0,5.0,1.0,4.0,3.0,2.0,5.0,1.0,1.0,1.0,3.0,3.0,12.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0
ketel,2.0,2.0,1.0,6.0,1.0,1.0,1.0,3.0,20.0,3.0,5.0,2.0,4.0,3.0,10.0,2.0,1.0,2.0,1.0,3.0,19.0,2.0,3.0,3.0,1.0,10.0,1.0,3.0,1.0,8.0,4.0,15.0,2.0
klopper,2.0,2.0,5.0,2.0,4.0,3.0,2.0,1.0,3.0,20.0,2.0,3.0,1.0,3.0,2.0,20.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,5.0,1.0,2.0,2.0,3.0,2.0,5.0,3.0,2.0,3.0
koffiezet,3.0,1.0,6.0,3.0,3.0,1.0,3.0,2.0,5.0,2.0,20.0,5.0,5.0,1.0,1.0,7.0,3.0,5.0,2.0,5.0,19.0,3.0,1.0,1.0,3.0,14.0,2.0,17.0,2.0,2.0,2.0,2.0,1.0
kom,2.0,4.0,3.0,2.0,5.0,1.0,2.0,3.0,2.0,3.0,5.0,20.0,2.0,1.0,2.0,9.0,3.0,2.0,2.0,14.0,1.0,6.0,2.0,3.0,1.0,18.0,4.0,1.0,2.0,5.0,5.0,2.0,6.0
lepel,3.0,12.0,4.0,1.0,4.0,2.0,4.0,5.0,4.0,1.0,5.0,2.0,20.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,15.0,19.0,1.0,17.0,6.0,6.0,4.0,2.0
mes,2.0,10.0,1.0,3.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,3.0,20.0,1.0,3.0,2.0,4.0,3.0,2.0,1.0,3.0,3.0,2.0,9.0,1.0,4.0,1.0,6.0,1.0,2.0,1.0,1.0
