exemplar,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,20.0,3.0,2.0,4.0,4.0,5.0,5.0,2.0,6.0,12.0,3.0,3.0,15.0,4.0,4.0,3.0,2.0,5.0,2.0,4.0,2.0,2.0,3.0,2.0,5.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,4.0
bord,3.0,20.0,2.0,4.0,14.0,2.0,2.0,2.0,5.0,3.0,5.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,15.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,5.0,2.0,3.0
broodrooster,2.0,2.0,20.0,3.0,6.0,15.0,2.0,8.0,4.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0,5.0,2.0,2.0,5.0,5.0,5.0,2.0,2.0,4.0,2.0,1.0,8.0,4.0,5.0,2.0,10.0,5.0
fles,4.0,4.0,3.0,20.0,10.0,5.0,3.0,4.0,3.0,5.0,3.0,5.0,2.0,3.0,4.0,5.0,2.0,5.0,2.0,2.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,2.0,2.0,3.0
fornuis,4.0,14.0,6.0,10.0,20.0,3.0,5.0,5.0,10.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,3.0,2.0,15.0,2.0,15.0,4.0,2.0,5.0,5.0,5.0,2.0,5.0,3.0,5.0,4.0,5.0,5.0
frigo,5.0,2.0,15.0,5.0,3.0,20.0,5.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,18.0,2.0,5.0,2.0,18.0,15.0,5.0,4.0,3.0,4.0,3.0,10.0,5.0,5.0,2.0,2.0,5.0,2.0,2.0
glas,5.0,2.0,2.0,3.0,5.0,5.0,20.0,2.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,1.0,6.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,2.0,3.0,5.0,15.0,4.0,4.0,2.0
handdoek,2.0,2.0,8.0,4.0,5.0,2.0,2.0,20.0,2.0,3.0,2.0,6.0,5.0,2.0,6.0,5.0,3.0,15.0,5.0,4.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,5.0,5.0,3.0
ketel,6.0,5.0,4.0,3.0,10.0,3.0,5.0,2.0,20.0,5.0,15.0,3.0,1.0,3.0,5.0,5.0,8.0,5.0,15.0,3.0,15.0,4.0,5.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,5.0,6.0,2.0
klopper,12.0,3.0,1.0,5.0,3.0,5.0,3.0,3.0,5.0,20.0,4.0,3.0,10.0,5.0,2.0,2.0,5.0,3.0,5.0,3.0,2.0,5.0,2.0,2.0,15.0,2.0,5.0,3.0,15.0,2.0,5.0,4.0,4.0
koffiezet,3.0,5.0,2.0,3.0,4.0,2.0,5.0,2.0,15.0,4.0,20.0,12.0,5.0,2.0,12.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,5.0,2.0,5.0,4.0,3.0,2.0,4.0,6.0
kom,3.0,2.0,2.0,5.0,4.0,2.0,3.0,6.0,3.0,3.0,12.0,20.0,2.0,3.0,3.0,15.0,3.0,4.0,4.0,2.0,15.0,2.0,5.0,2.0,10.0,5.0,5.0,12.0,2.0,3.0,4.0,3.0,10.0
lepel,15.0,5.0,5.0,2.0,4.0,2.0,4.0,5.0,1.0,10.0,5.0,2.0,20.0,18.0,4.0,2.0,2.0,4.0,4.0,5.0,6.0,4.0,10.0,10.0,2.0,2.0,19.0,2.0,18.0,5.0,2.0,2.0,4.0
mes,4.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,5.0,2.0,3.0,18.0,20.0,3.0,2.0,1.0,3.0,3.0,4.0,5.0,5.0,15.0,6.0,10.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0
microgolf,4.0,3.0,1.0,4.0,2.0,18.0,3.0,6.0,5.0,2.0,12.0,3.0,4.0,3.0,20.0,3.0,5.0,4.0,16.0,15.0,4.0,4.0,2.0,4.0,1.0,2.0,5.0,3.0,5.0,3.0,2.0,12.0,2.0
mixer,3.0,4.0,2.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,2.0,15.0,2.0,2.0,3.0,20.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,2.0,4.0,6.0,14.0,15.0,5.0,5.0,15.0
notenkraker,2.0,4.0,5.0,2.0,3.0,5.0,1.0,3.0,8.0,5.0,2.0,3.0,2.0,1.0,5.0,2.0,20.0,4.0,5.0,2.0,4.0,6.0,5.0,3.0,5.0,2.0,2.0,2.0,5.0,4.0,1.0,3.0,4.0
onderlegger,5.0,4.0,2.0,5.0,2.0,2.0,6.0,15.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,20.0,4.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,10.0,5.0,3.0
oven,2.0,4.0,2.0,2.0,15.0,18.0,4.0,5.0,15.0,5.0,2.0,4.0,4.0,3.0,16.0,5.0,5.0,4.0,20.0,2.0,15.0,4.0,2.0,10.0,2.0,2.0,2.0,5.0,5.0,2.0,15.0,3.0,2.0
pan,4.0,5.0,5.0,2.0,2.0,15.0,4.0,4.0,3.0,3.0,3.0,2.0,5.0,4.0,15.0,5.0,2.0,5.0,2.0,20.0,15.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,10.0,2.0,5.0,5.0
pot,2.0,5.0,5.0,4.0,15.0,5.0,4.0,3.0,15.0,2.0,4.0,15.0,6.0,5.0,4.0,4.0,4.0,2.0,15.0,15.0,20.0,5.0,4.0,6.0,4.0,5.0,4.0,3.0,2.0,15.0,4.0,15.0,3.0
rasp,2.0,15.0,5.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,2.0,4.0,5.0,4.0,4.0,6.0,3.0,4.0,3.0,5.0,20.0,6.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0
schaar,3.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,2.0,2.0,5.0,10.0,15.0,2.0,3.0,5.0,3.0,2.0,2.0,4.0,6.0,20.0,3.0,3.0,4.0,6.0,3.0,12.0,4.0,2.0,3.0,5.0
schort,2.0,2.0,2.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,10.0,6.0,4.0,3.0,3.0,2.0,10.0,2.0,6.0,2.0,3.0,20.0,4.0,3.0,2.0,5.0,4.0,10.0,2.0,2.0,2.0
spatel,5.0,2.0,4.0,4.0,5.0,3.0,5.0,4.0,2.0,15.0,3.0,10.0,2.0,10.0,1.0,5.0,5.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,20.0,3.0,13.0,5.0,5.0,5.0,3.0,4.0,2.0
tas,4.0,3.0,2.0,4.0,5.0,10.0,5.0,2.0,3.0,2.0,5.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,3.0,3.0,20.0,5.0,3.0,1.0,18.0,1.0,12.0,5.0
theelepel,4.0,2.0,1.0,5.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,5.0,19.0,3.0,5.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,6.0,2.0,13.0,5.0,20.0,3.0,4.0,4.0,2.0,5.0,4.0
vergiet,4.0,3.0,8.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,12.0,2.0,3.0,3.0,6.0,2.0,4.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,20.0,15.0,3.0,3.0,6.0,4.0
vork,3.0,4.0,4.0,5.0,3.0,2.0,5.0,3.0,4.0,15.0,4.0,2.0,18.0,3.0,5.0,14.0,5.0,5.0,5.0,5.0,2.0,3.0,12.0,4.0,5.0,1.0,4.0,15.0,20.0,5.0,4.0,1.0,15.0
waterkoker,1.0,2.0,5.0,5.0,5.0,2.0,15.0,2.0,4.0,2.0,3.0,3.0,5.0,2.0,3.0,15.0,4.0,5.0,2.0,10.0,15.0,3.0,4.0,10.0,5.0,18.0,4.0,3.0,5.0,20.0,2.0,2.0,2.0
weegschaal,2.0,5.0,2.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,4.0,2.0,3.0,2.0,5.0,1.0,10.0,15.0,2.0,4.0,5.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,2.0,20.0,3.0,2.0
wok,2.0,2.0,10.0,2.0,5.0,2.0,4.0,5.0,6.0,4.0,4.0,3.0,2.0,3.0,12.0,5.0,3.0,5.0,3.0,5.0,15.0,3.0,3.0,2.0,4.0,12.0,5.0,6.0,1.0,2.0,3.0,20.0,2.0
zeef,4.0,3.0,5.0,3.0,5.0,2.0,2.0,3.0,2.0,4.0,6.0,10.0,4.0,5.0,2.0,15.0,4.0,3.0,2.0,5.0,3.0,3.0,5.0,2.0,2.0,5.0,4.0,4.0,15.0,2.0,2.0,2.0,20.0
