exemplar,missing,mean,std,nonmissing
ansjovis,0,4.13,1.73,31
dolfijn,0,6.5,0.92,32
forel,1,5.1,1.58,31
goudvis,0,6.54,0.69,37
haai,2,6.14,1.13,29
haring,1,4.41,1.97,34
inktvis,0,6.48,0.93,31
kabeljauw,0,4.58,2.01,31
karper,0,4.58,2.01,31
orka,0,6.26,1.18,31
paling,0,4.59,2.09,32
piranha,0,4.62,1.69,34
pladijs,2,4.03,1.87,30
platvis,0,4.0,2.13,32
potvis,0,4.8,1.94,30
rog,0,4.56,1.8,34
sardine,0,4.64,1.95,33
snoek,1,4.82,1.91,34
stekelbaars,0,3.82,1.89,28
tong,0,6.4,1.04,30
walvis,0,6.18,1.16,28
zalm,0,5.9,1.47,30
zwaardvis,0,4.48,1.7,27
