exemplar,missing,mean,std,nonmissing
bazooka,3,4.54,2.08,26
bijl,0,6.07,1.31,29
boksbeugel,0,4.12,1.45,17
boog,0,6.33,1.07,36
dolk,0,5.93,1.25,28
geweer,0,6.06,1.03,31
granaat,0,6.06,1.03,31
kanon,1,5.35,1.43,31
katapult,0,5.84,1.32,31
knuppel,0,5.97,1.12,32
mitrailleur,1,5.09,1.93,33
pistool,0,6.45,0.89,31
schild,0,5.2,1.61,30
speer,0,6.28,1.02,32
stok,0,6.42,0.69,19
tank,0,5.62,1.74,29
touw,0,6.29,0.98,38
tweeloop,4,4.77,1.63,26
zwaard,0,5.86,1.48,29
zweep,0,5.95,1.35,38
