exemplar,missing,mean,std,nonmissing
aardappel,0,6.4,0.97,30
ajuin,0,6.44,1.13,32
asperges,0,6.0,1.22,28
aubergine,0,5.14,1.88,28
augurken,0,6.42,0.87,33
biet,1,4.71,1.9,31
bloemkool,0,6.25,1.08,32
bonen,0,6.14,1.14,35
champignons,0,6.41,0.91,32
courgette,0,5.52,1.43,31
erwten,0,6.7,0.59,33
kervel,1,3.64,1.83,33
komkommer,0,6.68,0.53,34
look,0,5.84,1.29,31
maïs,0,6.35,0.88,34
paprika,0,6.53,0.72,32
peterselie,0,5.42,1.85,33
prei,0,5.85,1.46,34
radijs,0,5.61,1.36,36
rode kool,0,6.21,1.14,33
schorseneren,3,5.22,1.85,27
selder,0,4.97,1.64,32
sla,0,6.21,1.36,33
spinazie,0,5.94,1.66,36
spruiten,0,6.46,0.85,35
tomaat,0,6.28,1.17,32
waterkers,0,4.48,2.4,33
witloof,0,6.53,0.84,32
witte kool,0,4.72,1.85,36
wortel,0,6.62,0.9,29
