exemplar,missing,mean,std,nonmissing
arend,0,5.27,1.77,33
duif,0,6.32,1.07,34
eend,0,6.48,1.12,31
ekster,0,5.0,1.67,31
fazant,0,5.03,1.83,34
gier,0,4.45,2.08,29
haan,0,6.26,1.15,31
kalkoen,0,5.5,1.39,32
kanarie,0,6.28,1.1,29
kip,0,6.78,0.52,23
koekoek,0,3.97,1.87,30
kraai,0,5.6,1.33,30
mees,0,3.31,1.69,32
meeuw,0,5.66,1.61,35
merel,0,5.09,1.85,35
mus,0,5.91,1.1,33
ooievaar,0,6.3,1.1,33
papegaai,0,6.56,0.76,32
parkiet,0,5.72,1.42,32
pauw,0,6.21,1.04,34
pelikaan,2,5.15,1.65,34
pinguïn,0,6.45,0.99,31
reiger,0,5.23,1.79,30
roodborstje,0,5.88,1.39,33
specht,0,5.18,1.51,33
struisvogel,0,6.4,1.07,30
uil,0,6.33,1.06,30
valk,0,4.91,1.86,32
zwaan,1,6.38,1.18,32
zwaluw,0,5.33,1.63,30
