exemplar,missing,mean,std,nonmissing
badminton,0,6.14,1.17,35
ballet,0,6.06,1.03,33
baseball,0,5.26,1.9,35
basketbal,0,6.33,1.21,30
biljarten,0,6.45,0.69,29
boksen,0,6.1,1.08,31
golf,0,5.79,1.43,33
handbal,0,5.44,1.63,32
hardlopen,0,5.0,1.84,33
ijshockey,0,5.43,1.79,30
judo,0,5.28,1.57,32
kogelstoten,0,5.18,1.47,33
paardrijden,0,5.81,1.24,27
rugby,0,5.29,1.4,34
schaken,0,6.0,1.31,35
schermen,0,5.16,1.92,32
skiën,0,6.31,1.09,32
sportvissen,2,3.65,1.84,31
squash,0,5.56,1.44,32
surfen,0,6.28,1.13,29
tafeltennis,0,5.97,1.12,29
tennis,0,6.45,0.87,33
turnen,0,5.97,1.15,32
verspringen,1,4.78,1.98,32
voetbal,0,6.38,0.99,34
volleybal,0,6.4,0.89,30
wandelen,0,5.61,1.52,31
wielrennen,0,5.41,1.9,29
zeilen,0,5.89,1.59,28
zwemmen,0,6.13,1.15,31
