exemplar,missing,mean,std,nonmissing
auto,0,6.82,0.39,34
boot,0,6.43,0.81,35
bromfiets,0,6.44,1.08,32
brommer,0,6.21,0.99,33
bus,0,6.21,1.25,34
camion,0,6.59,0.87,29
camionette,0,5.89,1.3,35
caravan,0,6.09,0.98,33
duikboot,0,6.13,1.22,30
fiets,0,6.75,0.52,28
gocart,0,5.82,1.63,33
helikopter,0,6.38,0.78,29
hovercraft,4,4.0,1.86,27
jeep,0,5.89,1.22,37
kar,0,5.61,1.47,28
koets,0,5.71,1.53,31
luchtballon,0,6.56,0.76,32
metrostel,0,5.58,1.47,26
moto,0,5.94,1.54,33
raket,0,6.52,0.68,31
skateboard,0,6.09,1.17,32
slede,0,6.13,1.13,32
step,0,5.19,1.78,27
taxi,0,6.19,0.98,31
tractor,0,6.47,0.72,32
tram,0,6.22,1.04,32
trein,0,6.7,0.64,33
vliegtuig,0,6.5,0.95,32
vrachtwagen,0,6.57,0.68,30
zeppelin,0,5.93,1.03,29
