feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
can have different tastes,2,0,-1,2,1,-1,2,2,3,2,1,2,1.25,1.2880570286640687
can have several shapes,1,3,0,-1,2,2,2,-3,-2,3,3,2,1.0,2.04494943258218
contains vitamins,3,3,2,3,3,3,2,0,2,3,2,3,2.4166666666666665,0.90033663737852
exists in several colours,0,3,1,3,3,3,0,-3,-1,3,2,2,1.3333333333333333,1.9694638556693236
exists in several kinds,1,3,1,2,3,3,0,-3,-3,3,3,3,1.3333333333333333,2.2696949467968492
green colour,-2,1,1,-2,2,2,-3,-3,-3,-3,0,2,-0.6666666666666666,2.1881222058831145
grows in the garden,-1,2,1,2,3,2,-3,1,-1,3,2,3,1.1666666666666667,1.898963034411309
grows in the ground,-2,2,1,2,2,1,2,1,-3,1,2,2,0.9166666666666666,1.6764862244009224
grows under the ground,-2,1,3,2,2,1,2,1,-3,0,-1,2,0.6666666666666666,1.8257418583505538
is a tomato,-3,0,-3,0,1,0,-1,-1,-3,0,-3,-1,-1.1666666666666667,1.4668044012461756
is boiled,2,3,0,1,3,3,2,-3,-2,3,2,2,1.3333333333333333,2.0150945537631877
is cultivated (gekweekt),0,1,2,2,3,0,2,0,-1,3,3,2,1.4166666666666667,1.378954368902449
is eaten by vegetarians,3,3,-2,2,1,2,3,-1,2,2,0,2,1.4166666666666667,1.621353717973928
is eaten warm,0,2,1,2,0,2,3,2,1,0,0,2,1.25,1.0552897060221726
is edible,3,3,0,3,3,3,1,0,3,3,2,2,2.1666666666666665,1.1934162828797101
is healthy,1,3,1,3,3,3,0,0,-1,3,2,3,1.75,1.4847711791873706
is kept in the fridge,2,1,-1,1,1,1,2,1,-2,1,0,2,0.75,1.2154310870109943
is not always green,1,-1,-3,0,0,-1,1,2,-1,2,1,-1,0.0,1.4770978917519928
is not sweet,2,0,1,1,0,-1,2,1,-3,-1,0,0,0.16666666666666666,1.403458930534474
is not tastily,3,-2,-3,-2,-1,-2,2,-3,-3,-3,0,-3,-1.4166666666666667,2.0652243256245835
is nutritious,3,3,2,3,3,3,2,1,1,3,2,3,2.4166666666666665,0.7929614610987591
is sprayed,-1,1,-1,-1,0,0,1,0,2,-2,-3,0,-0.3333333333333333,1.3706888336846839
is tastily,3,2,-2,2,3,3,-3,-3,-3,3,0,2,0.5833333333333334,2.609713789020945
is used in soup,2,3,-1,1,3,3,1,1,-3,3,3,2,1.5,1.8829377433825436
not loved by children,-2,2,-1,2,-1,-3,3,1,-3,0,-2,2,-0.16666666666666666,2.124888588879783
plant,1,1,2,1,2,1,1,0,-3,3,2,3,1.1666666666666667,1.5859229221975182
tastes bland,2,2,0,-1,0,1,-3,-3,-3,-3,0,-2,-0.8333333333333334,1.9462473604038073
you can buy it on the market,2,3,-2,2,3,3,1,-1,-3,3,2,3,1.3333333333333333,2.1461734799546393
you can cultivate it by yourself,0,2,1,2,3,3,1,2,-3,3,2,2,1.5,1.6787441193290353
you can eat it raw,1,1,1,2,3,3,0,1,-2,3,3,2,1.5,1.5075567228888183
