feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
can be shot with,1,3,-2,1,1,3,2,1,0,2,-3,3,1.0,1.9069251784911847
contains bullets,-1,3,2,-1,1,1,3,2,2,0,2,-3,0.9166666666666666,1.8319554050414562
destroys,2,-1,2,1,2,1,2,2,3,3,-2,-3,1.0,1.954016841836789
exists in different forms,-1,2,-1,0,0,0,-3,1,1,2,2,1,0.3333333333333333,1.497472618255253
exists in different kinds,-2,1,-1,0,2,0,-3,0,1,2,2,1,0.25,1.6025547785276542
exists in different sizes (groottes),-1,1,-2,0,-2,0,-3,2,1,2,2,1,0.08333333333333333,1.7298624923456323
has a barrel,-2,3,2,-3,0,3,3,2,2,0,2,-3,0.75,2.3011854652449344
has a grip,-3,-1,-1,-3,-2,-3,-3,0,1,1,-3,1,-1.3333333333333333,1.7232808737106582
has been existing for a long time,-3,0,-2,0,1,0,-3,0,3,1,2,2,0.08333333333333333,1.928651593652148
implement/tool,2,0,-3,0,1,0,1,2,1,0,2,-1,0.4166666666666667,1.4433756729740643
is black,-3,1,1,-3,-2,0,-3,-2,0,0,-3,-3,-1.4166666666666667,1.6764862244009227
is dangerous,3,2,2,1,3,1,2,3,3,3,3,3,2.4166666666666665,0.792961461098759
is forbidden,1,3,0,-3,2,0,1,0,0,1,1,-1,0.4166666666666667,1.5050420310248864
is hard,-3,2,1,2,0,0,-3,-2,0,0,-2,1,-0.3333333333333333,1.775250729197189
is heavy,-3,1,-1,-3,0,0,-3,-2,0,0,-3,-3,-1.4166666666666667,1.5642792899510294
is often found in action movies,1,1,1,-1,0,1,1,1,2,3,0,1,0.9166666666666666,0.996204919895622
is only used by humans,1,1,-2,1,3,2,1,0,-3,0,-3,1,0.16666666666666666,1.8989630344113089
is popular in the United States,-1,3,-3,-2,-1,-1,0,0,3,3,0,-1,0.0,2.0
is subject to rules,-1,1,-2,-1,0,1,1,0,2,2,1,2,0.5,1.3142574813455419
is used to protect you,0,2,1,1,2,2,-2,-2,-1,2,2,2,0.75,1.6025547785276542
is violent,2,-3,2,2,3,1,2,2,2,3,3,2,1.75,1.6025547785276542
made of metal,-1,-3,1,-3,-1,0,-3,1,1,0,2,1,-0.4166666666666667,1.7816403745544227
occurs often in films,-2,1,0,-2,0,0,0,-1,-3,2,0,1,-0.3333333333333333,1.4354811251305468
used by criminals,3,2,2,2,3,2,2,1,3,3,3,1,2.25,0.7537783614444091
used by police men,2,3,2,2,2,1,2,2,2,1,2,1,1.8333333333333333,0.5773502691896257
used by soldiers,1,3,2,2,2,1,3,3,3,1,2,1,2.0,0.8528028654224418
used in sports,-2,1,-1,-3,-3,0,-3,-2,-2,0,1,-3,-1.4166666666666667,1.5642792899510296
used to hunt,2,3,1,2,1,2,3,2,3,2,3,3,2.25,0.7537783614444091
used to make war,3,3,2,3,2,3,3,3,3,3,3,3,2.8333333333333335,0.38924947208076144
you can injure someone with it,3,2,2,3,3,3,3,3,3,1,2,3,2.5833333333333335,0.6685579234215214
you can kill someone with it,0,3,3,2,3,3,3,3,3,1,3,3,2.5,1.0
you need a weapon license for it,2,3,1,1,-1,3,1,2,2,1,1,2,1.5,1.087114613009218
