exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,1.0,1.0,1.0,2.0,19.0,3.0,2.0,3.0,5.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,17.0,3.0,2.0
bazooka,1.0,20.0,16.0,2.0,2.0,1.0,5.0,4.0,2.0,3.0,10.0,17.0,1.0,3.0,1.0,4.0,4.0,4.0,2.0,2.0
bow,1.0,16.0,20.0,3.0,2.0,1.0,1.0,3.0,2.0,4.0,12.0,1.0,10.0,4.0,12.0,10.0,8.0,3.0,1.0,2.0
canon,1.0,2.0,3.0,20.0,2.0,4.0,3.0,4.0,2.0,2.0,12.0,18.0,1.0,3.0,3.0,1.0,1.0,6.0,1.0,2.0
club,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,1.0,2.0,4.0,8.0,2.0,2.0,2.0,5.0,14.0,10.0,2.0,1.0
dagger,19.0,1.0,1.0,4.0,2.0,20.0,2.0,3.0,4.0,3.0,8.0,5.0,2.0,3.0,1.0,10.0,12.0,18.0,2.0,1.0
double-barreled shotgun,3.0,5.0,1.0,3.0,2.0,2.0,20.0,3.0,1.0,9.0,18.0,20.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0
grenade,2.0,4.0,3.0,4.0,2.0,3.0,3.0,20.0,3.0,2.0,16.0,15.0,1.0,2.0,3.0,2.0,2.0,3.0,19.0,2.0
knuckle dusters,3.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,20.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
machine gun,5.0,3.0,4.0,2.0,2.0,3.0,9.0,2.0,2.0,20.0,2.0,13.0,1.0,5.0,2.0,4.0,4.0,2.0,8.0,2.0
pistol,2.0,10.0,12.0,12.0,4.0,8.0,18.0,16.0,3.0,2.0,20.0,20.0,1.0,2.0,4.0,8.0,1.0,8.0,8.0,3.0
rifle,5.0,17.0,1.0,18.0,8.0,5.0,20.0,15.0,2.0,13.0,20.0,20.0,1.0,3.0,7.0,12.0,1.0,11.0,5.0,8.0
rope,1.0,1.0,10.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,20.0,2.0,10.0,2.0,4.0,1.0,1.0,10.0
shield,2.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0,2.0,5.0,2.0,3.0,2.0,20.0,1.0,2.0,2.0,5.0,2.0,2.0
slingshot,1.0,1.0,12.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,4.0,7.0,10.0,1.0,20.0,8.0,10.0,2.0,1.0,2.0
spear,1.0,4.0,10.0,1.0,5.0,10.0,3.0,2.0,1.0,4.0,8.0,12.0,2.0,2.0,8.0,20.0,12.0,10.0,3.0,8.0
stick,1.0,4.0,8.0,1.0,14.0,12.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,2.0,10.0,12.0,20.0,6.0,1.0,10.0
sword,17.0,4.0,3.0,6.0,10.0,18.0,1.0,3.0,2.0,2.0,8.0,11.0,1.0,5.0,2.0,10.0,6.0,20.0,2.0,8.0
tank,3.0,2.0,1.0,1.0,2.0,2.0,2.0,19.0,1.0,8.0,8.0,5.0,1.0,2.0,1.0,3.0,1.0,2.0,20.0,1.0
whip,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,8.0,10.0,2.0,2.0,8.0,10.0,8.0,1.0,20.0
