exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,,1.0,2.0,3.0,1.0,,1.0,,1.0,2.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,1.0
bazooka,,20.0,,,,,,,,,,,,,,,,,,
bow,1.0,,20.0,6.0,3.0,3.0,,6.0,,1.0,1.0,1.0,10.0,4.0,10.0,11.0,4.0,2.0,1.0,2.0
canon,2.0,,6.0,20.0,3.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
club,3.0,,3.0,3.0,20.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,3.0,10.0,1.0,1.0,1.0
dagger,1.0,,3.0,1.0,1.0,20.0,,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
double-barreled shotgun,,,,,,,20.0,,,,,,,,,,,,,
grenade,1.0,,6.0,1.0,1.0,1.0,,20.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0
knuckle dusters,,,,,,,,,20.0,,,,,,,,,,,
machine gun,1.0,,1.0,1.0,1.0,1.0,,1.0,,20.0,15.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0
pistol,2.0,,1.0,1.0,1.0,1.0,,2.0,,15.0,20.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rifle,1.0,,1.0,1.0,1.0,3.0,,1.0,,1.0,15.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rope,1.0,,10.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,20.0,1.0,11.0,1.0,1.0,1.0,1.0,10.0
shield,5.0,,4.0,1.0,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,20.0,4.0,13.0,2.0,15.0,1.0,3.0
slingshot,1.0,,10.0,1.0,2.0,1.0,,1.0,,1.0,1.0,1.0,11.0,4.0,20.0,1.0,3.0,3.0,5.0,1.0
spear,1.0,,11.0,1.0,3.0,2.0,,1.0,,1.0,1.0,1.0,1.0,13.0,1.0,20.0,10.0,6.0,1.0,1.0
stick,10.0,,4.0,1.0,10.0,1.0,,3.0,,2.0,1.0,1.0,1.0,2.0,3.0,10.0,20.0,2.0,1.0,3.0
sword,1.0,,2.0,1.0,1.0,2.0,,1.0,,1.0,1.0,1.0,1.0,15.0,3.0,6.0,2.0,20.0,1.0,1.0
tank,1.0,,1.0,2.0,1.0,1.0,,1.0,,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,20.0,1.0
whip,1.0,,2.0,1.0,1.0,1.0,,7.0,,1.0,1.0,1.0,10.0,3.0,1.0,1.0,3.0,1.0,1.0,20.0
