exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,7.0,3.0,2.0,11.0,11.0,2.0,3.0,5.0,8.0,8.0,4.0,4.0,2.0,2.0,9.0,12.0,7.0,8.0,5.0
bazooka,7.0,20.0,2.0,11.0,6.0,1.0,12.0,8.0,3.0,16.0,5.0,12.0,1.0,1.0,3.0,6.0,3.0,8.0,13.0,1.0
bow,3.0,2.0,20.0,1.0,4.0,5.0,2.0,7.0,1.0,2.0,1.0,5.0,3.0,7.0,9.0,1.0,2.0,6.0,1.0,2.0
canon,2.0,11.0,1.0,20.0,2.0,5.0,12.0,9.0,2.0,12.0,4.0,9.0,1.0,6.0,2.0,3.0,1.0,5.0,15.0,2.0
club,11.0,6.0,4.0,2.0,20.0,9.0,2.0,6.0,1.0,3.0,8.0,12.0,4.0,3.0,3.0,9.0,16.0,6.0,2.0,12.0
dagger,11.0,1.0,5.0,5.0,9.0,20.0,5.0,6.0,2.0,2.0,7.0,5.0,1.0,11.0,2.0,11.0,12.0,9.0,2.0,4.0
double-barreled shotgun,2.0,12.0,2.0,12.0,2.0,5.0,20.0,11.0,1.0,11.0,19.0,13.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0
grenade,3.0,8.0,7.0,9.0,6.0,6.0,11.0,20.0,2.0,9.0,8.0,7.0,2.0,2.0,2.0,5.0,2.0,6.0,9.0,3.0
knuckle dusters,5.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,20.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0
machine gun,8.0,16.0,2.0,12.0,3.0,2.0,11.0,9.0,1.0,20.0,11.0,11.0,1.0,5.0,1.0,5.0,1.0,7.0,13.0,3.0
pistol,8.0,5.0,1.0,4.0,8.0,7.0,19.0,8.0,1.0,11.0,20.0,19.0,1.0,1.0,2.0,6.0,3.0,6.0,2.0,4.0
rifle,4.0,12.0,5.0,9.0,12.0,5.0,13.0,7.0,1.0,11.0,19.0,20.0,1.0,1.0,7.0,5.0,3.0,3.0,3.0,6.0
rope,4.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,20.0,2.0,7.0,2.0,9.0,3.0,1.0,14.0
shield,2.0,1.0,7.0,6.0,3.0,11.0,1.0,2.0,3.0,5.0,1.0,1.0,2.0,20.0,3.0,5.0,3.0,5.0,8.0,2.0
slingshot,2.0,3.0,9.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,7.0,7.0,3.0,20.0,4.0,13.0,3.0,2.0,9.0
spear,9.0,6.0,1.0,3.0,9.0,11.0,2.0,5.0,2.0,5.0,6.0,5.0,2.0,5.0,4.0,20.0,6.0,6.0,6.0,7.0
stick,12.0,3.0,2.0,1.0,16.0,12.0,2.0,2.0,1.0,1.0,3.0,3.0,9.0,3.0,13.0,6.0,20.0,11.0,3.0,11.0
sword,7.0,8.0,6.0,5.0,6.0,9.0,4.0,6.0,2.0,7.0,6.0,3.0,3.0,5.0,3.0,6.0,11.0,20.0,4.0,5.0
tank,8.0,13.0,1.0,15.0,2.0,2.0,3.0,9.0,1.0,13.0,2.0,3.0,1.0,8.0,2.0,6.0,3.0,4.0,20.0,1.0
whip,5.0,1.0,2.0,2.0,12.0,4.0,1.0,3.0,3.0,3.0,4.0,6.0,14.0,2.0,9.0,7.0,11.0,5.0,1.0,20.0
