exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,3.0,3.0,1.0,7.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,4.0,5.0,1.0,5.0,3.0
bazooka,3.0,20.0,2.0,3.0,2.0,2.0,5.0,8.0,2.0,8.0,3.0,12.0,1.0,4.0,2.0,1.0,4.0,2.0,5.0,2.0
bow,3.0,2.0,20.0,1.0,5.0,6.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,8.0,2.0,8.0,5.0,3.0,3.0,1.0
canon,1.0,3.0,1.0,20.0,2.0,4.0,6.0,2.0,3.0,10.0,5.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,5.0,1.0
club,7.0,2.0,5.0,2.0,20.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,9.0,6.0,5.0,5.0,4.0
dagger,2.0,2.0,6.0,4.0,2.0,20.0,6.0,2.0,2.0,2.0,5.0,4.0,1.0,8.0,2.0,6.0,4.0,16.0,6.0,2.0
double-barreled shotgun,2.0,5.0,2.0,6.0,1.0,6.0,20.0,2.0,3.0,10.0,13.0,15.0,1.0,2.0,1.0,2.0,1.0,6.0,4.0,1.0
grenade,1.0,8.0,1.0,2.0,2.0,2.0,2.0,20.0,3.0,5.0,3.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,8.0,3.0
knuckle dusters,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,20.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0
machine gun,2.0,8.0,1.0,10.0,3.0,2.0,10.0,5.0,1.0,20.0,13.0,15.0,3.0,2.0,1.0,4.0,3.0,5.0,8.0,2.0
pistol,3.0,3.0,4.0,5.0,3.0,5.0,13.0,3.0,3.0,13.0,20.0,20.0,1.0,9.0,3.0,2.0,4.0,12.0,1.0,1.0
rifle,3.0,12.0,3.0,2.0,3.0,4.0,15.0,2.0,1.0,15.0,20.0,20.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0
rope,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,20.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0
shield,3.0,4.0,8.0,3.0,6.0,8.0,2.0,4.0,3.0,2.0,9.0,4.0,1.0,20.0,2.0,2.0,1.0,2.0,3.0,1.0
slingshot,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,20.0,4.0,3.0,3.0,1.0,6.0
spear,4.0,1.0,8.0,3.0,9.0,6.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,20.0,2.0,7.0,1.0,2.0
stick,5.0,4.0,5.0,1.0,6.0,4.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,1.0,3.0,2.0,20.0,7.0,1.0,4.0
sword,1.0,2.0,3.0,2.0,5.0,16.0,6.0,1.0,2.0,5.0,12.0,3.0,1.0,2.0,3.0,7.0,7.0,20.0,2.0,2.0
tank,5.0,5.0,3.0,5.0,5.0,6.0,4.0,8.0,1.0,8.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,20.0,1.0
whip,3.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,6.0,2.0,4.0,2.0,1.0,20.0
