exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,2.0,3.0,5.0,3.0,12.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,8.0,2.0,4.0,4.0,14.0,3.0,4.0
bazooka,2.0,20.0,2.0,16.0,1.0,4.0,13.0,14.0,1.0,12.0,5.0,8.0,7.0,4.0,6.0,4.0,1.0,3.0,4.0,6.0
bow,3.0,2.0,20.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,6.0,5.0,6.0,7.0,3.0,8.0,6.0,14.0,4.0,6.0
canon,5.0,16.0,4.0,20.0,3.0,2.0,7.0,8.0,2.0,8.0,8.0,6.0,4.0,2.0,3.0,3.0,2.0,3.0,18.0,1.0
club,3.0,1.0,3.0,3.0,20.0,3.0,5.0,2.0,15.0,2.0,4.0,3.0,3.0,6.0,2.0,14.0,2.0,15.0,2.0,7.0
dagger,12.0,4.0,4.0,2.0,3.0,20.0,3.0,2.0,11.0,1.0,2.0,3.0,3.0,8.0,4.0,4.0,4.0,15.0,1.0,3.0
double-barreled shotgun,3.0,13.0,2.0,7.0,5.0,3.0,20.0,5.0,2.0,14.0,17.0,17.0,2.0,3.0,4.0,4.0,3.0,2.0,6.0,3.0
grenade,1.0,14.0,4.0,8.0,2.0,2.0,5.0,20.0,3.0,5.0,6.0,2.0,1.0,3.0,3.0,6.0,2.0,4.0,13.0,3.0
knuckle dusters,2.0,1.0,3.0,2.0,15.0,11.0,2.0,3.0,20.0,3.0,5.0,2.0,3.0,12.0,4.0,5.0,4.0,3.0,2.0,6.0
machine gun,2.0,12.0,3.0,8.0,2.0,1.0,14.0,5.0,3.0,20.0,15.0,16.0,1.0,2.0,4.0,4.0,7.0,4.0,10.0,2.0
pistol,2.0,5.0,6.0,8.0,4.0,2.0,17.0,6.0,5.0,15.0,20.0,4.0,3.0,3.0,6.0,2.0,1.0,3.0,4.0,2.0
rifle,3.0,8.0,5.0,6.0,3.0,3.0,17.0,2.0,2.0,16.0,4.0,20.0,2.0,2.0,3.0,4.0,16.0,5.0,6.0,6.0
rope,3.0,7.0,6.0,4.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,20.0,8.0,3.0,4.0,4.0,5.0,1.0,16.0
shield,8.0,4.0,7.0,2.0,6.0,8.0,3.0,3.0,12.0,2.0,3.0,2.0,8.0,20.0,2.0,7.0,5.0,8.0,5.0,3.0
slingshot,2.0,6.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,6.0,3.0,3.0,2.0,20.0,3.0,10.0,5.0,3.0,9.0
spear,4.0,4.0,8.0,3.0,14.0,4.0,4.0,6.0,5.0,4.0,2.0,4.0,4.0,7.0,3.0,20.0,16.0,3.0,3.0,3.0
stick,4.0,1.0,6.0,2.0,2.0,4.0,3.0,2.0,4.0,7.0,1.0,16.0,4.0,5.0,10.0,16.0,20.0,8.0,1.0,4.0
sword,14.0,3.0,14.0,3.0,15.0,15.0,2.0,4.0,3.0,4.0,3.0,5.0,5.0,8.0,5.0,3.0,8.0,20.0,6.0,2.0
tank,3.0,4.0,4.0,18.0,2.0,1.0,6.0,13.0,2.0,10.0,4.0,6.0,1.0,5.0,3.0,3.0,1.0,6.0,20.0,3.0
whip,4.0,6.0,6.0,1.0,7.0,3.0,3.0,3.0,6.0,2.0,2.0,6.0,16.0,3.0,9.0,3.0,4.0,2.0,3.0,20.0
