exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,3.0,14.0,4.0,3.0,17.0,4.0,2.0,6.0,5.0,4.0,4.0,6.0,17.0,12.0,18.0,17.0,18.0,1.0,15.0
bazooka,3.0,20.0,2.0,19.0,4.0,4.0,4.0,11.0,1.0,18.0,6.0,18.0,3.0,3.0,2.0,2.0,2.0,7.0,17.0,1.0
bow,14.0,2.0,20.0,6.0,7.0,17.0,4.0,1.0,1.0,2.0,2.0,2.0,18.0,10.0,19.0,19.0,19.0,1.0,2.0,11.0
canon,4.0,19.0,6.0,20.0,2.0,2.0,16.0,16.0,3.0,18.0,17.0,15.0,4.0,11.0,6.0,1.0,3.0,1.0,18.0,1.0
club,3.0,4.0,7.0,2.0,20.0,17.0,2.0,6.0,3.0,1.0,1.0,2.0,3.0,11.0,15.0,16.0,18.0,11.0,1.0,11.0
dagger,17.0,4.0,17.0,2.0,17.0,20.0,2.0,4.0,2.0,3.0,4.0,1.0,11.0,18.0,17.0,3.0,15.0,19.0,4.0,7.0
double-barreled shotgun,4.0,4.0,4.0,16.0,2.0,2.0,20.0,2.0,4.0,15.0,17.0,14.0,3.0,8.0,11.0,9.0,2.0,3.0,12.0,1.0
grenade,2.0,11.0,1.0,16.0,6.0,4.0,2.0,20.0,1.0,19.0,19.0,18.0,3.0,2.0,3.0,3.0,5.0,1.0,17.0,3.0
knuckle dusters,6.0,1.0,1.0,3.0,3.0,2.0,4.0,1.0,20.0,1.0,1.0,4.0,3.0,5.0,1.0,4.0,2.0,5.0,4.0,6.0
machine gun,5.0,18.0,2.0,18.0,1.0,3.0,15.0,19.0,1.0,20.0,18.0,18.0,2.0,4.0,7.0,1.0,1.0,7.0,2.0,2.0
pistol,4.0,6.0,2.0,17.0,1.0,4.0,17.0,19.0,1.0,18.0,20.0,19.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,5.0
rifle,4.0,18.0,2.0,15.0,2.0,1.0,14.0,18.0,4.0,18.0,19.0,20.0,2.0,1.0,4.0,15.0,2.0,11.0,11.0,1.0
rope,6.0,3.0,18.0,4.0,3.0,11.0,3.0,3.0,3.0,2.0,2.0,2.0,20.0,4.0,13.0,15.0,18.0,3.0,3.0,14.0
shield,17.0,3.0,10.0,11.0,11.0,18.0,8.0,2.0,5.0,4.0,2.0,1.0,4.0,20.0,2.0,11.0,1.0,1.0,3.0,5.0
slingshot,12.0,2.0,19.0,6.0,15.0,17.0,11.0,3.0,1.0,7.0,2.0,4.0,13.0,2.0,20.0,11.0,11.0,4.0,6.0,5.0
spear,18.0,2.0,19.0,1.0,16.0,3.0,9.0,3.0,4.0,1.0,4.0,15.0,15.0,11.0,11.0,20.0,11.0,5.0,8.0,2.0
stick,17.0,2.0,19.0,3.0,18.0,15.0,2.0,5.0,2.0,1.0,2.0,2.0,18.0,1.0,11.0,11.0,20.0,19.0,3.0,16.0
sword,18.0,7.0,1.0,1.0,11.0,19.0,3.0,1.0,5.0,7.0,3.0,11.0,3.0,1.0,4.0,5.0,19.0,20.0,4.0,2.0
tank,1.0,17.0,2.0,18.0,1.0,4.0,12.0,17.0,4.0,2.0,2.0,11.0,3.0,3.0,6.0,8.0,3.0,4.0,20.0,3.0
whip,15.0,1.0,11.0,1.0,11.0,7.0,1.0,3.0,6.0,2.0,5.0,1.0,14.0,5.0,5.0,2.0,16.0,2.0,3.0,20.0
