exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,2.0,2.0,2.0,5.0,3.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,5.0
bazooka,2.0,20.0,2.0,5.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0
bow,2.0,2.0,20.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0
canon,2.0,5.0,2.0,20.0,5.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0
club,5.0,3.0,1.0,5.0,20.0,2.0,1.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0
dagger,3.0,2.0,2.0,1.0,2.0,20.0,3.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0
double-barreled shotgun,1.0,4.0,3.0,4.0,1.0,3.0,20.0,2.0,2.0,3.0,10.0,10.0,2.0,2.0,5.0,3.0,5.0,2.0,2.0,3.0
grenade,2.0,1.0,2.0,2.0,2.0,2.0,2.0,20.0,8.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,6.0,2.0,3.0,2.0
knuckle dusters,5.0,2.0,2.0,2.0,3.0,2.0,2.0,8.0,20.0,2.0,1.0,2.0,8.0,2.0,1.0,1.0,2.0,5.0,3.0,4.0
machine gun,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,20.0,15.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0
pistol,2.0,1.0,2.0,2.0,5.0,2.0,10.0,2.0,1.0,15.0,20.0,18.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0
rifle,2.0,5.0,2.0,2.0,2.0,5.0,10.0,3.0,2.0,2.0,18.0,20.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0
rope,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,8.0,2.0,5.0,3.0,20.0,2.0,5.0,2.0,5.0,5.0,2.0,10.0
shield,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,20.0,2.0,2.0,1.0,2.0,2.0,2.0
slingshot,4.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0,1.0,4.0,3.0,2.0,5.0,2.0,20.0,1.0,2.0,2.0,1.0,2.0
spear,3.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,20.0,2.0,2.0,2.0,4.0
stick,3.0,1.0,1.0,2.0,2.0,3.0,5.0,6.0,2.0,1.0,2.0,1.0,5.0,1.0,2.0,2.0,20.0,2.0,2.0,5.0
sword,2.0,2.0,2.0,5.0,5.0,2.0,2.0,2.0,5.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,20.0,4.0,1.0
tank,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,20.0,2.0
whip,5.0,2.0,6.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,5.0,2.0,10.0,2.0,2.0,4.0,5.0,1.0,2.0,20.0
