exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,5.0,4.0,2.0,10.0,4.0,4.0,3.0,2.0,3.0,3.0,5.0,2.0,5.0,3.0,6.0,5.0,9.0,3.0,4.0
bazooka,5.0,20.0,4.0,14.0,3.0,5.0,14.0,15.0,5.0,10.0,5.0,9.0,1.0,3.0,8.0,2.0,2.0,8.0,9.0,3.0
bow,4.0,4.0,20.0,9.0,1.0,4.0,10.0,1.0,9.0,8.0,8.0,9.0,2.0,3.0,9.0,10.0,9.0,4.0,3.0,1.0
canon,2.0,14.0,9.0,20.0,2.0,4.0,9.0,9.0,2.0,8.0,9.0,10.0,1.0,3.0,8.0,2.0,4.0,2.0,17.0,2.0
club,10.0,3.0,1.0,2.0,20.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,15.0,2.0,2.0,9.0
dagger,4.0,5.0,4.0,4.0,3.0,20.0,4.0,2.0,6.0,6.0,11.0,10.0,3.0,6.0,3.0,4.0,8.0,5.0,3.0,3.0
double-barreled shotgun,4.0,14.0,10.0,9.0,3.0,4.0,20.0,8.0,2.0,8.0,10.0,18.0,1.0,1.0,3.0,3.0,2.0,4.0,6.0,1.0
grenade,3.0,15.0,1.0,9.0,1.0,2.0,8.0,20.0,2.0,12.0,6.0,10.0,1.0,1.0,8.0,9.0,8.0,4.0,12.0,2.0
knuckle dusters,2.0,5.0,9.0,2.0,2.0,6.0,2.0,2.0,20.0,2.0,2.0,8.0,3.0,3.0,10.0,12.0,2.0,7.0,3.0,4.0
machine gun,3.0,10.0,8.0,8.0,2.0,6.0,8.0,12.0,2.0,20.0,10.0,9.0,4.0,2.0,9.0,5.0,3.0,5.0,6.0,2.0
pistol,3.0,5.0,8.0,9.0,2.0,11.0,10.0,6.0,2.0,10.0,20.0,15.0,2.0,2.0,8.0,6.0,4.0,3.0,9.0,2.0
rifle,5.0,9.0,9.0,10.0,2.0,10.0,18.0,10.0,8.0,9.0,15.0,20.0,1.0,2.0,10.0,9.0,4.0,2.0,8.0,2.0
rope,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,4.0,2.0,1.0,20.0,4.0,3.0,1.0,4.0,3.0,1.0,6.0
shield,5.0,3.0,3.0,3.0,4.0,6.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,20.0,2.0,5.0,5.0,6.0,2.0,3.0
slingshot,3.0,8.0,9.0,8.0,4.0,3.0,3.0,8.0,10.0,9.0,8.0,10.0,3.0,2.0,20.0,5.0,2.0,6.0,7.0,3.0
spear,6.0,2.0,10.0,2.0,6.0,4.0,3.0,9.0,12.0,5.0,6.0,9.0,1.0,5.0,5.0,20.0,8.0,8.0,2.0,1.0
stick,5.0,2.0,9.0,4.0,15.0,8.0,2.0,8.0,2.0,3.0,4.0,4.0,4.0,5.0,2.0,8.0,20.0,5.0,2.0,8.0
sword,9.0,8.0,4.0,2.0,2.0,5.0,4.0,4.0,7.0,5.0,3.0,2.0,3.0,6.0,6.0,8.0,5.0,20.0,4.0,5.0
tank,3.0,9.0,3.0,17.0,2.0,3.0,6.0,12.0,3.0,6.0,9.0,8.0,1.0,2.0,7.0,2.0,2.0,4.0,20.0,2.0
whip,4.0,3.0,1.0,2.0,9.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,6.0,3.0,3.0,1.0,8.0,5.0,2.0,20.0
