exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,1.0,9.0,1.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,14.0,1.0,1.0
bazooka,1.0,20.0,1.0,19.0,1.0,1.0,4.0,16.0,1.0,11.0,11.0,12.0,1.0,1.0,20.0,1.0,1.0,1.0,20.0,1.0
bow,9.0,1.0,20.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,14.0,4.0,4.0,3.0,1.0,4.0
canon,1.0,19.0,6.0,20.0,1.0,1.0,1.0,18.0,1.0,1.0,11.0,9.0,1.0,1.0,20.0,4.0,1.0,1.0,16.0,1.0
club,9.0,1.0,1.0,1.0,20.0,4.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,16.0,11.0,1.0,1.0
dagger,9.0,1.0,1.0,1.0,4.0,20.0,1.0,1.0,14.0,1.0,7.0,2.0,1.0,1.0,1.0,4.0,2.0,20.0,1.0,1.0
double-barreled shotgun,1.0,4.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,14.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0
grenade,1.0,16.0,1.0,18.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,17.0,1.0
knuckle dusters,1.0,1.0,1.0,1.0,19.0,14.0,1.0,1.0,20.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
machine gun,1.0,11.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,20.0,20.0,19.0,1.0,1.0,6.0,1.0,1.0,1.0,15.0,1.0
pistol,1.0,11.0,1.0,11.0,1.0,7.0,20.0,1.0,2.0,20.0,20.0,20.0,1.0,1.0,1.0,4.0,1.0,14.0,4.0,1.0
rifle,1.0,12.0,1.0,9.0,1.0,2.0,20.0,1.0,1.0,19.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,4.0,16.0,1.0
rope,1.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,4.0,1.0,1.0,1.0,19.0
shield,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,18.0,1.0
slingshot,1.0,20.0,14.0,20.0,18.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,20.0,11.0,1.0,1.0,19.0,1.0
spear,4.0,1.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,11.0,20.0,19.0,11.0,1.0,1.0
stick,1.0,1.0,4.0,1.0,16.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,20.0,18.0,1.0,1.0
sword,14.0,1.0,3.0,1.0,11.0,20.0,1.0,1.0,1.0,1.0,14.0,4.0,1.0,1.0,1.0,11.0,18.0,20.0,1.0,1.0
tank,1.0,20.0,1.0,16.0,1.0,1.0,12.0,17.0,1.0,15.0,4.0,16.0,1.0,18.0,19.0,1.0,1.0,1.0,20.0,2.0
whip,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,2.0,20.0
