exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,1.0,14.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,5.0,2.0,4.0,12.0,1.0,14.0,7.0,3.0,3.0,1.0
bazooka,1.0,20.0,1.0,14.0,1.0,2.0,2.0,12.0,1.0,9.0,2.0,13.0,1.0,1.0,1.0,2.0,1.0,1.0,15.0,1.0
bow,14.0,1.0,20.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,6.0,16.0,15.0,17.0,15.0,1.0,2.0,1.0
canon,1.0,14.0,1.0,20.0,1.0,2.0,7.0,10.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,17.0,2.0
club,1.0,1.0,2.0,1.0,20.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,9.0,1.0,2.0,17.0,2.0,2.0,1.0
dagger,4.0,2.0,2.0,2.0,3.0,20.0,2.0,2.0,4.0,7.0,10.0,3.0,5.0,2.0,10.0,12.0,1.0,4.0,2.0,2.0
double-barreled shotgun,2.0,2.0,1.0,7.0,1.0,2.0,20.0,10.0,2.0,9.0,4.0,14.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
grenade,2.0,12.0,2.0,10.0,1.0,2.0,10.0,20.0,1.0,2.0,2.0,2.0,1.0,1.0,8.0,2.0,1.0,1.0,14.0,4.0
knuckle dusters,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,20.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
machine gun,2.0,9.0,2.0,2.0,2.0,7.0,9.0,2.0,2.0,20.0,12.0,14.0,1.0,14.0,2.0,13.0,3.0,16.0,7.0,1.0
pistol,5.0,2.0,1.0,2.0,2.0,10.0,4.0,2.0,2.0,12.0,20.0,17.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0
rifle,2.0,13.0,2.0,3.0,1.0,3.0,14.0,2.0,1.0,14.0,17.0,20.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0
rope,4.0,1.0,6.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,13.0,1.0,1.0,10.0
shield,12.0,1.0,16.0,2.0,9.0,2.0,1.0,1.0,2.0,14.0,1.0,1.0,1.0,20.0,1.0,15.0,16.0,18.0,4.0,2.0
slingshot,1.0,1.0,15.0,4.0,1.0,10.0,2.0,8.0,2.0,2.0,1.0,4.0,1.0,1.0,20.0,4.0,16.0,1.0,3.0,4.0
spear,14.0,2.0,17.0,1.0,2.0,12.0,1.0,2.0,1.0,13.0,1.0,1.0,1.0,15.0,4.0,20.0,15.0,1.0,4.0,1.0
stick,7.0,1.0,15.0,1.0,17.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,13.0,16.0,16.0,15.0,20.0,1.0,1.0,2.0
sword,3.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,16.0,1.0,2.0,1.0,18.0,1.0,1.0,1.0,20.0,2.0,2.0
tank,3.0,15.0,2.0,17.0,2.0,2.0,1.0,14.0,1.0,7.0,3.0,2.0,1.0,4.0,3.0,4.0,1.0,2.0,20.0,1.0
whip,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,10.0,2.0,4.0,1.0,2.0,2.0,1.0,20.0
