exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,4.0,4.0,5.0,14.0,12.0,5.0,6.0,2.0,10.0,5.0,5.0,6.0,2.0,5.0,3.0,2.0,18.0,5.0,5.0
bazooka,4.0,20.0,4.0,10.0,5.0,5.0,5.0,5.0,4.0,2.0,14.0,15.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0
bow,4.0,4.0,20.0,14.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,4.0,5.0,3.0,17.0,2.0,6.0,5.0,2.0,4.0
canon,5.0,10.0,14.0,20.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,15.0,2.0,6.0,3.0,2.0,6.0,5.0,5.0,5.0
club,14.0,5.0,2.0,2.0,20.0,3.0,2.0,2.0,17.0,3.0,2.0,4.0,2.0,2.0,2.0,5.0,14.0,6.0,1.0,5.0
dagger,12.0,5.0,2.0,2.0,3.0,20.0,8.0,2.0,6.0,5.0,2.0,17.0,2.0,8.0,2.0,13.0,14.0,18.0,5.0,5.0
double-barreled shotgun,5.0,5.0,3.0,2.0,2.0,8.0,20.0,2.0,2.0,14.0,17.0,15.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0
grenade,6.0,5.0,2.0,2.0,2.0,2.0,2.0,20.0,5.0,5.0,1.0,5.0,3.0,2.0,9.0,2.0,2.0,10.0,2.0,2.0
knuckle dusters,2.0,4.0,2.0,2.0,17.0,6.0,2.0,5.0,20.0,6.0,2.0,2.0,2.0,3.0,5.0,2.0,5.0,5.0,2.0,2.0
machine gun,10.0,2.0,5.0,3.0,3.0,5.0,14.0,5.0,6.0,20.0,5.0,5.0,2.0,4.0,5.0,6.0,18.0,14.0,2.0,5.0
pistol,5.0,14.0,2.0,4.0,2.0,2.0,17.0,1.0,2.0,5.0,20.0,18.0,2.0,2.0,3.0,4.0,2.0,5.0,2.0,10.0
rifle,5.0,15.0,4.0,15.0,4.0,17.0,15.0,5.0,2.0,5.0,18.0,20.0,2.0,5.0,11.0,10.0,5.0,4.0,1.0,5.0
rope,6.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,3.0,2.0,2.0,2.0,14.0
shield,2.0,2.0,3.0,6.0,2.0,8.0,5.0,2.0,3.0,4.0,2.0,5.0,2.0,20.0,5.0,5.0,2.0,8.0,2.0,4.0
slingshot,5.0,2.0,17.0,3.0,2.0,2.0,2.0,9.0,5.0,5.0,3.0,11.0,2.0,5.0,20.0,5.0,14.0,5.0,5.0,5.0
spear,3.0,2.0,2.0,2.0,5.0,13.0,2.0,2.0,2.0,6.0,4.0,10.0,3.0,5.0,5.0,20.0,17.0,5.0,2.0,5.0
stick,2.0,2.0,6.0,6.0,14.0,14.0,2.0,2.0,5.0,18.0,2.0,5.0,2.0,2.0,14.0,17.0,20.0,5.0,2.0,6.0
sword,18.0,5.0,5.0,5.0,6.0,18.0,2.0,10.0,5.0,14.0,5.0,4.0,2.0,8.0,5.0,5.0,5.0,20.0,4.0,2.0
tank,5.0,2.0,2.0,5.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,2.0,4.0,20.0,1.0
whip,5.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,10.0,5.0,14.0,4.0,5.0,5.0,6.0,2.0,1.0,20.0
