exemplar,anchovy,carp,cod,dolphin,eel,flatfish,goldfish,herring,orca,pike,piranha,plaice,ray,salmon,sardine,shark,sole,sperm whale,squid,stickleback,swordfish,trout,whale
anchovy,20.0,14.0,9.0,6.0,9.0,7.0,13.0,12.0,6.0,8.0,13.0,7.0,,9.0,15.0,6.0,10.0,10.0,9.0,13.0,11.0,10.0,6.0
carp,14.0,20.0,16.0,10.0,9.0,12.0,8.0,11.0,9.0,17.0,12.0,10.0,,9.0,7.0,10.0,6.0,11.0,9.0,12.0,9.0,13.0,7.0
cod,9.0,16.0,20.0,13.0,9.0,11.0,11.0,11.0,4.0,11.0,7.0,12.0,,14.0,9.0,9.0,9.0,11.0,10.0,7.0,9.0,12.0,5.0
dolphin,6.0,10.0,13.0,20.0,12.0,8.0,7.0,8.0,14.0,9.0,9.0,8.0,,8.0,13.0,14.0,6.0,10.0,9.0,7.0,12.0,8.0,16.0
eel,9.0,9.0,9.0,12.0,20.0,11.0,11.0,12.0,7.0,10.0,10.0,10.0,,11.0,11.0,7.0,11.0,11.0,8.0,8.0,6.0,11.0,4.0
flatfish,7.0,12.0,11.0,8.0,11.0,20.0,8.0,9.0,9.0,10.0,10.0,14.0,,9.0,14.0,7.0,12.0,11.0,11.0,10.0,9.0,12.0,9.0
goldfish,13.0,8.0,11.0,7.0,11.0,8.0,20.0,9.0,5.0,8.0,12.0,11.0,,9.0,12.0,8.0,9.0,7.0,11.0,12.0,5.0,9.0,4.0
herring,12.0,11.0,11.0,8.0,12.0,9.0,9.0,20.0,7.0,8.0,9.0,12.0,,11.0,14.0,9.0,13.0,11.0,12.0,12.0,6.0,14.0,7.0
orca,6.0,9.0,4.0,14.0,7.0,9.0,5.0,7.0,20.0,9.0,6.0,9.0,,7.0,5.0,13.0,6.0,15.0,9.0,8.0,13.0,5.0,18.0
pike,8.0,17.0,11.0,9.0,10.0,10.0,8.0,8.0,9.0,20.0,8.0,9.0,,12.0,7.0,8.0,10.0,12.0,10.0,15.0,12.0,12.0,8.0
piranha,13.0,12.0,7.0,9.0,10.0,10.0,12.0,9.0,6.0,8.0,20.0,9.0,,8.0,11.0,7.0,11.0,9.0,7.0,14.0,7.0,9.0,7.0
plaice,7.0,10.0,12.0,8.0,10.0,14.0,11.0,12.0,9.0,9.0,9.0,20.0,,10.0,11.0,7.0,13.0,13.0,12.0,11.0,7.0,12.0,7.0
ray,,,,,,,,,,,,,20.0,,,,,,,,,,
salmon,9.0,9.0,14.0,8.0,11.0,9.0,9.0,11.0,7.0,12.0,8.0,10.0,,20.0,9.0,10.0,9.0,10.0,11.0,12.0,7.0,14.0,6.0
sardine,15.0,7.0,9.0,13.0,11.0,14.0,12.0,14.0,5.0,7.0,11.0,11.0,,9.0,20.0,6.0,12.0,7.0,11.0,12.0,7.0,9.0,7.0
shark,6.0,10.0,9.0,14.0,7.0,7.0,8.0,9.0,13.0,8.0,7.0,7.0,,10.0,6.0,20.0,8.0,9.0,8.0,12.0,13.0,8.0,12.0
sole,10.0,6.0,9.0,6.0,11.0,12.0,9.0,13.0,6.0,10.0,11.0,13.0,,9.0,12.0,8.0,20.0,8.0,10.0,11.0,10.0,13.0,6.0
sperm whale,10.0,11.0,11.0,10.0,11.0,11.0,7.0,11.0,15.0,12.0,9.0,13.0,,10.0,7.0,9.0,8.0,20.0,11.0,12.0,8.0,12.0,6.0
squid,9.0,9.0,10.0,9.0,8.0,11.0,11.0,12.0,9.0,10.0,7.0,12.0,,11.0,11.0,8.0,10.0,11.0,20.0,9.0,9.0,10.0,6.0
stickleback,13.0,12.0,7.0,7.0,8.0,10.0,12.0,12.0,8.0,15.0,14.0,11.0,,12.0,12.0,12.0,11.0,12.0,9.0,20.0,8.0,8.0,6.0
swordfish,11.0,9.0,9.0,12.0,6.0,9.0,5.0,6.0,13.0,12.0,7.0,7.0,,7.0,7.0,13.0,10.0,8.0,9.0,8.0,20.0,7.0,14.0
trout,10.0,13.0,12.0,8.0,11.0,12.0,9.0,14.0,5.0,12.0,9.0,12.0,,14.0,9.0,8.0,13.0,12.0,10.0,8.0,7.0,20.0,6.0
whale,6.0,7.0,5.0,16.0,4.0,9.0,4.0,7.0,18.0,8.0,7.0,7.0,,6.0,7.0,12.0,6.0,6.0,6.0,6.0,14.0,6.0,20.0
