exemplar,anchovy,carp,cod,dolphin,eel,flatfish,goldfish,herring,orca,pike,piranha,plaice,ray,salmon,sardine,shark,sole,sperm whale,squid,stickleback,swordfish,trout,whale
anchovy,20.0,5.0,14.0,7.0,13.0,12.0,12.0,12.0,3.0,5.0,8.0,9.0,15.0,10.0,14.0,10.0,8.0,9.0,5.0,12.0,9.0,8.0,1.0
carp,5.0,20.0,6.0,10.0,11.0,9.0,12.0,15.0,3.0,13.0,12.0,13.0,16.0,8.0,12.0,8.0,8.0,9.0,11.0,14.0,11.0,10.0,12.0
cod,14.0,6.0,20.0,12.0,15.0,12.0,9.0,12.0,7.0,10.0,12.0,7.0,13.0,16.0,6.0,10.0,14.0,11.0,8.0,8.0,10.0,19.0,11.0
dolphin,7.0,10.0,12.0,20.0,8.0,10.0,4.0,11.0,16.0,8.0,3.0,7.0,8.0,9.0,3.0,10.0,5.0,15.0,12.0,9.0,15.0,5.0,9.0
eel,13.0,11.0,15.0,8.0,20.0,11.0,10.0,10.0,5.0,12.0,11.0,16.0,10.0,13.0,12.0,10.0,15.0,4.0,12.0,14.0,9.0,13.0,12.0
flatfish,12.0,9.0,12.0,10.0,11.0,20.0,9.0,12.0,4.0,12.0,7.0,18.0,9.0,10.0,13.0,5.0,14.0,15.0,13.0,11.0,5.0,13.0,13.0
goldfish,12.0,12.0,9.0,4.0,10.0,9.0,20.0,7.0,6.0,11.0,8.0,14.0,8.0,13.0,15.0,5.0,9.0,10.0,8.0,14.0,10.0,14.0,4.0
herring,12.0,15.0,12.0,11.0,10.0,12.0,7.0,20.0,5.0,6.0,10.0,8.0,16.0,15.0,17.0,14.0,1.0,7.0,14.0,11.0,7.0,12.0,5.0
orca,3.0,3.0,7.0,16.0,5.0,4.0,6.0,5.0,20.0,5.0,10.0,5.0,5.0,11.0,4.0,16.0,4.0,15.0,10.0,5.0,5.0,12.0,19.0
pike,5.0,13.0,10.0,8.0,12.0,12.0,11.0,6.0,5.0,20.0,12.0,16.0,10.0,12.0,7.0,11.0,10.0,11.0,8.0,10.0,10.0,14.0,6.0
piranha,8.0,12.0,12.0,3.0,11.0,7.0,8.0,10.0,10.0,12.0,20.0,14.0,11.0,12.0,10.0,15.0,12.0,12.0,12.0,5.0,7.0,14.0,8.0
plaice,9.0,13.0,7.0,7.0,16.0,18.0,14.0,8.0,5.0,16.0,14.0,20.0,15.0,13.0,9.0,5.0,15.0,10.0,12.0,6.0,11.0,13.0,8.0
ray,15.0,16.0,13.0,8.0,10.0,9.0,8.0,16.0,5.0,10.0,11.0,15.0,20.0,12.0,13.0,15.0,12.0,10.0,8.0,10.0,9.0,10.0,8.0
salmon,10.0,8.0,16.0,9.0,13.0,10.0,13.0,15.0,11.0,12.0,12.0,13.0,12.0,20.0,8.0,8.0,12.0,11.0,11.0,9.0,9.0,14.0,8.0
sardine,14.0,12.0,6.0,3.0,12.0,13.0,15.0,17.0,4.0,7.0,10.0,9.0,13.0,8.0,20.0,3.0,9.0,6.0,8.0,11.0,6.0,9.0,7.0
shark,10.0,8.0,10.0,10.0,10.0,5.0,5.0,14.0,16.0,11.0,15.0,5.0,15.0,8.0,3.0,20.0,7.0,11.0,11.0,5.0,16.0,15.0,15.0
sole,8.0,8.0,14.0,5.0,15.0,14.0,9.0,1.0,4.0,10.0,12.0,15.0,12.0,12.0,9.0,7.0,20.0,12.0,7.0,11.0,12.0,13.0,7.0
sperm whale,9.0,9.0,11.0,15.0,4.0,15.0,10.0,7.0,15.0,11.0,12.0,10.0,10.0,11.0,6.0,11.0,12.0,20.0,12.0,7.0,9.0,12.0,17.0
squid,5.0,11.0,8.0,12.0,12.0,13.0,8.0,14.0,10.0,8.0,12.0,12.0,8.0,11.0,8.0,11.0,7.0,12.0,20.0,4.0,15.0,12.0,12.0
stickleback,12.0,14.0,8.0,9.0,14.0,11.0,14.0,11.0,5.0,10.0,5.0,6.0,10.0,9.0,11.0,5.0,11.0,7.0,4.0,20.0,11.0,5.0,5.0
swordfish,9.0,11.0,10.0,15.0,9.0,5.0,10.0,7.0,5.0,10.0,7.0,11.0,9.0,9.0,6.0,16.0,12.0,9.0,15.0,11.0,20.0,10.0,18.0
trout,8.0,10.0,19.0,5.0,13.0,13.0,14.0,12.0,12.0,14.0,14.0,13.0,10.0,14.0,9.0,15.0,13.0,12.0,12.0,5.0,10.0,20.0,6.0
whale,1.0,12.0,11.0,9.0,12.0,13.0,4.0,5.0,19.0,6.0,8.0,8.0,8.0,8.0,7.0,15.0,7.0,17.0,12.0,5.0,18.0,6.0,20.0
