exemplar,anchovy,carp,cod,dolphin,eel,flatfish,goldfish,herring,orca,pike,piranha,plaice,ray,salmon,sardine,shark,sole,sperm whale,squid,stickleback,swordfish,trout,whale
anchovy,20.0,9.0,3.0,3.0,2.0,3.0,14.0,4.0,2.0,2.0,12.0,11.0,11.0,3.0,17.0,2.0,4.0,3.0,4.0,6.0,2.0,3.0,3.0
carp,9.0,20.0,12.0,2.0,3.0,2.0,4.0,15.0,2.0,12.0,12.0,3.0,3.0,12.0,4.0,3.0,13.0,10.0,11.0,13.0,4.0,10.0,3.0
cod,3.0,12.0,20.0,3.0,2.0,5.0,9.0,12.0,2.0,11.0,3.0,4.0,8.0,12.0,4.0,3.0,3.0,2.0,3.0,8.0,4.0,10.0,3.0
dolphin,3.0,2.0,3.0,20.0,4.0,2.0,4.0,12.0,14.0,6.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,8.0,2.0,3.0,9.0,12.0,17.0
eel,2.0,3.0,2.0,4.0,20.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,9.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0
flatfish,3.0,2.0,5.0,2.0,4.0,20.0,2.0,3.0,9.0,3.0,3.0,20.0,12.0,4.0,11.0,3.0,17.0,3.0,2.0,3.0,4.0,5.0,3.0
goldfish,14.0,4.0,9.0,4.0,2.0,2.0,20.0,12.0,10.0,3.0,2.0,4.0,2.0,4.0,15.0,2.0,3.0,2.0,11.0,11.0,2.0,11.0,9.0
herring,4.0,15.0,12.0,12.0,3.0,3.0,12.0,20.0,13.0,10.0,3.0,13.0,6.0,6.0,15.0,2.0,4.0,3.0,2.0,17.0,2.0,12.0,3.0
orca,2.0,2.0,2.0,14.0,3.0,9.0,10.0,13.0,20.0,2.0,2.0,3.0,2.0,12.0,3.0,9.0,2.0,14.0,2.0,3.0,6.0,2.0,19.0
pike,2.0,12.0,11.0,6.0,3.0,3.0,3.0,10.0,2.0,20.0,2.0,3.0,3.0,3.0,3.0,2.0,12.0,2.0,3.0,2.0,15.0,13.0,2.0
piranha,12.0,12.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,20.0,3.0,3.0,5.0,2.0,2.0,6.0,3.0,2.0,11.0,3.0,4.0,9.0
plaice,11.0,3.0,4.0,2.0,4.0,20.0,4.0,13.0,3.0,3.0,3.0,20.0,8.0,3.0,4.0,5.0,20.0,4.0,13.0,11.0,5.0,18.0,3.0
ray,11.0,3.0,8.0,4.0,9.0,12.0,2.0,6.0,2.0,3.0,3.0,8.0,20.0,3.0,11.0,2.0,4.0,4.0,3.0,3.0,3.0,19.0,3.0
salmon,3.0,12.0,12.0,3.0,2.0,4.0,4.0,6.0,12.0,3.0,5.0,3.0,3.0,20.0,4.0,2.0,4.0,3.0,2.0,12.0,11.0,4.0,3.0
sardine,17.0,4.0,4.0,3.0,6.0,11.0,15.0,15.0,3.0,3.0,2.0,4.0,11.0,4.0,20.0,2.0,3.0,10.0,5.0,6.0,2.0,8.0,2.0
shark,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,9.0,2.0,2.0,5.0,2.0,2.0,2.0,20.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0
sole,4.0,13.0,3.0,2.0,2.0,17.0,3.0,4.0,2.0,12.0,6.0,20.0,4.0,4.0,3.0,3.0,20.0,3.0,2.0,14.0,4.0,5.0,2.0
sperm whale,3.0,10.0,2.0,8.0,2.0,3.0,2.0,3.0,14.0,2.0,3.0,4.0,4.0,3.0,10.0,2.0,3.0,20.0,9.0,2.0,4.0,10.0,17.0
squid,4.0,11.0,3.0,2.0,2.0,2.0,11.0,2.0,2.0,3.0,2.0,13.0,3.0,2.0,5.0,3.0,2.0,9.0,20.0,2.0,2.0,2.0,9.0
stickleback,6.0,13.0,8.0,3.0,2.0,3.0,11.0,17.0,3.0,2.0,11.0,11.0,3.0,12.0,6.0,3.0,14.0,2.0,2.0,20.0,5.0,8.0,2.0
swordfish,2.0,4.0,4.0,9.0,3.0,4.0,2.0,2.0,6.0,15.0,3.0,5.0,3.0,11.0,2.0,3.0,4.0,4.0,2.0,5.0,20.0,2.0,4.0
trout,3.0,10.0,10.0,12.0,11.0,5.0,11.0,12.0,2.0,13.0,4.0,18.0,19.0,4.0,8.0,3.0,5.0,10.0,2.0,8.0,2.0,20.0,2.0
whale,3.0,3.0,3.0,17.0,2.0,3.0,9.0,3.0,19.0,2.0,9.0,3.0,3.0,3.0,2.0,2.0,2.0,17.0,9.0,2.0,4.0,2.0,20.0
