exemplar,anchovy,carp,cod,dolphin,eel,flatfish,goldfish,herring,orca,pike,piranha,plaice,ray,salmon,sardine,shark,sole,sperm whale,squid,stickleback,swordfish,trout,whale
anchovy,20.0,4.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,5.0,6.0,8.0,14.0,10.0,16.0,6.0,4.0,6.0,5.0,6.0,6.0,9.0,5.0
carp,4.0,20.0,8.0,6.0,14.0,14.0,10.0,9.0,6.0,11.0,9.0,6.0,8.0,9.0,5.0,5.0,8.0,6.0,8.0,12.0,7.0,14.0,8.0
cod,8.0,8.0,20.0,5.0,7.0,12.0,11.0,8.0,5.0,9.0,5.0,8.0,8.0,6.0,6.0,4.0,8.0,5.0,7.0,5.0,6.0,9.0,5.0
dolphin,9.0,6.0,5.0,20.0,5.0,6.0,11.0,6.0,14.0,6.0,5.0,6.0,3.0,6.0,8.0,8.0,9.0,8.0,5.0,5.0,4.0,12.0,10.0
eel,9.0,14.0,7.0,5.0,20.0,12.0,4.0,5.0,6.0,9.0,6.0,12.0,5.0,4.0,5.0,4.0,12.0,5.0,6.0,6.0,7.0,12.0,6.0
flatfish,8.0,14.0,12.0,6.0,12.0,20.0,8.0,7.0,4.0,9.0,8.0,15.0,4.0,12.0,9.0,11.0,16.0,6.0,6.0,6.0,5.0,16.0,9.0
goldfish,10.0,10.0,11.0,11.0,4.0,8.0,20.0,10.0,5.0,8.0,7.0,5.0,4.0,8.0,9.0,6.0,10.0,5.0,4.0,9.0,5.0,4.0,5.0
herring,9.0,9.0,8.0,6.0,5.0,7.0,10.0,20.0,6.0,9.0,7.0,6.0,8.0,10.0,9.0,11.0,10.0,9.0,4.0,6.0,5.0,12.0,5.0
orca,9.0,6.0,5.0,14.0,6.0,4.0,5.0,6.0,20.0,6.0,5.0,7.0,7.0,7.0,4.0,14.0,7.0,14.0,10.0,6.0,10.0,5.0,14.0
pike,5.0,11.0,9.0,6.0,9.0,9.0,8.0,9.0,6.0,20.0,6.0,11.0,5.0,6.0,10.0,5.0,8.0,9.0,5.0,13.0,5.0,6.0,10.0
piranha,6.0,9.0,5.0,5.0,6.0,8.0,7.0,7.0,5.0,6.0,20.0,4.0,8.0,5.0,8.0,14.0,7.0,11.0,6.0,5.0,9.0,10.0,9.0
plaice,8.0,6.0,8.0,6.0,12.0,15.0,5.0,6.0,7.0,11.0,4.0,20.0,9.0,12.0,3.0,5.0,14.0,5.0,5.0,11.0,5.0,11.0,7.0
ray,14.0,8.0,8.0,3.0,5.0,4.0,4.0,8.0,7.0,5.0,8.0,9.0,20.0,8.0,3.0,7.0,5.0,12.0,7.0,9.0,4.0,5.0,6.0
salmon,10.0,9.0,6.0,6.0,4.0,12.0,8.0,10.0,7.0,6.0,5.0,12.0,8.0,20.0,7.0,9.0,4.0,7.0,6.0,6.0,8.0,8.0,9.0
sardine,16.0,5.0,6.0,8.0,5.0,9.0,9.0,9.0,4.0,10.0,8.0,3.0,3.0,7.0,20.0,5.0,6.0,5.0,11.0,5.0,9.0,4.0,8.0
shark,6.0,5.0,4.0,8.0,4.0,11.0,6.0,11.0,14.0,5.0,14.0,5.0,7.0,9.0,5.0,20.0,6.0,10.0,4.0,7.0,8.0,9.0,16.0
sole,4.0,8.0,8.0,9.0,12.0,16.0,10.0,10.0,7.0,8.0,7.0,14.0,5.0,4.0,6.0,6.0,20.0,4.0,5.0,7.0,7.0,11.0,8.0
sperm whale,6.0,6.0,5.0,8.0,5.0,6.0,5.0,9.0,14.0,9.0,11.0,5.0,12.0,7.0,5.0,10.0,4.0,20.0,7.0,4.0,7.0,8.0,17.0
squid,5.0,8.0,7.0,5.0,6.0,6.0,4.0,4.0,10.0,5.0,6.0,5.0,7.0,6.0,11.0,4.0,5.0,7.0,20.0,6.0,5.0,5.0,6.0
stickleback,6.0,12.0,5.0,5.0,6.0,6.0,9.0,6.0,6.0,13.0,5.0,11.0,9.0,6.0,5.0,7.0,7.0,4.0,6.0,20.0,6.0,6.0,7.0
swordfish,6.0,7.0,6.0,4.0,7.0,5.0,5.0,5.0,10.0,5.0,9.0,5.0,4.0,8.0,9.0,8.0,7.0,7.0,5.0,6.0,20.0,7.0,8.0
trout,9.0,14.0,9.0,12.0,12.0,16.0,4.0,12.0,5.0,6.0,10.0,11.0,5.0,8.0,4.0,9.0,11.0,8.0,5.0,6.0,7.0,20.0,8.0
whale,5.0,8.0,5.0,10.0,6.0,9.0,5.0,5.0,14.0,10.0,9.0,7.0,6.0,9.0,8.0,16.0,8.0,17.0,6.0,7.0,8.0,8.0,20.0
