exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
aambeeld,5.0,9.0,7.0,13.0,14.0,16.0,15.0,6.0,8.0,12.0,12.0,16.0,16.0,10.0,11.0,10.0,18.0,15.0,11.0,5.0,9.0,7.0,4.0,13.0,14.0,20.0,10.0,6.0,11.14285714,4.248871621,28
beitel,10.0,15.0,20.0,13.0,17.0,16.0,18.0,11.0,18.0,19.0,16.0,17.0,18.0,15.0,15.0,18.0,18.0,18.0,17.0,11.0,14.0,18.0,20.0,14.0,16.0,20.0,20.0,9.0,16.10714286,3.09526862,28
bijl,5.0,15.0,17.0,18.0,14.0,20.0,15.0,20.0,17.0,14.0,19.0,14.0,16.0,18.0,20.0,16.0,18.0,18.0,8.0,20.0,14.0,17.0,20.0,14.0,16.0,20.0,20.0,4.0,15.96428571,4.26425403,28
boormachine,16.0,14.0,20.0,18.0,16.0,18.0,18.0,15.0,16.0,19.0,19.0,17.0,18.0,15.0,19.0,20.0,13.0,20.0,16.0,19.0,16.0,10.0,20.0,15.0,20.0,20.0,20.0,19.0,17.35714286,2.541715456,28
breekijzer,12.0,11.0,14.0,14.0,18.0,11.0,15.0,13.0,16.0,18.0,13.0,9.0,20.0,13.0,15.0,14.0,16.0,19.0,12.0,17.0,12.0,12.0,11.0,15.0,18.0,20.0,20.0,19.0,14.89285714,3.189558029,28
engelse sleutel,12.0,13.0,20.0,16.0,18.0,15.0,16.0,13.0,14.0,19.0,20.0,17.0,17.0,18.0,16.0,18.0,19.0,15.0,19.0,14.0,,15.0,20.0,16.0,12.0,20.0,20.0,11.0,16.40740741,2.790909133,27
grasmachine,8.0,6.0,14.0,9.0,13.0,2.0,13.0,14.0,12.0,12.0,15.0,12.0,13.0,11.0,13.0,12.0,6.0,18.0,6.0,16.0,11.0,4.0,20.0,13.0,19.0,20.0,15.0,14.0,12.17857143,4.562760466,28
hamer,10.0,19.0,20.0,17.0,20.0,20.0,18.0,15.0,20.0,19.0,20.0,17.0,19.0,18.0,20.0,20.0,20.0,17.0,19.0,20.0,17.0,17.0,20.0,17.0,17.0,20.0,20.0,20.0,18.42857143,2.201490597,28
houtklem,10.0,13.0,20.0,12.0,15.0,4.0,17.0,15.0,15.0,14.0,11.0,9.0,5.0,15.0,13.0,10.0,16.0,13.0,2.0,18.0,13.0,5.0,20.0,14.0,,18.0,10.0,4.0,12.25925926,4.942691517,27
houweel,10.0,12.0,17.0,15.0,17.0,18.0,16.0,6.0,11.0,18.0,17.0,17.0,16.0,16.0,15.0,12.0,19.0,16.0,9.0,15.0,14.0,17.0,,16.0,12.0,20.0,20.0,13.0,14.96296296,3.390954954,27
koevoet,10.0,7.0,11.0,11.0,18.0,15.0,15.0,10.0,17.0,17.0,18.0,4.0,19.0,6.0,19.0,13.0,16.0,19.0,12.0,14.0,15.0,10.0,20.0,14.0,18.0,20.0,20.0,20.0,14.57142857,4.581998363,28
kruiwagen,14.0,9.0,16.0,17.0,16.0,16.0,15.0,8.0,13.0,17.0,19.0,13.0,13.0,8.0,15.0,12.0,15.0,19.0,7.0,18.0,16.0,8.0,20.0,11.0,14.0,19.0,20.0,20.0,14.57142857,3.966793382,28
mes,5.0,10.0,10.0,18.0,9.0,13.0,14.0,16.0,19.0,11.0,11.0,10.0,3.0,8.0,14.0,12.0,8.0,12.0,11.0,12.0,9.0,8.0,20.0,12.0,12.0,12.0,20.0,10.0,11.75,4.088149088,28
moersleutel,12.0,14.0,20.0,13.0,20.0,13.0,17.0,7.0,17.0,16.0,20.0,17.0,11.0,16.0,16.0,20.0,15.0,16.0,17.0,15.0,,16.0,20.0,16.0,10.0,20.0,20.0,19.0,16.03703704,3.436025001,27
oliespuit,,2.0,6.0,11.0,15.0,2.0,15.0,10.0,10.0,14.0,10.0,7.0,6.0,15.0,12.0,10.0,15.0,14.0,6.0,13.0,9.0,10.0,20.0,14.0,7.0,20.0,15.0,3.0,10.77777778,4.862203784,27
plamuurmes,10.0,11.0,20.0,14.0,17.0,17.0,15.0,6.0,14.0,15.0,12.0,8.0,15.0,12.0,18.0,12.0,18.0,19.0,14.0,8.0,13.0,15.0,20.0,13.0,14.0,20.0,20.0,6.0,14.14285714,4.133998922,28
ploeg,13.0,12.0,13.0,11.0,13.0,7.0,13.0,13.0,17.0,12.0,14.0,10.0,9.0,10.0,14.0,12.0,13.0,20.0,7.0,16.0,12.0,10.0,20.0,16.0,5.0,20.0,20.0,4.0,12.71428571,4.293467414,28
schaaf,8.0,12.0,19.0,11.0,15.0,8.0,16.0,12.0,14.0,13.0,10.0,9.0,9.0,10.0,18.0,15.0,,18.0,15.0,13.0,9.0,13.0,,16.0,9.0,20.0,20.0,9.0,13.11538462,3.840072115,26
schop,14.0,14.0,20.0,16.0,19.0,20.0,17.0,14.0,20.0,14.0,20.0,17.0,19.0,18.0,17.0,18.0,17.0,15.0,18.0,17.0,15.0,17.0,20.0,17.0,18.0,20.0,20.0,20.0,17.53571429,2.116638545,28
schroevendraaier,12.0,16.0,20.0,18.0,20.0,16.0,17.0,12.0,18.0,20.0,20.0,17.0,17.0,16.0,20.0,18.0,20.0,18.0,18.0,17.0,17.0,16.0,20.0,15.0,14.0,20.0,20.0,20.0,17.57142857,2.37936455,28
slijpschijf,8.0,6.0,20.0,15.0,13.0,19.0,17.0,16.0,14.0,20.0,18.0,16.0,18.0,12.0,17.0,10.0,18.0,20.0,8.0,17.0,15.0,12.0,20.0,12.0,18.0,20.0,20.0,10.0,15.32142857,4.190408549,28
spijker,4.0,10.0,8.0,12.0,18.0,8.0,18.0,15.0,20.0,12.0,20.0,13.0,12.0,12.0,19.0,10.0,13.0,11.0,1.0,14.0,5.0,8.0,20.0,14.0,20.0,13.0,1.0,4.0,11.96428571,5.68612439,28
staalborstel,4.0,3.0,12.0,13.0,10.0,5.0,13.0,13.0,13.0,14.0,10.0,11.0,17.0,12.0,9.0,12.0,16.0,13.0,6.0,12.0,13.0,13.0,10.0,15.0,13.0,20.0,20.0,4.0,11.64285714,4.313753077,28
stofzuiger,5.0,3.0,10.0,5.0,13.0,3.0,13.0,11.0,11.0,11.0,9.0,5.0,8.0,6.0,10.0,12.0,6.0,11.0,8.0,6.0,3.0,4.0,20.0,11.0,7.0,1.0,15.0,3.0,8.214285714,4.374650402,28
tang,14.0,16.0,20.0,16.0,20.0,10.0,16.0,10.0,17.0,20.0,17.0,17.0,14.0,16.0,18.0,14.0,20.0,17.0,19.0,18.0,15.0,18.0,20.0,15.0,17.0,20.0,20.0,18.0,16.85714286,2.771739469,28
touw,8.0,11.0,10.0,10.0,4.0,4.0,13.0,8.0,13.0,11.0,13.0,7.0,10.0,6.0,12.0,10.0,11.0,12.0,4.0,6.0,7.0,3.0,20.0,11.0,11.0,1.0,10.0,19.0,9.464285714,4.341719602,28
verfborstel,10.0,11.0,17.0,13.0,12.0,10.0,16.0,4.0,15.0,15.0,16.0,15.0,8.0,12.0,15.0,10.0,14.0,15.0,3.0,17.0,10.0,10.0,20.0,13.0,10.0,20.0,20.0,13.0,13.0,4.233901974,28
vijl,9.0,12.0,12.0,11.0,2.0,6.0,13.0,8.0,14.0,15.0,15.0,13.0,5.0,8.0,13.0,14.0,19.0,16.0,17.0,12.0,6.0,15.0,13.0,12.0,16.0,7.0,20.0,14.0,12.03571429,4.307462455,28
waterpas,8.0,13.0,18.0,11.0,16.0,9.0,16.0,13.0,18.0,19.0,14.0,17.0,13.0,16.0,17.0,12.0,16.0,15.0,9.0,16.0,14.0,13.0,20.0,12.0,15.0,17.0,15.0,4.0,14.14285714,3.597471187,28
zaag,15.0,17.0,17.0,18.0,20.0,14.0,18.0,14.0,20.0,19.0,20.0,16.0,17.0,18.0,20.0,18.0,20.0,17.0,18.0,19.0,17.0,18.0,20.0,17.0,16.0,20.0,20.0,20.0,17.96428571,1.85556506,28
